symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
NVDA,2025-04-07T18:00:00+00:00,2025-04-07T18:25:00+00:00,18,18,stock_power_hour_continuation,stop_loss,99.14737,97.34382,0.10000,-0.68232,0.50196,5,1.00000,{'hour_of_day': 18.0}
NVDA,2025-04-09T19:15:00+00:00,2025-04-09T19:50:00+00:00,19,19,stock_power_hour_continuation,take_profit,112.65641,114.51798,0.10000,-0.31611,0.50227,7,1.00000,{'hour_of_day': 19.0}
NVDA,2025-04-10T18:00:00+00:00,2025-04-10T18:10:00+00:00,18,18,stock_power_hour_continuation,stop_loss,108.29130,106.36042,0.10000,-0.69523,0.50215,2,1.00000,{'hour_of_day': 18.0}
NVDA,2025-04-11T18:00:00+00:00,2025-04-11T18:15:00+00:00,18,18,stock_power_hour_continuation,structure_exit,110.97590,110.12919,0.10000,-0.58688,0.50221,3,1.00000,{'hour_of_day': 18.0}
NVDA,2025-04-14T18:00:00+00:00,2025-04-14T19:25:00+00:00,18,19,stock_power_hour_continuation,trailing_stop,111.03302,111.25896,0.10000,-0.47963,0.50222,17,1.00000,{'hour_of_day': 18.0}
NVDA,2025-04-15T19:10:00+00:00,2025-04-15T19:25:00+00:00,19,19,stock_power_hour_continuation,structure_exit,112.59139,112.11880,0.10000,-0.54951,0.50225,3,1.00000,{'hour_of_day': 19.0}
NVDA,2025-04-16T19:55:00+00:00,2025-04-16T20:55:00+00:00,19,20,stock_power_hour_continuation,stop_loss,104.58900,102.96144,0.10000,-0.66483,0.50208,12,1.00000,{'hour_of_day': 19.0}
NVDA,2025-04-17T18:00:00+00:00,2025-04-17T18:45:00+00:00,18,18,stock_power_hour_continuation,trailing_stop,101.78846,101.73311,0.10000,-0.50757,0.50204,9,1.00000,{'hour_of_day': 18.0}
NVDA,2025-04-21T19:15:00+00:00,2025-04-21T19:45:00+00:00,19,19,stock_power_hour_continuation,take_profit,95.75656,96.34712,0.10000,-0.44286,0.50192,6,1.00000,{'hour_of_day': 19.0}
NVDA,2025-04-22T19:05:00+00:00,2025-04-22T19:10:00+00:00,19,19,stock_power_hour_continuation,stop_loss,98.68893,98.17787,0.10000,-0.55308,0.50197,1,1.00000,{'hour_of_day': 19.0}
NVDA,2025-04-24T18:05:00+00:00,2025-04-24T19:00:00+00:00,18,19,stock_power_hour_continuation,structure_exit,106.37963,105.84058,0.10000,-0.55603,0.50212,11,1.00000,{'hour_of_day': 18.0}
NVDA,2025-04-25T18:35:00+00:00,2025-04-25T18:55:00+00:00,18,18,stock_power_hour_continuation,structure_exit,111.43624,110.99903,0.10000,-0.54595,0.50222,4,1.00000,{'hour_of_day': 18.0}
NVDA,2025-04-28T18:30:00+00:00,2025-04-28T19:15:00+00:00,18,19,stock_power_hour_continuation,take_profit,107.25969,108.06991,0.10000,-0.42113,0.50215,9,1.00000,{'hour_of_day': 18.0}
NVDA,2025-04-29T18:00:00+00:00,2025-04-29T18:55:00+00:00,18,18,stock_power_hour_continuation,trailing_stop,109.68862,109.47449,0.10000,-0.52360,0.50219,11,1.00000,{'hour_of_day': 18.0}
NVDA,2025-04-30T18:00:00+00:00,2025-04-30T18:25:00+00:00,18,18,stock_power_hour_continuation,trailing_stop,107.07964,107.10020,0.10000,-0.50009,0.50214,5,1.00000,{'hour_of_day': 18.0}
NVDA,2025-04-30T19:40:00+00:00,2025-04-30T19:50:00+00:00,19,19,stock_power_hour_continuation,take_profit,107.67492,108.37982,0.10000,-0.43167,0.50216,2,1.00000,{'hour_of_day': 19.0}
