symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
NVDA,2025-04-09T13:35:00+00:00,2025-04-09T14:50:00+00:00,13,14,stock_trend_breakout,structure_exit,99.35243,98.07290,0.10000,-0.62993,0.50197,15,1.00000,"{'atr_proxy': 0.015614768548833901, 'momentum_20': 0.03649368278166443}"
NVDA,2025-04-11T13:35:00+00:00,2025-04-11T14:15:00+00:00,13,14,stock_trend_breakout,structure_exit,109.65521,108.66973,0.10000,-0.60073,0.50218,8,1.00000,"{'atr_proxy': 0.012624504060158082, 'momentum_20': 0.006658397647923531}"
NVDA,2025-04-15T13:30:00+00:00,2025-04-16T13:30:00+00:00,13,13,stock_trend_breakout,time_stop,112.19477,105.71062,0.10000,-1.15059,0.50218,18,1.00000,"{'atr_proxy': 0.01614579384229754, 'momentum_20': 0.011125642644538525}"
NVDA,2025-04-24T13:30:00+00:00,2025-04-24T14:20:00+00:00,13,14,stock_trend_breakout,take_profit,103.70873,105.21077,0.10000,-0.35189,0.50209,10,1.00000,"{'atr_proxy': 0.007044972013124918, 'momentum_20': 0.009056383289512082}"
NVDA,2025-04-25T13:40:00+00:00,2025-04-25T13:50:00+00:00,13,13,stock_trend_breakout,structure_exit,107.10475,106.52037,0.10000,-0.56057,0.50214,2,1.00000,"{'atr_proxy': 0.005980470027566234, 'momentum_20': 0.003987240829345984}"
NVDA,2025-04-29T13:30:00+00:00,2025-04-30T13:30:00+00:00,13,13,stock_trend_breakout,time_stop,108.34972,105.06081,0.10000,-0.83103,0.50213,18,1.00000,"{'atr_proxy': 0.012654766875177855, 'momentum_20': 0.0021253355549384345}"
NVDA,2025-05-02T13:30:00+00:00,2025-05-02T14:20:00+00:00,13,14,stock_trend_breakout,structure_exit,115.14215,113.49819,0.10000,-0.66668,0.50229,10,1.00000,"{'atr_proxy': 0.012603215993046526, 'momentum_20': 0.02184918731681318}"
NVDA,2025-05-05T13:40:00+00:00,2025-05-05T14:10:00+00:00,13,14,stock_trend_breakout,stop_loss,113.97180,113.21337,0.10000,-0.57811,0.50227,6,1.00000,"{'atr_proxy': 0.0046540217773094585, 'momentum_20': 0.009037745879851178}"
NVDA,2025-05-09T13:35:00+00:00,2025-05-09T13:45:00+00:00,13,13,stock_trend_breakout,structure_exit,118.08803,117.57707,0.10000,-0.55345,0.50236,2,1.00000,"{'atr_proxy': 0.0056782067036738985, 'momentum_20': 0.003785623139089811}"
NVDA,2025-05-13T13:30:00+00:00,2025-05-13T14:05:00+00:00,13,14,stock_trend_breakout,take_profit,125.73532,128.34385,0.10000,-0.24169,0.50254,7,1.00000,"{'atr_proxy': 0.01098376313276023, 'momentum_20': 0.01363453005244053}"
