symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
NVDA,2025-04-11T13:50:00+00:00,2025-04-11T14:15:00+00:00,13,14,stock_trend_breakout,stop_loss,110.46209,108.73825,0.10000,-0.67458,0.50219,5,1.00000,"{'atr_proxy': 0.01199746468670774, 'momentum_20': 0.013956127392698692}"
NVDA,2025-04-15T13:30:00+00:00,2025-04-16T13:30:00+00:00,13,13,stock_trend_breakout,stale_breakout,112.12592,105.77884,0.10000,-1.13689,0.50218,18,1.00000,"{'atr_proxy': 0.01614579384229754, 'momentum_20': 0.011125642644538525}"
NVDA,2025-04-24T13:35:00+00:00,2025-04-25T13:30:00+00:00,13,13,stock_trend_breakout,take_profit,103.82076,107.22855,0.10000,-0.16133,0.50211,17,1.00000,"{'atr_proxy': 0.007899807321772574, 'momentum_20': 0.010809231668127417}"
NVDA,2025-04-29T14:05:00+00:00,2025-04-29T14:20:00+00:00,14,14,stock_trend_breakout,stop_loss,109.31186,108.46830,0.10000,-0.58653,0.50218,3,1.00000,"{'atr_proxy': 0.005123982066062659, 'momentum_20': 0.011101859561476468}"
NVDA,2025-05-02T13:30:00+00:00,2025-05-02T14:20:00+00:00,13,14,stock_trend_breakout,stale_breakout,115.07301,113.56718,0.10000,-0.65287,0.50229,10,1.00000,"{'atr_proxy': 0.012603215993046526, 'momentum_20': 0.02184918731681318}"
NVDA,2025-05-13T13:30:00+00:00,2025-05-13T14:55:00+00:00,13,14,stock_trend_breakout,take_profit,125.66513,130.60387,0.10000,-0.00869,0.50256,17,1.00000,"{'atr_proxy': 0.01098376313276023, 'momentum_20': 0.01363453005244053}"
NVDA,2025-05-21T13:50:00+00:00,2025-05-21T14:30:00+00:00,13,14,stock_trend_breakout,stop_loss,134.49189,133.76834,0.10000,-0.57504,0.50268,8,1.00000,"{'atr_proxy': 0.003941546127245016, 'momentum_20': 0.008966759210625064}"
NVDA,2025-05-27T14:15:00+00:00,2025-05-28T13:55:00+00:00,14,13,stock_trend_breakout,stale_breakout,135.18203,135.02299,0.10000,-0.51861,0.50270,14,1.00000,"{'atr_proxy': 0.0037734453035405224, 'momentum_20': 0.004421819262782289}"
NVDA,2025-06-03T13:40:00+00:00,2025-06-03T14:50:00+00:00,13,14,stock_trend_breakout,take_profit,138.99779,141.74714,0.10000,-0.22787,0.50281,14,1.00000,"{'atr_proxy': 0.00607900985824273, 'momentum_20': 0.006589149813523321}"
NVDA,2025-06-06T13:40:00+00:00,2025-06-06T14:25:00+00:00,13,14,stock_trend_breakout,stale_breakout,142.92858,141.61667,0.10000,-0.63404,0.50285,9,1.00000,"{'atr_proxy': 0.007408677396781077, 'momentum_20': 0.015997156061144713}"
