symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
NVDA,2025-04-11T18:00:00+00:00,2025-04-14T19:45:00+00:00,18,19,stock_trend_breakout,stale_breakout,110.70214,110.67786,0.10000,-0.50464,0.50221,15,1.00000,"{'atr_proxy': 0.007137694253704301, 'momentum_20': 0.024055307128694414}"
NVDA,2025-04-24T19:45:00+00:00,2025-04-25T18:00:00+00:00,19,18,stock_trend_breakout,take_profit,106.40128,110.45690,0.10000,-0.09661,0.50217,1,1.00000,"{'atr_proxy': 0.005264147396127113, 'momentum_20': 0.014592274678111528}"
NVDA,2025-04-29T18:30:00+00:00,2025-04-29T18:45:00+00:00,18,18,stock_trend_breakout,stop_loss,110.07651,109.54309,0.10000,-0.55554,0.50220,1,1.00000,"{'atr_proxy': 0.0034528347318827984, 'momentum_20': 0.011437367888980754}"
NVDA,2025-05-02T18:30:00+00:00,2025-05-02T19:00:00+00:00,18,19,stock_trend_breakout,stop_loss,114.78295,114.29214,0.10000,-0.55137,0.50229,2,1.00000,"{'atr_proxy': 0.003136981526664338, 'momentum_20': 0.0018332605848974115}"
NVDA,2025-05-06T18:15:00+00:00,2025-05-06T19:45:00+00:00,18,19,stock_trend_breakout,trailing_stop,113.70274,113.42731,0.10000,-0.52981,0.50227,6,1.00000,"{'atr_proxy': 0.0048381421534130645, 'momentum_20': 0.019734481521349156}"
NVDA,2025-05-12T19:00:00+00:00,2025-05-13T18:00:00+00:00,19,18,stock_trend_breakout,take_profit,122.89457,129.97400,0.10000,0.20541,0.50253,4,1.00000,"{'atr_proxy': 0.0042321152437535285, 'momentum_20': 0.011900350010294547}"
NVDA,2025-05-14T19:00:00+00:00,2025-05-14T19:30:00+00:00,19,19,stock_trend_breakout,stop_loss,135.23204,134.49460,0.10000,-0.57644,0.50270,2,1.00000,"{'atr_proxy': 0.0029584704707666556, 'momentum_20': 0.019607103804532455}"
NVDA,2025-05-19T19:45:00+00:00,2025-05-20T18:00:00+00:00,19,18,stock_trend_breakout,stop_loss,135.51710,134.02319,0.10000,-0.65209,0.50270,1,1.00000,"{'atr_proxy': 0.0038379216178316493, 'momentum_20': 0.0062010322676469}"
NVDA,2025-05-23T18:00:00+00:00,2025-05-23T19:45:00+00:00,18,19,stock_trend_breakout,stop_loss,132.49629,131.28374,0.10000,-0.62389,0.50264,7,1.00000,"{'atr_proxy': 0.006492045734197633, 'momentum_20': 0.02602277128030339}"
NVDA,2025-05-28T18:15:00+00:00,2025-05-28T19:30:00+00:00,18,19,stock_trend_breakout,stop_loss,136.69733,135.52789,0.10000,-0.61967,0.50272,5,1.00000,"{'atr_proxy': 0.0041706299846344715, 'momentum_20': 0.004926470588235254}"
