symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
NVDA,2025-04-08T13:45:00+00:00,2025-04-08T15:00:00+00:00,13,15,stock_trend_breakout,stop_loss,104.59091,102.84443,0.10000,-0.67672,0.50207,5,1.00000,"{'atr_proxy': 0.011284307162666088, 'momentum_20': 0.04029048945483482}"
NVDA,2025-04-09T16:45:00+00:00,2025-04-09T17:15:00+00:00,16,17,stock_trend_breakout,take_profit,100.68933,106.44871,0.10000,0.07387,0.50207,2,1.00000,"{'atr_proxy': 0.0158936397627079, 'momentum_20': 0.05115589433016621}"
NVDA,2025-04-11T13:45:00+00:00,2025-04-11T14:15:00+00:00,13,14,stock_trend_breakout,stop_loss,110.37207,107.67346,0.10000,-0.77204,0.50218,2,1.00000,"{'atr_proxy': 0.012052560036248286, 'momentum_20': 0.02823332090942965}"
NVDA,2025-04-11T17:30:00+00:00,2025-04-11T18:45:00+00:00,17,18,stock_trend_breakout,stale_breakout,110.52710,109.71305,0.10000,-0.58361,0.50220,5,1.00000,"{'atr_proxy': 0.012577711415773147, 'momentum_20': 0.011394838001098195}"
NVDA,2025-04-15T14:00:00+00:00,2025-04-15T14:15:00+00:00,14,14,stock_trend_breakout,stop_loss,111.95239,111.00779,0.10000,-0.59669,0.50223,1,1.00000,"{'atr_proxy': 0.0061645671401768755, 'momentum_20': 0.009742895805142204}"
NVDA,2025-04-15T19:30:00+00:00,2025-04-15T20:45:00+00:00,19,20,stock_trend_breakout,stale_breakout,112.27245,111.91721,0.10000,-0.53777,0.50224,5,1.00000,"{'atr_proxy': 0.0028062360801781533, 'momentum_20': 0.004474272930648837}"
NVDA,2025-04-22T13:45:00+00:00,2025-04-22T17:00:00+00:00,13,17,stock_trend_breakout,trailing_stop,98.95969,98.69436,0.10000,-0.52851,0.50198,13,1.00000,"{'atr_proxy': 0.008185777426498298, 'momentum_20': 0.008150601181984962}"
NVDA,2025-04-24T14:00:00+00:00,2025-04-24T15:15:00+00:00,14,15,stock_trend_breakout,trailing_stop,104.81096,105.32393,0.10000,-0.45080,0.50210,5,1.00000,"{'atr_proxy': 0.005344021376085526, 'momentum_20': 0.03567898794228097}"
NVDA,2025-04-24T19:45:00+00:00,2025-04-25T14:00:00+00:00,19,14,stock_trend_breakout,take_profit,106.40128,108.01839,0.10000,-0.34043,0.50214,9,1.00000,"{'atr_proxy': 0.005264147396127113, 'momentum_20': 0.014592274678111528}"
NVDA,2025-04-25T16:30:00+00:00,2025-04-25T17:45:00+00:00,16,17,stock_trend_breakout,trailing_stop,110.42708,110.34663,0.10000,-0.51025,0.50221,5,1.00000,"{'atr_proxy': 0.012227707078483842, 'momentum_20': 0.03715359323626122}"
NVDA,2025-04-29T17:45:00+00:00,2025-04-29T19:15:00+00:00,17,19,stock_trend_breakout,trailing_stop,109.45189,109.37812,0.10000,-0.50956,0.50219,6,1.00000,"{'atr_proxy': 0.006396783331810315, 'momentum_20': 0.012397076510315408}"
NVDA,2025-04-30T17:45:00+00:00,2025-04-30T19:45:00+00:00,17,19,stock_trend_breakout,take_profit,107.07141,108.75325,0.10000,-0.33397,0.50216,8,1.00000,"{'atr_proxy': 0.004110228865016326, 'momentum_20': 0.019718041531720187}"
NVDA,2025-05-01T15:15:00+00:00,2025-05-01T16:30:00+00:00,15,16,stock_trend_breakout,stale_breakout,114.34786,113.45230,0.10000,-0.59183,0.50228,5,1.00000,"{'atr_proxy': 0.012683140170566392, 'momentum_20': 0.004172156346069489}"
NVDA,2025-05-02T16:00:00+00:00,2025-05-02T16:45:00+00:00,16,16,stock_trend_breakout,stop_loss,115.17803,114.40211,0.10000,-0.57989,0.50230,3,1.00000,"{'atr_proxy': 0.005036689679128117, 'momentum_20': 0.02178349600709839}"
NVDA,2025-05-05T18:00:00+00:00,2025-05-05T19:45:00+00:00,18,19,stock_trend_breakout,stop_loss,114.47789,113.78724,0.10000,-0.57135,0.50228,7,1.00000,"{'atr_proxy': 0.002795858634397863, 'momentum_20': 0.014042703995747363}"
NVDA,2025-05-06T18:15:00+00:00,2025-05-06T19:45:00+00:00,18,19,stock_trend_breakout,trailing_stop,113.70274,113.42731,0.10000,-0.52981,0.50227,6,1.00000,"{'atr_proxy': 0.0048381421534130645, 'momentum_20': 0.019734481521349156}"
NVDA,2025-05-07T19:30:00+00:00,2025-05-08T13:45:00+00:00,19,13,stock_trend_breakout,stale_breakout,116.92338,117.41651,0.10000,-0.45303,0.50234,9,1.00000,"{'atr_proxy': 0.03729683490162532, 'momentum_20': 0.03031905517362965}"
NVDA,2025-05-12T19:00:00+00:00,2025-05-13T13:00:00+00:00,19,13,stock_trend_breakout,take_profit,122.89457,124.92501,0.10000,-0.29943,0.50248,8,1.00000,"{'atr_proxy': 0.0042321152437535285, 'momentum_20': 0.011900350010294547}"
NVDA,2025-05-14T16:30:00+00:00,2025-05-15T13:00:00+00:00,16,13,stock_trend_breakout,time_stop,134.93198,134.31313,0.10000,-0.56458,0.50269,18,1.00000,"{'atr_proxy': 0.004484637337385492, 'momentum_20': 0.007731381190707376}"
NVDA,2025-05-15T16:45:00+00:00,2025-05-15T18:45:00+00:00,16,18,stock_trend_breakout,stop_loss,135.81216,134.58808,0.10000,-0.62511,0.50270,8,1.00000,"{'atr_proxy': 0.00453216481938354, 'momentum_20': 0.011886131604441408}"
NVDA,2025-05-19T19:45:00+00:00,2025-05-20T13:00:00+00:00,19,13,stock_trend_breakout,stale_breakout,135.51710,134.52299,0.10000,-0.60211,0.50270,5,1.00000,"{'atr_proxy': 0.0038379216178316493, 'momentum_20': 0.0062010322676469}"
NVDA,2025-05-21T13:30:00+00:00,2025-05-21T17:15:00+00:00,13,17,stock_trend_breakout,stale_breakout,134.19683,133.18836,0.10000,-0.60352,0.50267,15,1.00000,"{'atr_proxy': 0.009540135648803766, 'momentum_20': 0.008190562067928786}"
NVDA,2025-05-22T14:45:00+00:00,2025-05-22T19:30:00+00:00,14,19,stock_trend_breakout,trailing_stop,133.16663,133.29833,0.10000,-0.48949,0.50266,19,1.00000,"{'atr_proxy': 0.005407841369986472, 'momentum_20': 0.0030134096730449755}"
NVDA,2025-05-23T18:00:00+00:00,2025-05-23T19:45:00+00:00,18,19,stock_trend_breakout,stop_loss,132.49629,131.28374,0.10000,-0.62389,0.50264,7,1.00000,"{'atr_proxy': 0.006492045734197633, 'momentum_20': 0.02602277128030339}"
NVDA,2025-05-27T14:15:00+00:00,2025-05-27T18:15:00+00:00,14,18,stock_trend_breakout,time_stop,135.31886,135.22455,0.10000,-0.51214,0.50271,16,1.00000,"{'atr_proxy': 0.005174001676376669, 'momentum_20': 0.005363751207549949}"
NVDA,2025-05-28T17:45:00+00:00,2025-05-28T18:15:00+00:00,17,18,stock_trend_breakout,trailing_stop,136.68733,136.64267,0.10000,-0.50720,0.50273,2,1.00000,"{'atr_proxy': 0.0028537977462316315, 'momentum_20': 0.001832710211861377}"
NVDA,2025-06-02T13:30:00+00:00,2025-06-05T15:00:00+00:00,13,15,stock_trend_breakout,take_profit,136.94948,142.66136,0.10000,0.06839,0.50280,102,1.00000,"{'atr_proxy': 0.016505735743170685, 'momentum_20': 0.02371663551401859}"
NVDA,2025-06-09T13:45:00+00:00,2025-06-09T15:15:00+00:00,13,15,stock_trend_breakout,trailing_stop,143.65272,143.15146,0.10000,-0.55299,0.50287,6,1.00000,"{'atr_proxy': 0.006510054029967152, 'momentum_20': 0.008241488241488293}"
NVDA,2025-06-10T18:15:00+00:00,2025-06-10T19:30:00+00:00,18,19,stock_trend_breakout,trailing_stop,143.14852,143.40131,0.10000,-0.47759,0.50287,5,1.00000,"{'atr_proxy': 0.0034928755539935163, 'momentum_20': 0.003153430994603079}"
