symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
NVDA,2025-04-07T17:15:00+00:00,2025-04-07T19:00:00+00:00,17,19,stock_trend_breakout,stale_breakout,98.32002,96.74020,0.10000,-0.65993,0.50195,7,1.00000,"{'atr_proxy': 0.01941101199292691, 'momentum_20': 0.09537132024977701}"
NVDA,2025-04-08T13:30:00+00:00,2025-04-08T16:30:00+00:00,13,16,stock_trend_breakout,stale_breakout,104.07384,99.66242,0.10000,-0.94318,0.50204,12,1.00000,"{'atr_proxy': 0.021926239361446373, 'momentum_20': 0.03829256115826252}"
NVDA,2025-04-09T13:45:00+00:00,2025-04-09T15:30:00+00:00,13,15,stock_trend_breakout,stale_breakout,99.86258,97.99292,0.10000,-0.68894,0.50198,7,1.00000,"{'atr_proxy': 0.02285041343021797, 'momentum_20': 0.003873629137740364}"
NVDA,2025-04-11T13:30:00+00:00,2025-04-11T15:00:00+00:00,13,15,stock_trend_breakout,stale_breakout,109.86057,108.02992,0.10000,-0.68524,0.50218,6,1.00000,"{'atr_proxy': 0.022228295527011003, 'momentum_20': 0.023401081484243802}"
NVDA,2025-04-11T17:30:00+00:00,2025-04-14T13:00:00+00:00,17,13,stock_trend_breakout,take_profit,110.59579,115.15779,0.10000,-0.04606,0.50226,14,1.00000,"{'atr_proxy': 0.012577711415773147, 'momentum_20': 0.011394838001098195}"
NVDA,2025-04-15T14:00:00+00:00,2025-04-15T14:15:00+00:00,14,14,stock_trend_breakout,stop_loss,112.02122,110.93905,0.10000,-0.61045,0.50223,1,1.00000,"{'atr_proxy': 0.0061645671401768755, 'momentum_20': 0.009742895805142204}"
NVDA,2025-04-15T16:45:00+00:00,2025-04-15T20:15:00+00:00,16,20,stock_trend_breakout,stale_breakout,112.55638,111.85878,0.10000,-0.57200,0.50224,14,1.00000,"{'atr_proxy': 0.009309562975147798, 'momentum_20': 0.015301977069603678}"
NVDA,2025-04-21T19:45:00+00:00,2025-04-22T17:15:00+00:00,19,17,stock_trend_breakout,trailing_stop,96.88669,98.00792,0.10000,-0.38983,0.50195,22,1.00000,"{'atr_proxy': 0.012138429752066087, 'momentum_20': 0.004514087064805716}"
NVDA,2025-04-23T14:15:00+00:00,2025-04-23T15:45:00+00:00,14,15,stock_trend_breakout,stale_breakout,104.27390,103.18137,0.10000,-0.61133,0.50207,6,1.00000,"{'atr_proxy': 0.010942074194941696, 'momentum_20': 0.005549657368979943}"
NVDA,2025-04-24T13:45:00+00:00,2025-04-25T14:00:00+00:00,13,14,stock_trend_breakout,take_profit,105.03783,107.94995,0.10000,-0.21092,0.50213,33,1.00000,"{'atr_proxy': 0.011330297564429197, 'momentum_20': 0.0397136913017635}"
