symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
NVDA,2025-04-08T13:30:00+00:00,2025-04-08T14:40:00+00:00,13,14,stock_trend_breakout,trailing_stop,104.07194,103.99103,0.10000,-0.51017,0.50208,14,1.00000,"{'atr_proxy': 0.013781085580253013, 'momentum_20': 0.019442156862744975}"
NVDA,2025-04-11T13:35:00+00:00,2025-04-11T14:15:00+00:00,13,14,stock_trend_breakout,stale_breakout,109.65521,108.66973,0.10000,-0.60073,0.50218,8,1.00000,"{'atr_proxy': 0.012624504060158082, 'momentum_20': 0.006658397647923531}"
NVDA,2025-04-15T13:30:00+00:00,2025-04-16T13:30:00+00:00,13,13,stock_trend_breakout,stale_breakout,112.19477,105.71062,0.10000,-1.15059,0.50218,18,1.00000,"{'atr_proxy': 0.01614579384229754, 'momentum_20': 0.011125642644538525}"
NVDA,2025-04-22T13:35:00+00:00,2025-04-23T13:30:00+00:00,13,13,stock_trend_breakout,take_profit,98.49717,103.76120,0.10000,0.02438,0.50202,17,1.00000,"{'atr_proxy': 0.010669647393557536, 'momentum_20': 0.007060990585345817}"
NVDA,2025-04-24T13:30:00+00:00,2025-04-25T13:30:00+00:00,13,13,stock_trend_breakout,take_profit,103.70873,107.16018,0.10000,-0.15696,0.50211,18,1.00000,"{'atr_proxy': 0.007044972013124918, 'momentum_20': 0.009056383289512082}"
NVDA,2025-04-25T14:35:00+00:00,2025-04-28T13:35:00+00:00,14,13,stock_trend_breakout,stale_breakout,108.40514,108.06991,0.10000,-0.53569,0.50216,6,1.00000,"{'atr_proxy': 0.00572404560771814, 'momentum_20': 0.017615558060879444}"
NVDA,2025-04-29T13:55:00+00:00,2025-04-30T13:30:00+00:00,13,13,stock_trend_breakout,stale_breakout,108.89028,105.06081,0.10000,-0.88509,0.50214,13,1.00000,"{'atr_proxy': 0.005193014705882463, 'momentum_20': 0.008107482047718273}"
NVDA,2025-04-30T14:50:00+00:00,2025-05-01T13:30:00+00:00,14,13,stock_trend_breakout,take_profit,106.22448,113.17828,0.10000,0.19319,0.50219,2,1.00000,"{'atr_proxy': 0.004805200923352382, 'momentum_20': 0.014190157668418468}"
NVDA,2025-05-02T13:30:00+00:00,2025-05-02T14:20:00+00:00,13,14,stock_trend_breakout,stale_breakout,115.14215,113.49819,0.10000,-0.66668,0.50229,10,1.00000,"{'atr_proxy': 0.012603215993046526, 'momentum_20': 0.02184918731681318}"
NVDA,2025-05-05T13:40:00+00:00,2025-05-05T14:10:00+00:00,13,14,stock_trend_breakout,stop_loss,113.97180,113.21337,0.10000,-0.57811,0.50227,6,1.00000,"{'atr_proxy': 0.0046540217773094585, 'momentum_20': 0.009037745879851178}"
NVDA,2025-05-06T14:30:00+00:00,2025-05-07T13:30:00+00:00,14,13,stock_trend_breakout,stale_breakout,113.11654,112.76850,0.10000,-0.53706,0.50226,6,1.00000,"{'atr_proxy': 0.00477770404777697, 'momentum_20': 0.0058289579069146225}"
NVDA,2025-05-09T13:55:00+00:00,2025-05-09T14:15:00+00:00,13,14,stock_trend_breakout,stop_loss,117.84296,116.99724,0.10000,-0.58692,0.50235,4,0.82221,"{'atr_proxy': 0.0029053078556263447, 'momentum_20': 0.0012755102040817867}"
NVDA,2025-05-13T13:30:00+00:00,2025-05-13T14:25:00+00:00,13,14,stock_trend_breakout,take_profit,125.73532,129.11861,0.10000,-0.16422,0.50255,11,1.00000,"{'atr_proxy': 0.01098376313276023, 'momentum_20': 0.01363453005244053}"
NVDA,2025-05-21T13:30:00+00:00,2025-05-22T13:30:00+00:00,13,13,stock_trend_breakout,stop_loss,133.66769,131.95277,0.10000,-0.67415,0.50266,18,1.00000,"{'atr_proxy': 0.00898405330538286, 'momentum_20': 0.001724913754312274}"
NVDA,2025-05-23T14:45:00+00:00,2025-05-27T13:30:00+00:00,14,13,stock_trend_breakout,take_profit,131.28698,133.79222,0.10000,-0.25213,0.50265,3,1.00000,"{'atr_proxy': 0.0035825901364433177, 'momentum_20': 0.011956186362233945}"
NVDA,2025-05-27T14:45:00+00:00,2025-05-28T13:45:00+00:00,14,13,stock_trend_breakout,stale_breakout,135.49813,135.17180,0.10000,-0.53534,0.50271,6,1.00000,"{'atr_proxy': 0.0017725271584396228, 'momentum_20': 0.004749187258227483}"
NVDA,2025-05-29T13:30:00+00:00,2025-05-29T14:00:00+00:00,13,14,stock_trend_breakout,stale_breakout,143.28776,140.59018,0.10000,-0.77260,0.50284,6,1.00000,"{'atr_proxy': 0.01368837437983289, 'momentum_20': 0.009142293325815842}"
NVDA,2025-06-02T13:35:00+00:00,2025-06-02T13:55:00+00:00,13,13,stock_trend_breakout,stop_loss,137.74391,136.24148,0.10000,-0.65298,0.50274,4,1.00000,"{'atr_proxy': 0.006683860656035362, 'momentum_20': 0.025823520643911246}"
NVDA,2025-06-03T13:40:00+00:00,2025-06-03T14:10:00+00:00,13,14,stock_trend_breakout,take_profit,139.06930,141.15481,0.10000,-0.29425,0.50280,6,1.00000,"{'atr_proxy': 0.00607900985824273, 'momentum_20': 0.006589149813523321}"
NVDA,2025-06-05T14:50:00+00:00,2025-06-06T13:55:00+00:00,14,13,stock_trend_breakout,trailing_stop,142.37529,142.26468,0.10000,-0.51391,0.50285,7,1.00000,"{'atr_proxy': 0.0039711825689685305, 'momentum_20': 0.0023594459916542743}"
NVDA,2025-06-06T14:55:00+00:00,2025-06-09T13:30:00+00:00,14,13,stock_trend_breakout,take_profit,142.49032,144.32907,0.10000,-0.31899,0.50287,1,0.75453,"{'atr_proxy': 0.0017206264484865832, 'momentum_20': 0.0003512716032034735}"
NVDA,2025-06-09T14:30:00+00:00,2025-06-09T14:55:00+00:00,14,14,stock_trend_breakout,stop_loss,144.87604,144.13412,0.10000,-0.57708,0.50289,5,1.00000,"{'atr_proxy': 0.003522707649801353, 'momentum_20': 0.009377396639475677}"
NVDA,2025-06-12T13:30:00+00:00,2025-06-13T13:30:00+00:00,13,13,stock_trend_breakout,stale_breakout,143.50063,143.08944,0.10000,-0.54399,0.50287,18,1.00000,"{'atr_proxy': 0.012900976290097588, 'momentum_20': 0.019842116492425843}"
NVDA,2025-06-16T13:35:00+00:00,2025-06-17T13:40:00+00:00,13,13,stock_trend_breakout,stale_breakout,144.11081,144.00916,0.10000,-0.51305,0.50288,19,1.00000,"{'atr_proxy': 0.004131657523783063, 'momentum_20': 0.0050247749319560775}"
NVDA,2025-06-18T14:05:00+00:00,2025-06-18T14:45:00+00:00,14,14,stock_trend_breakout,trailing_stop,144.82102,145.03885,0.10000,-0.48112,0.50290,8,1.00000,"{'atr_proxy': 0.0019347705914870173, 'momentum_20': 0.0011068068622024363}"
NVDA,2025-06-24T13:30:00+00:00,2025-06-24T14:05:00+00:00,13,14,stock_trend_breakout,trailing_stop,146.06139,146.50341,0.10000,-0.45872,0.50293,7,1.00000,"{'atr_proxy': 0.007365031515483616, 'momentum_20': 0.0030236393622868896}"
NVDA,2025-06-25T13:30:00+00:00,2025-06-26T13:30:00+00:00,13,13,stock_trend_breakout,take_profit,149.97256,155.00587,0.10000,0.00028,0.50305,18,1.00000,"{'atr_proxy': 0.008273837325682319, 'momentum_20': 0.0024749163879598246}"
NVDA,2025-06-26T14:30:00+00:00,2025-06-26T14:40:00+00:00,14,14,stock_trend_breakout,stop_loss,156.57453,155.99058,0.10000,-0.56152,0.50313,2,1.00000,"{'atr_proxy': 0.0023327155365246315, 'momentum_20': 0.0012157665728180778}"
NVDA,2025-06-27T14:20:00+00:00,2025-06-30T13:30:00+00:00,14,13,stock_trend_breakout,stale_breakout,157.15971,157.12524,0.10000,-0.50659,0.50314,8,1.00000,"{'atr_proxy': 0.0040278883193785395, 'momentum_20': 0.008508315674565115}"
NVDA,2025-07-02T14:05:00+00:00,2025-07-02T14:40:00+00:00,14,14,stock_trend_breakout,trailing_stop,155.42419,155.88241,0.10000,-0.45729,0.50311,7,1.00000,"{'atr_proxy': 0.003412310069533873, 'momentum_20': 0.023862887277521505}"
NVDA,2025-07-03T14:00:00+00:00,2025-07-03T14:20:00+00:00,14,14,stock_trend_breakout,take_profit,159.06898,160.83413,0.10000,-0.32668,0.50320,4,1.00000,"{'atr_proxy': 0.0025162977459634223, 'momentum_20': 0.01038390643869569}"
NVDA,2025-07-08T14:10:00+00:00,2025-07-08T14:15:00+00:00,14,14,stock_trend_breakout,stop_loss,159.54542,158.79474,0.10000,-0.57825,0.50318,1,0.96056,"{'atr_proxy': 0.0020383843452081575, 'momentum_20': 0.0006275888038156374}"
NVDA,2025-07-09T13:35:00+00:00,2025-07-09T14:25:00+00:00,13,14,stock_trend_breakout,stop_loss,164.01676,162.96219,0.10000,-0.60873,0.50327,10,1.00000,"{'atr_proxy': 0.004331645415166908, 'momentum_20': 0.020102066218570913}"
NVDA,2025-07-11T13:30:00+00:00,2025-07-14T13:30:00+00:00,13,13,stock_trend_breakout,stale_breakout,165.07708,163.83253,0.10000,-0.62774,0.50329,18,1.00000,"{'atr_proxy': 0.010607989331393586, 'momentum_20': 0.010535987748851339}"
NVDA,2025-07-16T13:35:00+00:00,2025-07-16T13:50:00+00:00,13,13,stock_trend_breakout,signal_exit,171.22391,170.23132,0.10000,-0.60267,0.50341,3,1.00000,"{'atr_proxy': 0.005188908044297705, 'momentum_20': 0.0015510681884693955}"
NVDA,2025-07-17T13:50:00+00:00,2025-07-17T14:20:00+00:00,13,14,stock_trend_breakout,stale_breakout,173.39206,172.57242,0.10000,-0.58542,0.50346,6,1.00000,"{'atr_proxy': 0.007790746324643416, 'momentum_20': 0.004186367532239554}"
NVDA,2025-07-18T13:45:00+00:00,2025-07-18T13:50:00+00:00,13,13,stock_trend_breakout,stop_loss,173.93142,173.35538,0.10000,-0.56108,0.50347,1,0.79462,"{'atr_proxy': 0.0017834367055436823, 'momentum_20': 0.00047024289167718614}"
NVDA,2025-07-21T14:25:00+00:00,2025-07-21T14:45:00+00:00,14,14,stock_trend_breakout,stop_loss,173.18960,172.58062,0.10000,-0.56436,0.50346,4,1.00000,"{'atr_proxy': 0.00196383061946463, 'momentum_20': 0.002723480678987089}"
NVDA,2025-07-23T13:30:00+00:00,2025-07-23T13:55:00+00:00,13,13,stock_trend_breakout,stop_loss,170.07857,168.23691,0.10000,-0.68755,0.50338,5,1.00000,"{'atr_proxy': 0.0071189033358828495, 'momentum_20': 0.00633510953226768}"
NVDA,2025-07-24T13:30:00+00:00,2025-07-24T14:00:00+00:00,13,14,stock_trend_breakout,stale_breakout,173.12448,171.70438,0.10000,-0.64546,0.50345,6,1.00000,"{'atr_proxy': 0.00803398549258727, 'momentum_20': 0.0010124971071510114}"
NVDA,2025-07-24T14:55:00+00:00,2025-07-25T13:50:00+00:00,14,13,stock_trend_breakout,take_profit,172.98944,173.88023,0.10000,-0.41439,0.50347,5,1.00000,"{'atr_proxy': 0.0020823692734844123, 'momentum_20': 0.0031339231367779607}"
NVDA,2025-07-28T13:30:00+00:00,2025-07-29T13:35:00+00:00,13,13,stock_trend_breakout,take_profit,175.18010,178.87873,0.10000,-0.13368,0.50354,19,1.00000,"{'atr_proxy': 0.007996801279488238, 'momentum_20': 0.0029790890862215758}"
NVDA,2025-07-30T14:25:00+00:00,2025-07-31T13:30:00+00:00,14,13,stock_trend_breakout,take_profit,178.57111,182.18774,0.10000,-0.14194,0.50361,7,1.00000,"{'atr_proxy': 0.0024095035302028845, 'momentum_20': 0.009217892891477675}"
NVDA,2025-08-04T13:35:00+00:00,2025-08-05T13:35:00+00:00,13,13,stock_trend_breakout,take_profit,176.48549,180.01399,0.10000,-0.15071,0.50356,18,1.00000,"{'atr_proxy': 0.0069165131112685786, 'momentum_20': 0.006304558680892303}"
NVDA,2025-08-06T13:55:00+00:00,2025-08-06T14:10:00+00:00,13,14,stock_trend_breakout,trailing_stop,178.60922,178.48385,0.10000,-0.51611,0.50357,3,1.00000,"{'atr_proxy': 0.0028011502643445507, 'momentum_20': 0.008805239739324122}"
NVDA,2025-08-07T13:30:00+00:00,2025-08-07T14:50:00+00:00,13,14,stock_trend_breakout,trailing_stop,182.24221,182.20274,0.10000,-0.50759,0.50364,16,1.00000,"{'atr_proxy': 0.005820018667984419, 'momentum_20': 0.0015397305471542833}"
NVDA,2025-08-11T14:25:00+00:00,2025-08-12T13:30:00+00:00,14,13,stock_trend_breakout,stale_breakout,183.45807,181.51794,0.10000,-0.69766,0.50365,7,1.00000,"{'atr_proxy': 0.003327051932008068, 'momentum_20': 0.008945080343385259}"
NVDA,2025-08-13T13:30:00+00:00,2025-08-13T14:00:00+00:00,13,14,stock_trend_breakout,stale_breakout,183.65263,181.83685,0.10000,-0.68523,0.50365,6,1.00000,"{'atr_proxy': 0.008799171842649998, 'momentum_20': 0.003279763857002349}"
NVDA,2025-08-14T14:15:00+00:00,2025-08-15T13:30:00+00:00,14,13,stock_trend_breakout,stale_breakout,182.58521,180.72318,0.10000,-0.68984,0.50363,9,1.00000,"{'atr_proxy': 0.004696587822082069, 'momentum_20': 0.01070621468926558}"
NVDA,2025-08-18T13:35:00+00:00,2025-08-18T14:40:00+00:00,13,14,stock_trend_breakout,stop_loss,182.64223,181.29791,0.10000,-0.63807,0.50364,13,1.00000,"{'atr_proxy': 0.004491866811958032, 'momentum_20': 0.014393131043681118}"
