symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
NVDA,2025-04-29T18:00:00+00:00,2025-04-29T18:45:00+00:00,18,18,volatility_breakout,trailing_stop,109.93401,109.47607,0.01000,-0.05480,0.05022,3,1.00000,{'breakout_high': 108.85}
NVDA,2025-04-30T19:45:00+00:00,2025-05-01T18:00:00+00:00,19,18,volatility_breakout,take_profit,108.86371,113.56990,0.01000,-0.00316,0.05022,1,1.00000,{'breakout_high': 107.835}
NVDA,2025-05-06T19:30:00+00:00,2025-05-06T19:45:00+00:00,19,19,volatility_breakout,stop_loss,114.76538,113.35996,0.01000,-0.06428,0.05023,1,1.00000,{'breakout_high': 114.38}
NVDA,2025-05-07T19:30:00+00:00,2025-05-08T19:30:00+00:00,19,19,volatility_breakout,signal_exit,116.99102,117.74292,0.01000,-0.04272,0.05023,8,1.00000,{'breakout_high': 114.74}
NVDA,2025-05-13T18:00:00+00:00,2025-05-13T18:30:00+00:00,18,18,volatility_breakout,trailing_stop,130.09475,129.82528,0.01000,-0.05295,0.05026,2,1.00000,{'breakout_high': 123.0}
NVDA,2025-05-14T19:45:00+00:00,2025-05-15T19:15:00+00:00,19,19,volatility_breakout,stop_loss,135.44337,133.63539,0.01000,-0.06835,0.05027,6,0.92975,{'breakout_high': 135.32}
NVDA,2025-05-22T18:30:00+00:00,2025-05-22T19:30:00+00:00,18,19,volatility_breakout,trailing_stop,133.67076,133.22931,0.01000,-0.05468,0.05027,4,0.94728,{'breakout_high': 133.49}
NVDA,2025-05-27T18:00:00+00:00,2025-05-27T19:15:00+00:00,18,19,volatility_breakout,stale_breakout,135.48128,135.04379,0.01000,-0.05465,0.05027,5,1.00000,{'breakout_high': 132.66}
NVDA,2025-05-28T18:00:00+00:00,2025-05-28T19:30:00+00:00,18,19,volatility_breakout,stop_loss,137.27179,135.45867,0.01000,-0.06840,0.05027,6,1.00000,{'breakout_high': 135.5}
NVDA,2025-06-02T18:15:00+00:00,2025-06-02T19:15:00+00:00,18,19,volatility_breakout,signal_exit,138.12843,137.52808,0.01000,-0.05628,0.05028,4,1.00000,{'breakout_high': 137.64}
NVDA,2025-06-03T18:00:00+00:00,2025-06-03T19:30:00+00:00,18,19,volatility_breakout,signal_exit,140.48780,141.04208,0.01000,-0.04474,0.05028,6,1.00000,{'breakout_high': 138.12}
NVDA,2025-06-06T18:00:00+00:00,2025-06-06T18:15:00+00:00,18,18,volatility_breakout,stop_loss,142.69003,142.27173,0.01000,-0.05447,0.05028,1,1.00000,{'breakout_high': 141.125}
NVDA,2025-06-10T18:45:00+00:00,2025-06-11T18:00:00+00:00,18,18,volatility_breakout,structure_exit,144.00880,142.40170,0.01000,-0.06636,0.05029,5,1.00000,{'breakout_high': 143.15}
NVDA,2025-06-12T18:00:00+00:00,2025-06-12T19:30:00+00:00,18,19,volatility_breakout,stale_breakout,144.79893,144.52229,0.01000,-0.05306,0.05029,6,1.00000,{'breakout_high': 143.0}
NVDA,2025-06-18T18:00:00+00:00,2025-06-18T18:45:00+00:00,18,18,volatility_breakout,structure_exit,145.13372,144.18119,0.01000,-0.05981,0.05029,3,1.00000,{'breakout_high': 144.77}
NVDA,2025-06-24T19:45:00+00:00,2025-06-25T18:00:00+00:00,19,18,volatility_breakout,take_profit,147.92982,153.66009,0.01000,0.00700,0.05030,1,1.00000,{'breakout_high': 147.6}
NVDA,2025-07-08T18:00:00+00:00,2025-07-09T18:00:00+00:00,18,18,volatility_breakout,take_profit,159.72318,162.71092,0.01000,-0.02045,0.05032,8,1.00000,{'breakout_high': 158.67}
NVDA,2025-07-16T19:30:00+00:00,2025-07-17T18:00:00+00:00,19,18,volatility_breakout,take_profit,171.34148,173.17164,0.01000,-0.03204,0.05034,2,0.64372,{'breakout_high': 171.15}
