symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
NVDA,2025-04-07T17:25:00+00:00,2025-04-07T18:25:00+00:00,17,18,volatility_breakout,trailing_stop,98.32002,97.34382,0.10000,-0.59958,0.50196,12,1.00000,{'breakout_high': 97.76}
NVDA,2025-04-08T13:00:00+00:00,2025-04-08T13:10:00+00:00,13,13,volatility_breakout,take_profit,102.52808,103.31133,0.10000,-0.42373,0.50206,2,1.00000,{'breakout_high': 98.4381}
NVDA,2025-04-09T13:00:00+00:00,2025-04-09T14:10:00+00:00,13,14,volatility_breakout,trailing_stop,98.80727,99.05261,0.10000,-0.47744,0.50198,14,1.00000,{'breakout_high': 96.55}
NVDA,2025-04-09T16:40:00+00:00,2025-04-09T17:05:00+00:00,16,17,volatility_breakout,trailing_stop,100.34273,100.88206,0.10000,-0.44808,0.50201,5,1.00000,{'breakout_high': 99.88}
NVDA,2025-04-10T18:00:00+00:00,2025-04-10T18:05:00+00:00,18,18,volatility_breakout,signal_exit,108.29130,106.86517,0.10000,-0.64476,0.50215,1,1.00000,{'breakout_high': 107.88}
NVDA,2025-04-11T13:00:00+00:00,2025-04-11T13:05:00+00:00,13,13,volatility_breakout,signal_exit,109.03913,108.43980,0.10000,-0.56211,0.50217,1,1.00000,{'breakout_high': 107.57}
NVDA,2025-04-11T16:30:00+00:00,2025-04-11T17:00:00+00:00,16,17,volatility_breakout,trailing_stop,110.19067,110.13929,0.10000,-0.50734,0.50220,6,1.00000,{'breakout_high': 110.0}
NVDA,2025-04-14T13:00:00+00:00,2025-04-14T13:25:00+00:00,13,13,volatility_breakout,stop_loss,115.18246,114.05812,0.10000,-0.61473,0.50229,5,1.00000,{'breakout_high': 110.93}
NVDA,2025-04-14T18:20:00+00:00,2025-04-14T19:15:00+00:00,18,19,volatility_breakout,trailing_stop,111.41234,111.31924,0.10000,-0.51154,0.50223,11,0.56786,{'breakout_high': 111.3}
NVDA,2025-04-15T13:30:00+00:00,2025-04-15T14:15:00+00:00,13,14,volatility_breakout,signal_exit,112.19477,110.74911,0.10000,-0.64680,0.50223,9,1.00000,{'breakout_high': 111.13}
NVDA,2025-04-15T15:15:00+00:00,2025-04-15T15:25:00+00:00,15,15,volatility_breakout,signal_exit,112.43634,111.92876,0.10000,-0.55300,0.50224,2,1.00000,{'breakout_high': 112.115}
