symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
TSLA,2025-04-08T14:00:00+00:00,2025-04-08T15:45:00+00:00,14,15,stock_gap_and_go,stop_loss,247.72990,242.96513,0.01000,-0.09814,0.05049,7,1.00000,{'minutes_from_open': 30.0}
TSLA,2025-04-22T13:45:00+00:00,2025-04-22T16:00:00+00:00,13,16,stock_gap_and_go,take_profit,236.94627,241.87126,0.01000,-0.00123,0.05048,9,1.00000,{'minutes_from_open': 15.0}
TSLA,2025-04-23T14:30:00+00:00,2025-04-23T15:15:00+00:00,14,15,stock_gap_and_go,stale_breakout,256.36168,254.55534,0.01000,-0.06857,0.05051,3,1.00000,{'minutes_from_open': 60.0}
TSLA,2025-04-25T14:15:00+00:00,2025-04-25T14:30:00+00:00,14,14,stock_gap_and_go,take_profit,270.75966,276.92161,0.01000,0.01107,0.05055,1,1.00000,{'minutes_from_open': 45.0}
TSLA,2025-05-02T14:45:00+00:00,2025-05-02T16:30:00+00:00,14,16,stock_gap_and_go,take_profit,286.65294,291.68496,0.01000,-0.00026,0.05058,7,1.00000,{'minutes_from_open': 75.0}
TSLA,2025-05-08T13:45:00+00:00,2025-05-08T15:30:00+00:00,13,15,stock_gap_and_go,take_profit,284.25294,289.34645,0.01000,0.00036,0.05057,7,1.00000,{'minutes_from_open': 15.0}
TSLA,2025-05-09T13:45:00+00:00,2025-05-09T14:15:00+00:00,13,14,stock_gap_and_go,trailing_stop,303.33729,302.03882,0.01000,-0.06359,0.05061,2,1.00000,{'minutes_from_open': 15.0}
TSLA,2025-05-13T14:00:00+00:00,2025-05-13T16:00:00+00:00,14,16,stock_gap_and_go,time_stop,323.80931,321.43542,0.01000,-0.07438,0.05065,8,1.00000,{'minutes_from_open': 30.0}
TSLA,2025-05-16T13:45:00+00:00,2025-05-16T14:00:00+00:00,13,14,stock_gap_and_go,stop_loss,348.16064,343.14033,0.01000,-0.10089,0.05069,1,1.00000,{'minutes_from_open': 15.0}
TSLA,2025-05-27T13:45:00+00:00,2025-05-27T14:45:00+00:00,13,14,stock_gap_and_go,trailing_stop,353.31171,354.48299,0.01000,-0.03899,0.05071,4,1.00000,{'minutes_from_open': 15.0}
