symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
TSLA,2025-10-13T13:35:00+00:00,2025-10-13T14:15:00+00:00,13,14,stock_news_momentum,stale_breakout,423.67352,422.55557,0.10000,-0.62026,0.50846,8,1.00000,"{'news_count_1d': 9.0, 'earnings_event_day': 0.0}"
TSLA,2025-10-13T16:20:00+00:00,2025-10-13T18:15:00+00:00,16,18,stock_news_momentum,take_profit,427.68552,434.83302,0.10000,0.20612,0.50863,23,1.00000,"{'news_count_1d': 9.0, 'earnings_event_day': 0.0}"
TSLA,2025-10-13T19:50:00+00:00,2025-10-14T13:00:00+00:00,19,13,stock_news_momentum,stop_loss,435.52709,426.11476,0.10000,-1.44985,0.50862,14,1.00000,"{'news_count_1d': 9.0, 'earnings_event_day': 0.0}"
TSLA,2025-10-14T15:35:00+00:00,2025-10-14T16:55:00+00:00,15,16,stock_news_momentum,trailing_stop,426.49528,430.03398,0.10000,-0.15470,0.50857,16,1.00000,"{'news_count_1d': 6.0, 'earnings_event_day': 0.0}"
TSLA,2025-10-15T14:25:00+00:00,2025-10-15T15:00:00+00:00,14,15,stock_news_momentum,stop_loss,439.52789,435.38791,0.10000,-0.92275,0.50875,7,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 0.0}"
TSLA,2025-10-15T19:55:00+00:00,2025-10-16T13:20:00+00:00,19,13,stock_news_momentum,stale_breakout,435.27704,435.45289,0.10000,-0.49112,0.50871,17,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 0.0}"
TSLA,2025-10-16T19:55:00+00:00,2025-10-17T13:00:00+00:00,19,13,stock_news_momentum,stop_loss,428.67072,425.57637,0.10000,-0.81798,0.50854,13,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
TSLA,2025-10-20T13:40:00+00:00,2025-10-20T14:15:00+00:00,13,14,stock_news_momentum,trailing_stop,444.82295,445.65585,0.10000,-0.42561,0.50890,7,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
TSLA,2025-10-22T13:30:00+00:00,2025-10-22T14:10:00+00:00,13,14,stock_news_momentum,stale_breakout,443.17782,438.87221,0.10000,-0.93938,0.50882,8,1.00000,"{'news_count_1d': 4.0, 'earnings_event_day': 1.0}"
TSLA,2025-10-23T15:00:00+00:00,2025-10-23T16:50:00+00:00,15,16,stock_news_momentum,take_profit,428.12561,443.26653,0.10000,1.00538,0.50871,22,1.00000,"{'news_count_1d': 8.0, 'earnings_event_day': 1.0}"
TSLA,2025-10-23T19:50:00+00:00,2025-10-24T13:30:00+00:00,19,13,stock_news_momentum,stale_breakout,448.71973,444.88101,0.10000,-0.89281,0.50894,20,1.00000,"{'news_count_1d': 8.0, 'earnings_event_day': 1.0}"
TSLA,2025-10-27T13:35:00+00:00,2025-10-27T19:15:00+00:00,13,19,stock_news_momentum,trailing_stop,445.56910,450.55987,0.10000,-0.00988,0.50896,68,1.00000,"{'news_count_1d': 10.0, 'earnings_event_day': 1.0}"
TSLA,2025-10-28T14:05:00+00:00,2025-10-28T17:45:00+00:00,14,17,stock_news_momentum,signal_exit,462.49148,462.88740,0.10000,-0.46966,0.50925,44,1.00000,"{'news_count_1d': 6.0, 'earnings_event_day': 1.0}"
TSLA,2025-10-29T18:00:00+00:00,2025-10-29T18:35:00+00:00,18,18,stock_news_momentum,stop_loss,461.31725,454.26913,0.10000,-1.21397,0.50916,7,1.00000,"{'news_count_1d': 6.0, 'earnings_event_day': 1.0}"
TSLA,2025-10-31T13:30:00+00:00,2025-10-31T16:00:00+00:00,13,16,stock_news_momentum,trailing_stop,448.40466,452.70944,0.10000,-0.07853,0.50901,30,1.00000,"{'news_count_1d': 2.0, 'earnings_event_day': 1.0}"
TSLA,2025-10-31T19:50:00+00:00,2025-11-03T13:05:00+00:00,19,13,stock_news_momentum,stale_breakout,455.66111,455.71884,0.10000,-0.50334,0.50911,15,1.00000,"{'news_count_1d': 2.0, 'earnings_event_day': 1.0}"
TSLA,2025-11-03T14:40:00+00:00,2025-11-03T15:20:00+00:00,14,15,stock_news_momentum,trailing_stop,463.80774,469.26613,0.10000,0.03651,0.50933,8,1.00000,"{'news_count_1d': 8.0, 'earnings_event_day': 1.0}"
TSLA,2025-11-05T14:25:00+00:00,2025-11-05T14:30:00+00:00,14,14,stock_news_momentum,stop_loss,452.15041,447.65685,0.10000,-0.95835,0.50900,1,1.00000,"{'news_count_1d': 10.0, 'earnings_event_day': 1.0}"
TSLA,2025-11-05T16:30:00+00:00,2025-11-05T18:45:00+00:00,16,18,stock_news_momentum,take_profit,452.29044,459.69304,0.10000,0.23114,0.50912,27,1.00000,"{'news_count_1d': 10.0, 'earnings_event_day': 1.0}"
TSLA,2025-11-05T19:50:00+00:00,2025-11-05T20:20:00+00:00,19,20,stock_news_momentum,stop_loss,465.90316,462.20754,0.10000,-0.87884,0.50928,6,1.00000,"{'news_count_1d': 10.0, 'earnings_event_day': 1.0}"
TSLA,2025-11-07T18:55:00+00:00,2025-11-07T20:20:00+00:00,18,20,stock_news_momentum,trailing_stop,432.53579,432.48349,0.10000,-0.51388,0.50865,17,1.00000,"{'news_count_1d': 10.0, 'earnings_event_day': 1.0}"
TSLA,2025-11-14T14:25:00+00:00,2025-11-18T14:40:00+00:00,14,14,stock_news_momentum,trailing_stop,386.40727,400.39990,0.10000,0.89140,0.50787,195,1.00000,"{'news_count_1d': 8.0, 'earnings_event_day': 1.0}"
TSLA,2025-11-19T14:00:00+00:00,2025-11-19T14:25:00+00:00,14,14,stock_news_momentum,signal_exit,406.43187,406.19874,0.10000,-0.53144,0.50813,5,1.00000,"{'news_count_1d': 12.0, 'earnings_event_day': 1.0}"
TSLA,2025-11-20T14:25:00+00:00,2025-11-20T14:40:00+00:00,14,14,stock_news_momentum,take_profit,414.91297,422.55437,0.10000,0.25577,0.50837,3,1.00000,"{'news_count_1d': 4.0, 'earnings_event_day': 1.0}"
TSLA,2025-11-24T14:25:00+00:00,2025-11-24T14:55:00+00:00,14,14,stock_news_momentum,take_profit,402.24043,411.70734,0.10000,0.43855,0.50814,6,1.00000,"{'news_count_1d': 11.0, 'earnings_event_day': 1.0}"
TSLA,2025-12-01T14:30:00+00:00,2025-12-01T16:10:00+00:00,14,16,stock_news_momentum,stale_breakout,428.98078,426.87961,0.10000,-0.71868,0.50856,20,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
TSLA,2025-12-03T14:30:00+00:00,2025-12-04T14:30:00+00:00,14,14,stock_news_momentum,signal_exit,435.52209,446.06077,0.10000,0.54505,0.50882,96,1.00000,"{'news_count_1d': 7.0, 'earnings_event_day': 1.0}"
TSLA,2025-12-05T15:45:00+00:00,2025-12-05T15:55:00+00:00,15,15,stock_news_momentum,stop_loss,458.86175,456.27873,0.10000,-0.76745,0.50915,2,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
TSLA,2025-12-12T14:30:00+00:00,2025-12-12T15:10:00+00:00,14,15,stock_news_momentum,trailing_stop,452.96057,454.73903,0.10000,-0.33123,0.50908,8,1.00000,"{'news_count_1d': 3.0, 'earnings_event_day': 0.0}"
TSLA,2025-12-12T18:10:00+00:00,2025-12-12T19:25:00+00:00,18,19,stock_news_momentum,stale_breakout,454.20082,450.81252,0.10000,-0.84788,0.50905,15,1.00000,"{'news_count_1d': 3.0, 'earnings_event_day': 0.0}"
