symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
TSLA,2025-04-07T17:45:00+00:00,2025-04-07T18:15:00+00:00,17,18,stock_trend_breakout,stop_loss,236.87766,231.42841,0.01000,-0.10496,0.05047,2,1.00000,"{'atr_proxy': 0.01613516367476238, 'momentum_20': 0.04640883977900545}"
TSLA,2025-04-08T14:00:00+00:00,2025-04-08T15:45:00+00:00,14,15,stock_trend_breakout,stop_loss,247.72990,242.96513,0.01000,-0.09814,0.05049,7,1.00000,"{'atr_proxy': 0.01466074313408722, 'momentum_20': 0.042087542087542174}"
TSLA,2025-04-09T17:00:00+00:00,2025-04-09T17:15:00+00:00,17,17,stock_trend_breakout,take_profit,235.17731,246.24035,0.01000,0.06015,0.05048,1,1.00000,"{'atr_proxy': 0.016537332482450557, 'momentum_20': 0.06143402197468739}"
TSLA,2025-04-15T13:45:00+00:00,2025-04-15T14:15:00+00:00,13,14,stock_trend_breakout,trailing_stop,254.72134,253.97875,0.01000,-0.05793,0.05051,2,1.00000,"{'atr_proxy': 0.011822930987077226, 'momentum_20': 0.005251520176893454}"
TSLA,2025-04-15T14:45:00+00:00,2025-04-15T15:15:00+00:00,14,15,stock_trend_breakout,trailing_stop,255.92789,255.09432,0.01000,-0.05885,0.05051,2,1.00000,"{'atr_proxy': 0.009851588940106008, 'momentum_20': 0.011852452531645463}"
TSLA,2025-04-22T13:30:00+00:00,2025-04-22T16:00:00+00:00,13,16,stock_trend_breakout,take_profit,234.34714,241.87126,0.01000,0.02476,0.05048,10,1.00000,"{'atr_proxy': 0.02053283237981387, 'momentum_20': 0.021456607064980426}"
TSLA,2025-04-23T14:30:00+00:00,2025-04-23T15:15:00+00:00,14,15,stock_trend_breakout,stale_breakout,256.36168,254.55534,0.01000,-0.06857,0.05051,3,1.00000,"{'atr_proxy': 0.03758342114506496, 'momentum_20': 0.012606702497628852}"
TSLA,2025-04-23T17:30:00+00:00,2025-04-23T18:15:00+00:00,17,18,stock_trend_breakout,trailing_stop,256.75176,256.34457,0.01000,-0.05459,0.05051,3,1.00000,"{'atr_proxy': 0.0075987841945289415, 'momentum_20': 0.001873975169829123}"
TSLA,2025-04-24T14:30:00+00:00,2025-04-24T16:30:00+00:00,14,16,stock_trend_breakout,time_stop,255.88158,255.00854,0.01000,-0.05924,0.05051,8,1.00000,"{'atr_proxy': 0.008523949169110374, 'momentum_20': 0.03479668217681575}"
TSLA,2025-04-24T17:15:00+00:00,2025-04-24T18:30:00+00:00,17,18,stock_trend_breakout,take_profit,255.49150,257.44744,0.01000,-0.03095,0.05051,5,1.00000,"{'atr_proxy': 0.00740131578947363, 'momentum_20': 0.01875049868347567}"
TSLA,2025-04-24T19:30:00+00:00,2025-04-24T19:45:00+00:00,19,19,stock_trend_breakout,take_profit,257.46191,259.37764,0.01000,-0.03136,0.05052,1,1.00000,"{'atr_proxy': 0.005829091050402097, 'momentum_20': 0.006177908113391917}"
TSLA,2025-04-25T14:00:00+00:00,2025-04-25T15:30:00+00:00,14,15,stock_trend_breakout,take_profit,270.20454,280.57336,0.01000,0.05314,0.05055,6,1.00000,"{'atr_proxy': 0.032436035102010555, 'momentum_20': 0.024156238149412257}"
TSLA,2025-04-29T19:30:00+00:00,2025-04-29T20:15:00+00:00,19,20,stock_trend_breakout,trailing_stop,289.39851,289.91133,0.01000,-0.04545,0.05058,3,1.00000,"{'atr_proxy': 0.009004701652492498, 'momentum_20': 0.02421924792861696}"
TSLA,2025-04-30T19:00:00+00:00,2025-05-01T13:00:00+00:00,19,13,stock_trend_breakout,time_stop,281.88706,279.36471,0.01000,-0.07578,0.05056,8,1.00000,"{'atr_proxy': 0.011960954051125464, 'momentum_20': 0.023280671170189615}"
TSLA,2025-05-01T14:15:00+00:00,2025-05-01T15:15:00+00:00,14,15,stock_trend_breakout,trailing_stop,286.35788,287.11191,0.01000,-0.04303,0.05057,4,1.00000,"{'atr_proxy': 0.01656068758297816, 'momentum_20': 0.010521112837170055}"
TSLA,2025-05-02T14:45:00+00:00,2025-05-02T16:30:00+00:00,14,16,stock_trend_breakout,take_profit,286.65294,291.68496,0.01000,-0.00026,0.05058,7,1.00000,"{'atr_proxy': 0.009912221000645604, 'momentum_20': 0.017670668466292394}"
TSLA,2025-05-02T17:00:00+00:00,2025-05-02T18:45:00+00:00,17,18,stock_trend_breakout,trailing_stop,291.78710,290.86113,0.01000,-0.05984,0.05058,7,1.00000,"{'atr_proxy': 0.011280718098283583, 'momentum_20': 0.03660245246134708}"
TSLA,2025-05-08T13:30:00+00:00,2025-05-08T14:00:00+00:00,13,14,stock_trend_breakout,stale_breakout,285.68774,280.14185,0.01000,-0.10602,0.05057,2,1.00000,"{'atr_proxy': 0.025669760112064382, 'momentum_20': 0.021718906540718397}"
TSLA,2025-05-08T14:30:00+00:00,2025-05-08T15:15:00+00:00,14,15,stock_trend_breakout,take_profit,282.50708,286.53203,0.01000,-0.01032,0.05057,3,1.00000,"{'atr_proxy': 0.006020469596628496, 'momentum_20': 0.004517965136961788}"
TSLA,2025-05-08T15:45:00+00:00,2025-05-08T17:00:00+00:00,15,17,stock_trend_breakout,stop_loss,288.93871,286.26268,0.01000,-0.07734,0.05058,5,1.00000,"{'atr_proxy': 0.006648192539966253, 'momentum_20': 0.028124955500178128}"
TSLA,2025-05-08T18:45:00+00:00,2025-05-08T19:30:00+00:00,18,19,stock_trend_breakout,trailing_stop,288.04863,287.76177,0.01000,-0.05344,0.05058,3,1.00000,"{'atr_proxy': 0.005140488151869337, 'momentum_20': 0.013356891827443373}"
TSLA,2025-05-09T13:30:00+00:00,2025-05-09T14:30:00+00:00,13,14,stock_trend_breakout,trailing_stop,298.14031,300.62482,0.01000,-0.02575,0.05060,4,1.00000,"{'atr_proxy': 0.03231543624161072, 'momentum_20': 0.038146664344190784}"
TSLA,2025-05-13T14:00:00+00:00,2025-05-13T16:00:00+00:00,14,16,stock_trend_breakout,time_stop,323.80931,321.43542,0.01000,-0.07438,0.05065,8,1.00000,"{'atr_proxy': 0.016838465357715396, 'momentum_20': 0.029956085918854347}"
TSLA,2025-05-13T16:45:00+00:00,2025-05-13T17:30:00+00:00,16,17,stock_trend_breakout,take_profit,326.19111,332.45254,0.01000,0.01196,0.05066,3,1.00000,"{'atr_proxy': 0.012758974988115214, 'momentum_20': 0.019591594221027187}"
TSLA,2025-05-13T18:00:00+00:00,2025-05-13T20:00:00+00:00,18,20,stock_trend_breakout,time_stop,335.61805,332.62250,0.01000,-0.08062,0.05067,8,1.00000,"{'atr_proxy': 0.008194771514591463, 'momentum_20': 0.04835325070133467}"
TSLA,2025-05-14T15:30:00+00:00,2025-05-14T17:30:00+00:00,15,17,stock_trend_breakout,time_stop,349.81309,344.93996,0.01000,-0.09943,0.05069,8,1.00000,"{'atr_proxy': 0.02061990704740387, 'momentum_20': 0.02914439604426655}"
TSLA,2025-05-14T18:00:00+00:00,2025-05-14T18:15:00+00:00,18,18,stock_trend_breakout,stop_loss,349.09084,346.57642,0.01000,-0.07584,0.05070,1,1.00000,"{'atr_proxy': 0.005387459162033647, 'momentum_20': 0.01601444211507097}"
