name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_regime_pnl,worst_regime,worst_regime_pnl,dominant_regime_share_pct,regime_filter_label,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
stock_trend_breakout__5m_us,Stock trend breakout outside event blackout windows [5m_us],single,-0.83993,4,25.00000,0.05127,0.00084,2.03536,-0.20998,0.04539,-0.29511,0.15380,14.50000,take_profit,50.00000,1,0.00000,0.00000,trend_up_vol_high,-0.32145,trend_flat_vol_high,-0.51849,50.00000,,3,0.00000,0.00000,0.00000,0.00000,0.00000,-0.32145,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\tsla_stock_trend_breakout__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\tsla_stock_trend_breakout__5m_us_5m_us_symbol_candidate_analysis.txt
stock_news_momentum__5m_us,Stock post-news momentum on high-impact event days [5m_us],single,-31.42312,77,23.37662,0.17548,0.03142,39.15726,-0.40809,0.37154,-0.64595,0.57518,18.59740,structure_exit,25.97403,1,0.00000,0.00000,trend_flat_vol_high,-8.08742,trend_up_vol_high,-23.33570,71.42857,,3,0.00000,-6.26164,-9.06451,0.06302,0.07705,-7.29064,-8.12656,0.03399,17,-9.08018,0.07304,19,artifacts\tsla_stock_news_momentum__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\tsla_stock_news_momentum__5m_us_5m_us_symbol_candidate_analysis.txt
stock_post_earnings_drift__5m_us,Stock post-earnings drift continuation after the open [5m_us],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,0.00000,,0.00000,0.00000,,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\tsla_stock_post_earnings_drift__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\tsla_stock_post_earnings_drift__5m_us_5m_us_symbol_candidate_analysis.txt
stock_gap_fade__5m_us,Stock gap fade after overextended opening move [5m_us],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,0.00000,,0.00000,0.00000,,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\tsla_stock_gap_fade__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\tsla_stock_gap_fade__5m_us_5m_us_symbol_candidate_analysis.txt
stock_gap_and_go__5m_us,Stock gap-and-go continuation after the open [5m_us],single,0.55824,1,100.00000,999.00000,0.00023,0.50892,0.55824,0.55824,0.00000,999.00000,39.00000,take_profit,100.00000,1,0.00000,0.00000,trend_flat_vol_high,0.55824,trend_flat_vol_high,0.55824,100.00000,,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.55824,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\tsla_stock_gap_and_go__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\tsla_stock_gap_and_go__5m_us_5m_us_symbol_candidate_analysis.txt
stock_power_hour_continuation__5m_us,Stock power-hour continuation into the close [5m_us],single,-1.52979,3,0.00000,0.00000,0.00153,1.52649,-0.50993,0.00000,-0.50993,0.00000,9.33333,time_stop,33.33333,1,0.00000,0.00000,trend_flat_vol_mid,-0.23387,trend_up_vol_high,-0.65083,33.33333,,3,0.00000,0.00000,0.00000,0.00000,0.00000,-0.64509,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\tsla_stock_power_hour_continuation__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\tsla_stock_power_hour_continuation__5m_us_5m_us_symbol_candidate_analysis.txt
momentum__5m_us,Momentum confirmation [5m_us],single,-0.82560,4,25.00000,0.40340,0.00162,2.03503,-0.20640,0.55824,-0.46128,1.21020,22.50000,take_profit,50.00000,1,0.00000,0.00000,trend_flat_vol_high,0.02592,trend_up_vol_high,-0.65083,50.00000,,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.55824,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\tsla_momentum__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\tsla_momentum__5m_us_5m_us_symbol_candidate_analysis.txt
mean_reversion__5m_us,Intraday mean reversion away from event windows [5m_us],single,0.17824,2,100.00000,999.00000,0.00012,1.01723,0.08912,0.08912,0.00000,999.00000,20.00000,signal_exit,50.00000,1,0.00000,0.00000,trend_flat_vol_high,0.11370,trend_down_vol_high,0.06454,50.00000,,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\tsla_mean_reversion__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\tsla_mean_reversion__5m_us_5m_us_symbol_candidate_analysis.txt
volatility_breakout__5m_us,Generic volatility breakout outside event blackout windows [5m_us],single,-2.11547,6,16.66667,0.20879,0.00291,3.05248,-0.35258,0.55824,-0.53474,1.04395,12.50000,signal_exit,66.66667,1,0.00000,0.00000,trend_flat_vol_high,-0.06193,trend_up_vol_high,-1.27007,33.33333,,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.55824,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\tsla_volatility_breakout__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\tsla_volatility_breakout__5m_us_5m_us_symbol_candidate_analysis.txt
stock_trend_breakout__5m_us__exit_trend,Stock trend breakout outside event blackout windows [5m_us] with trend-runner exits,entry_exit_family,-0.75761,4,25.00000,0.18621,0.00076,2.03537,-0.18940,0.17335,-0.31032,0.55862,15.50000,take_profit,50.00000,1,0.00000,0.00000,trend_up_vol_high,-0.23912,trend_flat_vol_high,-0.51849,50.00000,,3,0.00000,0.00000,0.00000,0.00000,0.00000,-0.23912,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\tsla_stock_trend_breakout__5m_us__exit_trend_5m_us_symbol_candidate_trades.csv,artifacts\tsla_stock_trend_breakout__5m_us__exit_trend_5m_us_symbol_candidate_analysis.txt
