symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-02T15:05:00+00:00,2025-04-02T15:20:00+00:00,15,15,mean_reversion,structure_exit,8557.50483,8553.29517,0.10000,-1.09207,0.67111,3,1.00000,"{'mean': 8603.975, 'z_score_20': -1.9833426115003174}"
UK100,2025-04-09T17:50:00+00:00,2025-04-10T15:00:00+00:00,17,15,mean_reversion,take_profit,7658.82513,7990.90767,0.10000,32.55176,0.65650,2,1.00000,"{'mean': 7694.1, 'z_score_20': -2.418405123056587}"
UK100,2025-04-10T16:35:00+00:00,2025-04-10T17:05:00+00:00,16,17,mean_reversion,structure_exit,7967.38683,7958.11423,0.10000,-1.58652,0.65926,6,1.00000,"{'mean': 7997.487499999999, 'z_score_20': -1.6175886696509114}"
UK100,2025-04-11T16:15:00+00:00,2025-04-11T16:30:00+00:00,16,16,mean_reversion,structure_exit,7921.27761,7917.82229,0.10000,-1.00392,0.65839,3,1.00000,"{'mean': 7953.3125, 'z_score_20': -1.940111530634921}"
UK100,2025-05-22T15:00:00+00:00,2025-05-22T15:10:00+00:00,15,15,mean_reversion,stop_loss,8705.13435,8689.36795,0.10000,-2.25059,0.67395,2,1.00000,"{'mean': 8775.6125, 'z_score_20': -2.286643189521688}"
UK100,2025-07-30T15:00:00+00:00,2025-07-30T15:35:00+00:00,15,15,mean_reversion,take_profit,9103.01391,9113.78305,0.10000,0.39475,0.68217,7,1.00000,"{'mean': 9142.6125, 'z_score_20': -2.2613172887717305}"
UK100,2025-09-02T15:00:00+00:00,2025-09-02T15:15:00+00:00,15,15,mean_reversion,structure_exit,9142.52181,9132.87923,0.10000,-1.64701,0.68275,3,1.00000,"{'mean': 9181.025, 'z_score_20': -2.026125494943754}"
UK100,2025-11-13T15:00:00+00:00,2025-11-13T15:40:00+00:00,15,15,mean_reversion,take_profit,9829.85925,9838.93799,0.10000,0.21119,0.69669,8,1.00000,"{'mean': 9903.050000000001, 'z_score_20': -2.1625433856210834}"
UK100,2026-02-13T15:10:00+00:00,2026-02-13T16:15:00+00:00,15,16,mean_reversion,trailing_stop,10381.46955,10384.72881,0.10000,-0.38174,0.70766,13,1.00000,"{'mean': 10430.9125, 'z_score_20': -2.2085224473300675}"
UK100,2026-03-02T15:00:00+00:00,2026-03-02T15:30:00+00:00,15,15,mean_reversion,trailing_stop,10752.34371,10750.45565,0.10000,-0.90383,0.71503,6,1.00000,"{'mean': 10886.775000000001, 'z_score_20': -1.9333253827941723}"
UK100,2026-03-03T15:05:00+00:00,2026-03-03T15:40:00+00:00,15,15,mean_reversion,stale_breakout,10483.18989,10481.20951,0.10000,-0.90768,0.70964,7,1.00000,"{'mean': 10696.625, 'z_score_20': -2.44116664020525}"
UK100,2026-03-06T15:50:00+00:00,2026-03-06T16:05:00+00:00,15,16,mean_reversion,structure_exit,10282.84983,10255.65463,0.10000,-3.42491,0.70539,3,1.00000,"{'mean': 10329.44, 'z_score_20': -3.0146937813351906}"
UK100,2026-03-11T15:05:00+00:00,2026-03-11T15:40:00+00:00,15,15,mean_reversion,structure_exit,10317.55677,10309.64383,0.10000,-1.49757,0.70627,7,1.00000,"{'mean': 10401.9625, 'z_score_20': -1.6972469987732122}"
UK100,2026-03-19T15:00:00+00:00,2026-03-19T15:15:00+00:00,15,15,mean_reversion,structure_exit,10047.90285,10034.09895,0.10000,-2.08121,0.70082,3,1.00000,"{'mean': 10262.65, 'z_score_20': -2.7335832685736916}"
UK100,2026-03-20T17:05:00+00:00,2026-03-20T17:20:00+00:00,17,17,mean_reversion,structure_exit,10003.59399,9958.81401,0.10000,-5.17762,0.69962,3,1.00000,"{'mean': 10049.612500000001, 'z_score_20': -2.982757479742992}"
UK100,2026-03-26T15:00:00+00:00,2026-03-26T15:30:00+00:00,15,15,mean_reversion,trailing_stop,9960.88545,9960.61365,0.10000,-0.72639,0.69921,6,1.00000,"{'mean': 10089.8375, 'z_score_20': -1.6842857353830645}"
UK100,2026-04-02T15:05:00+00:00,2026-04-02T16:10:00+00:00,15,16,mean_reversion,trailing_stop,10291.15149,10303.74501,0.10000,0.55340,0.70595,13,1.00000,"{'mean': 10331.425, 'z_score_20': -2.437725216398148}"
UK100,2026-04-13T15:00:00+00:00,2026-04-13T16:45:00+00:00,15,16,mean_reversion,take_profit,10532.79981,10583.78899,0.10000,4.38775,0.71117,21,1.00000,"{'mean': 10601.2125, 'z_score_20': -2.14782249771553}"
