symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-07T14:30:00+00:00,2025-04-07T14:40:00+00:00,14,14,mean_reversion,structure_exit,7688.43105,7683.56915,0.10000,-1.13991,0.65372,2,1.00000,"{'mean': 7736.6, 'z_score_20': -1.8963712288210237}"
UK100,2025-04-07T18:25:00+00:00,2025-04-07T19:05:00+00:00,18,19,mean_reversion,trailing_stop,7667.28682,7678.33020,0.10000,0.45088,0.65346,8,1.00000,"{'mean': 7774.585, 'z_score_20': -1.9567933421126615}"
UK100,2025-04-09T14:00:00+00:00,2025-04-09T14:30:00+00:00,14,14,mean_reversion,structure_exit,7634.32023,7623.48117,0.10000,-1.73648,0.65258,6,1.00000,"{'mean': 7678.625, 'z_score_20': -2.8745415755522212}"
UK100,2025-04-09T17:50:00+00:00,2025-04-09T19:00:00+00:00,17,19,mean_reversion,stale_breakout,7658.82513,7656.97447,0.10000,-0.83822,0.65316,14,1.00000,"{'mean': 7694.1, 'z_score_20': -2.418405123056587}"
UK100,2025-04-10T16:35:00+00:00,2025-04-10T17:00:00+00:00,16,17,mean_reversion,stale_breakout,7967.38683,7965.61273,0.10000,-0.83674,0.65933,5,1.00000,"{'mean': 7997.487499999999, 'z_score_20': -1.6175886696509114}"
UK100,2025-04-11T16:15:00+00:00,2025-04-11T16:25:00+00:00,16,16,mean_reversion,structure_exit,7921.27761,7909.32399,0.10000,-1.85367,0.65831,2,1.00000,"{'mean': 7953.3125, 'z_score_20': -1.940111530634921}"
UK100,2025-05-23T14:40:00+00:00,2025-05-23T14:50:00+00:00,14,14,mean_reversion,structure_exit,8693.03193,8655.97463,0.10000,-4.37922,0.67349,2,1.00000,"{'mean': 8729.875, 'z_score_20': -3.849189334908462}"
UK100,2025-10-10T18:05:00+00:00,2025-10-10T18:15:00+00:00,18,18,mean_reversion,structure_exit,9437.38077,9430.01979,0.10000,-1.42477,0.68867,2,1.00000,"{'mean': 9479.825, 'z_score_20': -3.0549405144474022}"
UK100,2026-03-06T15:50:00+00:00,2026-03-06T16:00:00+00:00,15,16,mean_reversion,structure_exit,10282.84983,10269.65183,0.10000,-2.02533,0.70553,2,1.00000,"{'mean': 10329.44, 'z_score_20': -3.0146937813351906}"
UK100,2026-03-20T17:05:00+00:00,2026-03-20T17:15:00+00:00,17,17,mean_reversion,structure_exit,10003.59399,9967.31231,0.10000,-4.32788,0.69971,2,1.00000,"{'mean': 10049.612500000001, 'z_score_20': -2.982757479742992}"
UK100,2026-03-23T18:50:00+00:00,2026-03-23T19:00:00+00:00,18,19,mean_reversion,structure_exit,9951.48357,9922.22133,0.10000,-3.62496,0.69874,2,1.00000,"{'mean': 9990.0875, 'z_score_20': -2.3221213738132698}"
