symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-11T18:30:00+00:00,2025-04-14T18:00:00+00:00,18,18,momentum_confirmation,take_profit,8000.49345,8134.87887,0.10000,12.77719,0.66135,6,1.00000,"{'momentum_5': 0.00744388744741431, 'momentum_20': 0.0027832453643918953}"
UK100,2025-04-16T18:00:00+00:00,2025-04-16T18:45:00+00:00,18,18,momentum_confirmation,trailing_stop,8257.84491,8252.35537,0.10000,-1.21406,0.66510,3,1.00000,"{'momentum_5': 0.004844206426484865, 'momentum_20': 0.0050399298792365155}"
UK100,2025-04-17T19:45:00+00:00,2025-04-22T19:00:00+00:00,19,19,momentum_confirmation,take_profit,8319.05715,8368.03223,0.10000,4.23064,0.66687,5,1.00000,"{'momentum_5': 0.006291591046581946, 'momentum_20': 0.01148055359618616}"
UK100,2025-05-02T18:00:00+00:00,2025-05-02T18:30:00+00:00,18,18,momentum_confirmation,stop_loss,8616.51663,8593.98703,0.10000,-2.92507,0.67211,2,1.00000,"{'momentum_5': 0.004044430457941228, 'momentum_20': 0.006061313868613194}"
UK100,2025-05-12T18:00:00+00:00,2025-05-12T18:30:00+00:00,18,18,momentum_confirmation,structure_exit,8613.51603,8594.38695,0.10000,-2.58499,0.67208,2,1.00000,"{'momentum_5': 0.004643240468523935, 'momentum_20': 0.0028882211818412884}"
UK100,2025-07-23T19:15:00+00:00,2025-07-24T18:00:00+00:00,19,18,momentum_confirmation,take_profit,9102.31377,9151.37553,0.10000,4.22364,0.68254,3,1.00000,"{'momentum_5': 0.004004942739248563, 'momentum_20': 0.003894184096725928}"
UK100,2026-01-05T18:30:00+00:00,2026-01-06T18:00:00+00:00,18,18,momentum_confirmation,take_profit,10010.89545,10143.07715,0.10000,12.51663,0.70154,6,1.00000,"{'momentum_5': 0.004183890516514799, 'momentum_20': 0.004819035188996512}"
UK100,2026-02-11T18:30:00+00:00,2026-02-12T18:00:00+00:00,18,18,momentum_confirmation,structure_exit,10488.59097,10411.22351,0.10000,-8.44574,0.70900,6,1.00000,"{'momentum_5': 0.005504041730992393, 'momentum_20': 0.005504041730992393}"
UK100,2026-02-27T18:00:00+00:00,2026-02-27T18:30:00+00:00,18,18,momentum_confirmation,stop_loss,10935.08025,10898.52603,0.10000,-4.37376,0.71834,2,1.00000,"{'momentum_5': 0.005010112152969315, 'momentum_20': 0.003921100479347794}"
UK100,2026-03-09T19:15:00+00:00,2026-03-10T18:00:00+00:00,19,18,momentum_confirmation,take_profit,10268.94705,10426.12053,0.10000,15.01040,0.70695,3,1.00000,"{'momentum_5': 0.004353355507728418, 'momentum_20': 0.012725030826140626}"
UK100,2026-03-30T18:30:00+00:00,2026-03-31T18:45:00+00:00,18,18,momentum_confirmation,trailing_stop,10150.92345,10162.77321,0.10000,0.48184,0.70314,9,1.00000,"{'momentum_5': 0.006037114873706395, 'momentum_20': 0.011532174467745904}"
UK100,2026-04-02T18:00:00+00:00,2026-04-02T18:15:00+00:00,18,18,momentum_confirmation,stop_loss,10453.68399,10424.92077,0.10000,-3.58511,0.70879,1,1.00000,"{'momentum_5': 0.00761651337228364, 'momentum_20': 0.010373263469291238}"
UK100,2026-04-09T18:45:00+00:00,2026-04-10T18:00:00+00:00,18,18,momentum_confirmation,structure_exit,10624.91823,10606.08453,0.10000,-2.59568,0.71231,5,1.00000,"{'momentum_5': 0.005794796045903716, 'momentum_20': 0.005299818291944369}"
