symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-11T18:30:00+00:00,2025-04-14T18:00:00+00:00,18,18,momentum_confirmation,take_profit,8001.17595,8134.19637,0.01000,1.26407,0.06614,6,1.00000,"{'momentum_5': 0.00744388744741431, 'momentum_20': 0.0027832453643918953}"
UK100,2025-04-16T18:00:00+00:00,2025-04-16T18:30:00+00:00,18,18,momentum_confirmation,trailing_stop,8258.52741,8260.17117,0.01000,-0.05008,0.06652,2,1.00000,"{'momentum_5': 0.004844206426484865, 'momentum_20': 0.0050399298792365155}"
UK100,2025-04-17T19:45:00+00:00,2025-04-22T18:45:00+00:00,19,18,momentum_confirmation,take_profit,8319.73965,8352.15277,0.01000,0.25746,0.06667,4,1.00000,"{'momentum_5': 0.006291591046581946, 'momentum_20': 0.01148055359618616}"
UK100,2025-04-22T19:15:00+00:00,2025-04-23T18:00:00+00:00,19,18,momentum_confirmation,take_profit,8373.85047,8412.54069,0.01000,0.32012,0.06679,3,1.00000,"{'momentum_5': 0.004499856004607894, 'momentum_20': 0.011039047308477379}"
UK100,2025-05-02T18:00:00+00:00,2025-05-02T18:30:00+00:00,18,18,momentum_confirmation,stop_loss,8617.19913,8593.30453,0.01000,-0.30616,0.06721,2,1.00000,"{'momentum_5': 0.004044430457941228, 'momentum_20': 0.006061313868613194}"
UK100,2025-05-12T18:00:00+00:00,2025-05-12T18:30:00+00:00,18,18,momentum_confirmation,stale_breakout,8614.19853,8593.70445,0.01000,-0.27215,0.06721,2,1.00000,"{'momentum_5': 0.004643240468523935, 'momentum_20': 0.0028882211818412884}"
UK100,2025-07-23T19:15:00+00:00,2025-07-24T18:00:00+00:00,19,18,momentum_confirmation,take_profit,9102.99627,9150.69303,0.01000,0.40871,0.06825,3,1.00000,"{'momentum_5': 0.004004942739248563, 'momentum_20': 0.003894184096725928}"
UK100,2026-01-05T18:30:00+00:00,2026-01-05T19:15:00+00:00,18,19,momentum_confirmation,trailing_stop,10011.57795,10012.02073,0.01000,-0.06560,0.07002,3,1.00000,"{'momentum_5': 0.004183890516514799, 'momentum_20': 0.004819035188996512}"
UK100,2026-02-11T18:30:00+00:00,2026-02-12T18:00:00+00:00,18,18,momentum_confirmation,stale_breakout,10489.27347,10410.54101,0.01000,-0.85822,0.07090,6,1.00000,"{'momentum_5': 0.005504041730992393, 'momentum_20': 0.005504041730992393}"
UK100,2026-02-27T18:00:00+00:00,2026-02-27T18:30:00+00:00,18,18,momentum_confirmation,stop_loss,10935.76275,10897.84353,0.01000,-0.45103,0.07183,2,1.00000,"{'momentum_5': 0.005010112152969315, 'momentum_20': 0.003921100479347794}"
UK100,2026-03-09T19:15:00+00:00,2026-03-10T18:00:00+00:00,19,18,momentum_confirmation,take_profit,10269.62955,10425.43803,0.01000,1.48739,0.07070,3,1.00000,"{'momentum_5': 0.004353355507728418, 'momentum_20': 0.012725030826140626}"
UK100,2026-03-30T18:30:00+00:00,2026-03-31T18:00:00+00:00,18,18,momentum_confirmation,take_profit,10151.60595,10205.18209,0.01000,0.46540,0.07036,6,1.00000,"{'momentum_5': 0.006037114873706395, 'momentum_20': 0.011532174467745904}"
UK100,2026-04-02T18:00:00+00:00,2026-04-02T18:15:00+00:00,18,18,momentum_confirmation,stop_loss,10454.36649,10424.23827,0.01000,-0.37216,0.07088,1,1.00000,"{'momentum_5': 0.00761651337228364, 'momentum_20': 0.010373263469291238}"
UK100,2026-04-09T18:45:00+00:00,2026-04-10T18:00:00+00:00,18,18,momentum_confirmation,stale_breakout,10625.60073,10605.40203,0.01000,-0.27322,0.07123,5,1.00000,"{'momentum_5': 0.005794796045903716, 'momentum_20': 0.005299818291944369}"
