symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-08T15:00:00+00:00,2025-04-09T15:00:00+00:00,15,15,momentum_confirmation,structure_exit,7937.61303,7675.43793,0.10000,-26.87364,0.65613,3,1.00000,"{'momentum_5': 0.01294605809128635, 'momentum_20': 0.021659348159212888}"
UK100,2025-04-15T17:00:00+00:00,2025-04-16T17:00:00+00:00,17,17,momentum_confirmation,structure_exit,8252.17593,8238.52529,0.10000,-2.02997,0.66491,3,1.00000,"{'momentum_5': 0.004848573447360005, 'momentum_20': 0.019693167348654228}"
UK100,2025-05-02T17:00:00+00:00,2025-05-07T15:00:00+00:00,17,15,momentum_confirmation,structure_exit,8625.05049,8545.86381,0.10000,-8.59038,0.67171,4,1.00000,"{'momentum_5': 0.006385338236152505, 'momentum_20': 0.017899310475111063}"
UK100,2025-05-20T15:00:00+00:00,2025-05-22T15:00:00+00:00,15,15,momentum_confirmation,structure_exit,8768.47917,8714.53007,0.10000,-6.06974,0.67483,6,1.00000,"{'momentum_5': 0.004181895257845403, 'momentum_20': 0.01171636019438771}"
UK100,2025-06-12T17:00:00+00:00,2025-06-13T16:00:00+00:00,17,16,momentum_confirmation,stop_loss,8894.50437,8838.20533,0.10000,-6.30723,0.67733,2,1.00000,"{'momentum_5': 0.005166819296996028, 'momentum_20': 0.0038616141999006093}"
UK100,2025-07-24T15:00:00+00:00,2025-07-24T16:00:00+00:00,15,16,momentum_confirmation,stop_loss,9150.35553,9132.14653,0.10000,-2.50373,0.68283,1,1.00000,"{'momentum_5': 0.004535919429770052, 'momentum_20': 0.00897959183673458}"
UK100,2025-08-20T15:00:00+00:00,2025-08-20T17:00:00+00:00,15,17,momentum_confirmation,take_profit,9246.67479,9286.81559,0.10000,3.32875,0.68533,2,1.00000,"{'momentum_5': 0.007170177292985747, 'momentum_20': 0.006544987258510604}"
UK100,2025-09-04T16:00:00+00:00,2025-09-05T17:00:00+00:00,16,17,momentum_confirmation,structure_exit,9225.61058,9192.63443,0.10000,-3.98180,0.68418,4,1.00000,"{'momentum_5': 0.004853385056281301, 'momentum_20': 0.00671826726782454}"
UK100,2025-09-26T16:00:00+00:00,2025-10-01T15:00:00+00:00,16,15,momentum_confirmation,take_profit,9293.28411,9403.49225,0.10000,10.33385,0.68697,8,1.00000,"{'momentum_5': 0.005270220548449167, 'momentum_20': 0.005890697246315524}"
UK100,2025-10-08T15:00:00+00:00,2025-10-08T16:00:00+00:00,15,16,momentum_confirmation,stop_loss,9577.34091,9527.96735,0.10000,-5.62841,0.69105,1,1.00000,"{'momentum_5': 0.005884021728851607, 'momentum_20': 0.00840575130352339}"
UK100,2025-10-23T15:00:00+00:00,2025-10-24T17:00:00+00:00,15,17,momentum_confirmation,take_profit,9580.74159,9617.64941,0.10000,2.99880,0.69198,5,1.00000,"{'momentum_5': 0.00561785954301075, 'momentum_20': 0.00510070213368885}"
UK100,2025-11-05T16:00:00+00:00,2025-11-06T16:00:00+00:00,16,16,momentum_confirmation,structure_exit,9776.78079,9740.52483,0.10000,-4.32077,0.69517,3,1.00000,"{'momentum_5': 0.007484458923104009, 'momentum_20': 0.007006914175605727}"
UK100,2025-11-12T16:00:00+00:00,2025-11-13T15:00:00+00:00,16,15,momentum_confirmation,stop_loss,9935.81259,9844.90395,0.10000,-9.78867,0.69781,2,1.00000,"{'momentum_5': 0.004287462206627568, 'momentum_20': 0.0051005434507607195}"
UK100,2025-11-25T16:00:00+00:00,2025-11-28T15:00:00+00:00,16,15,momentum_confirmation,take_profit,9589.64337,9709.63101,0.10000,11.30577,0.69299,8,1.00000,"{'momentum_5': 0.0053383955446946185, 'momentum_20': 0.0021955962612132396}"
UK100,2025-12-11T17:00:00+00:00,2025-12-12T17:00:00+00:00,17,17,momentum_confirmation,structure_exit,9714.76839,9650.44285,0.10000,-7.12621,0.69365,3,1.00000,"{'momentum_5': 0.0047595890198350865, 'momentum_20': 0.005966995058582336}"
