symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-08T14:00:00+00:00,2025-04-09T13:00:00+00:00,14,13,momentum_confirmation,structure_exit,7912.37583,7685.16883,0.10000,-23.37668,0.65598,7,1.00000,"{'momentum_5': 0.01271786415672116, 'momentum_20': 0.02212114947281374}"
UK100,2025-04-11T19:00:00+00:00,2025-04-15T13:00:00+00:00,19,13,momentum_confirmation,take_profit,8050.80351,8199.66591,0.10000,14.22374,0.66250,10,1.00000,"{'momentum_5': 0.012644213227985812, 'momentum_20': 0.016134326473929983}"
UK100,2025-04-16T18:00:00+00:00,2025-04-17T13:00:00+00:00,18,13,momentum_confirmation,structure_exit,8256.44463,8214.56293,0.10000,-4.85288,0.66471,3,0.84696,"{'momentum_5': 0.004294874134637583, 'momentum_20': 0.0012615235322659402}"
UK100,2025-04-22T18:00:00+00:00,2025-04-23T20:00:00+00:00,18,20,momentum_confirmation,trailing_stop,8356.96473,8400.32577,0.10000,3.66853,0.66757,10,1.00000,"{'momentum_5': 0.008631721273873127, 'momentum_20': 0.010021760154738768}"
UK100,2025-04-29T18:00:00+00:00,2025-04-29T20:00:00+00:00,18,20,momentum_confirmation,take_profit,8468.78709,8496.70649,0.10000,2.12229,0.66965,2,1.00000,"{'momentum_5': 0.004020017076178828, 'momentum_20': 0.007496697883075276}"
UK100,2025-05-02T17:00:00+00:00,2025-05-06T16:00:00+00:00,17,16,momentum_confirmation,structure_exit,8623.31799,8580.08981,0.10000,-4.99485,0.67203,7,1.00000,"{'momentum_5': 0.006385338236152505, 'momentum_20': 0.017899310475111063}"
UK100,2025-05-12T15:00:00+00:00,2025-05-12T16:00:00+00:00,15,16,momentum_confirmation,stop_loss,8601.41361,8569.49193,0.10000,-3.86388,0.67171,1,1.00000,"{'momentum_5': 0.004180533660302466, 'momentum_20': 0.005166508866056407}"
UK100,2025-05-20T15:00:00+00:00,2025-05-21T14:00:00+00:00,15,14,momentum_confirmation,trailing_stop,8766.74667,8776.05061,0.10000,0.25497,0.67543,7,1.00000,"{'momentum_5': 0.004181895257845403, 'momentum_20': 0.01171636019438771}"
UK100,2025-06-12T17:00:00+00:00,2025-06-13T13:00:00+00:00,17,13,momentum_confirmation,structure_exit,8892.77187,8851.03561,0.10000,-4.85106,0.67744,4,1.00000,"{'momentum_5': 0.005166819296996028, 'momentum_20': 0.0038616141999006093}"
UK100,2025-06-27T14:00:00+00:00,2025-06-27T16:00:00+00:00,14,16,momentum_confirmation,stop_loss,8789.85129,8767.95223,0.10000,-2.86548,0.67558,2,1.00000,"{'momentum_5': 0.004733430136172112, 'momentum_20': 0.005561213397260678}"
