symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-08T14:30:00+00:00,2025-04-08T18:00:00+00:00,14,18,momentum_confirmation,trailing_stop,7914.10833,7884.69607,0.10000,-3.59921,0.65799,7,1.00000,"{'momentum_5': 0.008735127966436718, 'momentum_20': 0.003340918257851877}"
UK100,2025-04-11T18:30:00+00:00,2025-04-14T15:30:00+00:00,18,15,momentum_confirmation,take_profit,8011.72785,8126.64767,0.10000,10.83060,0.66138,10,1.00000,"{'momentum_5': 0.012223022764905833, 'momentum_20': 0.00227790432801811}"
UK100,2025-04-15T16:30:00+00:00,2025-04-16T13:00:00+00:00,16,13,momentum_confirmation,structure_exit,8238.17313,8213.83023,0.10000,-3.09881,0.66452,9,1.00000,"{'momentum_5': 0.00408491750905382, 'momentum_20': 0.01127404023284928}"
UK100,2025-04-16T19:00:00+00:00,2025-04-16T20:30:00+00:00,19,20,momentum_confirmation,stop_loss,8252.67603,8207.13157,0.10000,-5.21904,0.66460,3,1.00000,"{'momentum_5': 0.004004381694254988, 'momentum_20': 0.005534223197415589}"
UK100,2025-04-17T18:30:00+00:00,2025-04-22T13:30:00+00:00,18,13,momentum_confirmation,trailing_stop,8275.78065,8279.61707,0.10000,-0.28191,0.66555,6,1.00000,"{'momentum_5': 0.005152133761057609, 'momentum_20': 0.004102837998591902}"
UK100,2025-04-22T19:30:00+00:00,2025-04-22T20:00:00+00:00,19,20,momentum_confirmation,stop_loss,8365.39857,8327.80743,0.10000,-4.42605,0.66693,1,1.00000,"{'momentum_5': 0.006039897008927486, 'momentum_20': 0.009611205022941327}"
UK100,2025-04-24T18:30:00+00:00,2025-04-25T13:00:00+00:00,18,13,momentum_confirmation,structure_exit,8418.50919,8407.39151,0.10000,-1.78003,0.66826,5,1.00000,"{'momentum_5': 0.004704309099375692, 'momentum_20': 0.004224696573699616}"
UK100,2025-04-29T17:30:00+00:00,2025-04-30T15:30:00+00:00,17,15,momentum_confirmation,structure_exit,8471.11971,8446.88361,0.10000,-3.09279,0.66918,12,1.00000,"{'momentum_5': 0.004091167820889918, 'momentum_20': 0.003853084839000376}"
UK100,2025-05-02T15:30:00+00:00,2025-05-06T13:00:00+00:00,15,13,momentum_confirmation,structure_exit,8601.34575,8574.55807,0.10000,-3.35053,0.67176,11,1.00000,"{'momentum_5': 0.0047329671613882685, 'momentum_20': 0.005532034338378011}"
UK100,2025-05-19T18:30:00+00:00,2025-05-20T13:30:00+00:00,18,13,momentum_confirmation,take_profit,8710.66761,8750.72283,0.10000,3.33091,0.67461,6,1.00000,"{'momentum_5': 0.007813133008461426, 'momentum_20': 0.0055086556339571935}"
UK100,2025-07-08T18:30:00+00:00,2025-07-09T17:00:00+00:00,18,17,momentum_confirmation,structure_exit,8875.60059,8857.30151,0.10000,-2.50724,0.67733,13,1.00000,"{'momentum_5': 0.006032772013381038, 'momentum_20': 0.00858325185875719}"
UK100,2025-07-10T18:30:00+00:00,2025-07-11T13:00:00+00:00,18,13,momentum_confirmation,structure_exit,8982.82203,8915.18993,0.10000,-7.44219,0.67898,5,1.00000,"{'momentum_5': 0.004250131418537251, 'momentum_20': 0.008887840176183825}"
UK100,2025-07-29T13:30:00+00:00,2025-07-29T14:00:00+00:00,13,14,momentum_confirmation,stop_loss,9151.05567,9133.54625,0.10000,-2.43379,0.68285,1,1.00000,"{'momentum_5': 0.004171652523300873, 'momentum_20': 0.006957364127742505}"
UK100,2025-08-20T14:30:00+00:00,2025-08-20T16:30:00+00:00,14,16,momentum_confirmation,take_profit,9240.37353,9274.11813,0.10000,2.68932,0.68514,4,1.00000,"{'momentum_5': 0.004480598573168404, 'momentum_20': 0.005716525659033689}"
UK100,2025-09-03T18:00:00+00:00,2025-09-04T16:30:00+00:00,18,16,momentum_confirmation,take_profit,9178.26111,9217.66942,0.10000,3.25687,0.68396,13,1.00000,"{'momentum_5': 0.0041262614101524875, 'momentum_20': 0.005744417281487335}"
UK100,2025-09-11T18:30:00+00:00,2025-09-12T17:00:00+00:00,18,17,momentum_confirmation,structure_exit,9311.68779,9301.01275,0.10000,-1.75363,0.68613,13,1.00000,"{'momentum_5': 0.006074690590715193, 'momentum_20': 0.007272333748173931}"
UK100,2025-09-23T16:30:00+00:00,2025-09-23T17:30:00+00:00,16,17,momentum_confirmation,structure_exit,9271.97985,9242.92437,0.10000,-3.59070,0.68515,2,0.94181,"{'momentum_5': 0.004084374289026416, 'momentum_20': 0.0021084500189219035}"
UK100,2025-09-24T16:30:00+00:00,2025-09-25T13:00:00+00:00,16,13,momentum_confirmation,structure_exit,9252.17589,9221.12873,0.10000,-3.78945,0.68473,9,1.00000,"{'momentum_5': 0.004420309530274391, 'momentum_20': 0.004507586866086655}"
UK100,2025-09-30T18:00:00+00:00,2025-10-01T16:30:00+00:00,18,16,momentum_confirmation,take_profit,9361.99785,9428.67721,0.10000,5.98003,0.68791,13,1.00000,"{'momentum_5': 0.004088026695565405, 'momentum_20': 0.006074289093157104}"
UK100,2025-10-08T13:30:00+00:00,2025-10-09T13:00:00+00:00,13,13,momentum_confirmation,structure_exit,9559.03725,9505.77179,0.10000,-6.01719,0.69065,15,1.00000,"{'momentum_5': 0.004594534921619653, 'momentum_20': 0.007008483954260347}"
UK100,2025-10-14T18:30:00+00:00,2025-10-15T13:00:00+00:00,18,13,momentum_confirmation,structure_exit,9472.31991,9400.09293,0.10000,-7.91142,0.68872,5,1.00000,"{'momentum_5': 0.005885540056730587, 'momentum_20': 0.006944592151441054}"
UK100,2025-10-17T17:00:00+00:00,2025-10-17T18:00:00+00:00,17,18,momentum_confirmation,stop_loss,9381.20169,9350.90277,0.10000,-3.71721,0.68732,2,1.00000,"{'momentum_5': 0.004617477850033858, 'momentum_20': 0.0037679297794905864}"
UK100,2025-10-24T17:30:00+00:00,2025-10-24T18:30:00+00:00,17,18,momentum_confirmation,take_profit,9625.75059,9652.94235,0.10000,2.02639,0.69279,2,1.00000,"{'momentum_5': 0.004275243874690471, 'momentum_20': 0.0034520159355901914}"
UK100,2025-10-28T15:30:00+00:00,2025-10-28T18:00:00+00:00,15,18,momentum_confirmation,trailing_stop,9702.06585,9701.93255,0.10000,-0.70737,0.69404,5,1.00000,"{'momentum_5': 0.004630540851315201, 'momentum_20': 0.004807493058145651}"
