symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-04T16:00:00+00:00,2025-04-04T16:30:00+00:00,16,16,momentum_confirmation,stop_loss,8213.06811,8141.54469,0.10000,-7.81589,0.66355,6,1.00000,"{'momentum_5': 0.008476346080611208, 'momentum_20': 0.008042928362680613}"
UK100,2025-04-07T16:50:00+00:00,2025-04-07T17:10:00+00:00,16,17,momentum_confirmation,take_profit,7746.37479,7896.35374,0.10000,14.34147,0.65643,4,1.00000,"{'momentum_5': 0.006329607486353028, 'momentum_20': 0.009715448214704825}"
UK100,2025-04-08T14:30:00+00:00,2025-04-08T15:00:00+00:00,14,15,momentum_confirmation,trailing_stop,7886.10273,7884.69607,0.10000,-0.79837,0.65771,6,1.00000,"{'momentum_5': 0.005036402351171088, 'momentum_20': 0.008895544548119139}"
UK100,2025-04-08T16:00:00+00:00,2025-04-08T16:30:00+00:00,16,16,momentum_confirmation,take_profit,7942.11393,7980.17697,0.10000,3.14708,0.65922,6,1.00000,"{'momentum_5': 0.006083341782419094, 'momentum_20': 0.009794693057216364}"
UK100,2025-04-09T16:05:00+00:00,2025-04-09T17:10:00+00:00,16,17,momentum_confirmation,trailing_stop,7695.26457,7708.43133,0.10000,0.66264,0.65404,13,1.00000,"{'momentum_5': 0.006832997355813442, 'momentum_20': 0.0043351091611825154}"
UK100,2025-04-10T13:30:00+00:00,2025-04-10T14:05:00+00:00,13,14,momentum_confirmation,stop_loss,8037.13293,8012.67047,0.10000,-3.10674,0.66050,7,1.00000,"{'momentum_5': 0.00431309305029437, 'momentum_20': 0.005381457749299212}"
UK100,2025-04-11T13:30:00+00:00,2025-04-11T14:00:00+00:00,13,14,momentum_confirmation,stop_loss,7988.52321,7962.08059,0.10000,-3.30377,0.65951,6,1.00000,"{'momentum_5': 0.00509799478871642, 'momentum_20': 0.014961040281679328}"
UK100,2025-04-11T17:45:00+00:00,2025-04-11T17:50:00+00:00,17,17,momentum_confirmation,stop_loss,7995.82467,7969.87903,0.10000,-3.25422,0.65966,1,1.00000,"{'momentum_5': 0.007754772652762698, 'momentum_20': 0.006422284066439188}"
UK100,2025-04-11T19:35:00+00:00,2025-04-14T13:00:00+00:00,19,13,momentum_confirmation,take_profit,8053.53621,8112.95041,0.10000,5.27976,0.66166,17,1.00000,"{'momentum_5': 0.004178985317415673, 'momentum_20': 0.011395760827229262}"
UK100,2025-04-16T18:25:00+00:00,2025-04-16T18:35:00+00:00,18,18,momentum_confirmation,stop_loss,8282.08191,8262.92041,0.10000,-2.58160,0.66545,2,1.00000,"{'momentum_5': 0.004160601649684459, 'momentum_20': 0.006296724001701781}"
UK100,2025-04-17T16:50:00+00:00,2025-04-17T17:35:00+00:00,16,17,momentum_confirmation,stop_loss,8271.37977,8255.32193,0.10000,-2.27105,0.66527,9,1.00000,"{'momentum_5': 0.00461747837075932, 'momentum_20': 0.005020483084740457}"
UK100,2025-04-17T19:15:00+00:00,2025-04-22T13:15:00+00:00,19,13,momentum_confirmation,time_stop,8319.28935,8294.81403,0.10000,-3.11367,0.66614,24,1.00000,"{'momentum_5': 0.00511289464777831, 'momentum_20': 0.006828831228584242}"
UK100,2025-04-22T19:05:00+00:00,2025-04-22T19:50:00+00:00,19,19,momentum_confirmation,stop_loss,8371.39977,8354.30213,0.10000,-2.37702,0.66726,9,1.00000,"{'momentum_5': 0.004091918161636787, 'momentum_20': 0.006761797049835261}"
UK100,2025-04-30T18:15:00+00:00,2025-04-30T18:25:00+00:00,18,18,momentum_confirmation,stop_loss,8474.72043,8456.08177,0.10000,-2.53317,0.66931,2,1.00000,"{'momentum_5': 0.004113226334131248, 'momentum_20': 0.00268696290334014}"
UK100,2025-07-23T19:00:00+00:00,2025-07-23T20:45:00+00:00,19,20,momentum_confirmation,structure_exit,9103.04607,9097.25351,0.10000,-1.26126,0.68200,21,1.00000,"{'momentum_5': 0.004548515660362851, 'momentum_20': 0.003839237448010513}"
UK100,2026-03-09T16:10:00+00:00,2026-03-09T16:50:00+00:00,16,16,momentum_confirmation,structure_exit,10192.66395,10150.34285,0.10000,-4.93554,0.70343,8,1.00000,"{'momentum_5': 0.004159151611917711, 'momentum_20': 0.003348269240238233}"
UK100,2026-03-23T14:10:00+00:00,2026-03-23T16:10:00+00:00,14,16,momentum_confirmation,time_stop,9978.02103,9970.57881,0.10000,-1.44371,0.69949,24,1.00000,"{'momentum_5': 0.030712949662591527, 'momentum_20': 0.02583644460900758}"
UK100,2026-03-24T17:15:00+00:00,2026-03-24T17:35:00+00:00,17,17,momentum_confirmation,trailing_stop,9906.40671,9904.49203,0.10000,-0.88958,0.69811,4,1.00000,"{'momentum_5': 0.004636487226832742, 'momentum_20': 0.003313204182540108}"
UK100,2026-03-31T19:50:00+00:00,2026-03-31T20:25:00+00:00,19,20,momentum_confirmation,stop_loss,10229.37129,10185.23587,0.10000,-5.11769,0.70415,7,1.00000,"{'momentum_5': 0.0049139083261262595, 'momentum_20': 0.0016555156098470025}"
UK100,2026-04-02T16:50:00+00:00,2026-04-02T17:35:00+00:00,16,17,momentum_confirmation,take_profit,10363.39809,10437.18547,0.10000,6.67073,0.70801,9,1.00000,"{'momentum_5': 0.004703851338900389, 'momentum_20': 0.007292740320102631}"
