symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-06-13T14:15:00+00:00,2025-06-13T14:20:00+00:00,14,14,opening_range_breakout,stop_loss,8863.86609,8855.53471,0.10000,-1.51033,0.67719,1,0.56122,"{'range_high': 8853.2, 'breakout_high': 8853.2}"
UK100,2025-07-03T14:40:00+00:00,2025-07-03T14:45:00+00:00,14,14,opening_range_breakout,stop_loss,8819.25717,8809.64389,0.10000,-1.63762,0.67629,1,0.56229,"{'range_high': 8808.6, 'breakout_high': 8808.6}"
UK100,2025-08-20T14:40:00+00:00,2025-08-20T15:00:00+00:00,14,15,opening_range_breakout,take_profit,9231.63963,9240.15777,0.10000,0.16710,0.68472,4,0.61252,"{'range_high': 9218.4, 'breakout_high': 9218.4}"
UK100,2025-09-26T14:40:00+00:00,2025-09-26T15:00:00+00:00,14,15,opening_range_breakout,stale_breakout,9263.84607,9256.05459,0.10000,-1.46435,0.68520,4,0.73072,"{'range_high': 9245.6, 'breakout_high': 9245.6}"
UK100,2025-10-21T14:40:00+00:00,2025-10-21T14:50:00+00:00,14,14,opening_range_breakout,stop_loss,9437.88087,9430.01979,0.10000,-1.47479,0.68868,2,0.59042,"{'range_high': 9425.3, 'breakout_high': 9425.3}"
UK100,2025-10-29T14:40:00+00:00,2025-10-29T15:00:00+00:00,14,15,opening_range_breakout,take_profit,9769.04709,9778.85001,0.10000,0.28481,0.69548,4,0.56420,"{'range_high': 9757.2, 'breakout_high': 9757.2}"
UK100,2025-11-25T14:40:00+00:00,2025-11-25T14:45:00+00:00,14,14,opening_range_breakout,signal_exit,9580.70943,9567.29233,0.10000,-2.03319,0.69148,1,0.55001,"{'range_high': 9569.7, 'breakout_high': 9569.7}"
UK100,2026-03-12T14:40:00+00:00,2026-03-12T14:45:00+00:00,14,14,opening_range_breakout,stop_loss,10345.66239,10335.73861,0.10000,-1.69919,0.70681,1,0.85098,"{'range_high': 10319.7, 'breakout_high': 10319.7}"
UK100,2026-03-13T14:15:00+00:00,2026-03-13T15:45:00+00:00,14,15,opening_range_breakout,take_profit,10305.05427,10334.13893,0.10000,2.20207,0.70639,18,0.59156,"{'range_high': 10291.3, 'breakout_high': 10291.3}"
UK100,2026-03-23T14:15:00+00:00,2026-03-23T14:55:00+00:00,14,14,opening_range_breakout,stop_loss,9968.58699,9898.02617,0.10000,-7.75475,0.69867,8,1.00000,"{'range_high': 9706.9, 'breakout_high': 9706.9}"
UK100,2026-03-30T14:15:00+00:00,2026-03-30T16:25:00+00:00,14,16,opening_range_breakout,take_profit,10061.70561,10081.38949,0.10000,1.26696,0.70143,26,0.71145,"{'range_high': 10042.8, 'breakout_high': 10042.8}"
UK100,2026-04-01T14:40:00+00:00,2026-04-01T15:00:00+00:00,14,15,opening_range_breakout,stale_breakout,10387.77081,10371.33149,0.10000,-2.35152,0.70759,4,0.59388,"{'range_high': 10373.8, 'breakout_high': 10373.8}"
UK100,2026-04-08T14:40:00+00:00,2026-04-08T14:55:00+00:00,14,14,opening_range_breakout,trailing_stop,10676.62857,10665.07273,0.10000,-1.86900,0.71342,3,0.69060,"{'range_high': 10657.6, 'breakout_high': 10657.6}"
