symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-04T14:40:00+00:00,2025-04-04T14:50:00+00:00,14,14,opening_range_short_breakdown,signal_exit,8117.11213,8146.79241,0.01000,-0.36307,0.06626,2,0.59924,"{'breakout_low': 8129.8, 'rebound_high': 8193.8, 'position_intent': 'short_entry'}"
UK100,2025-04-09T14:00:00+00:00,2025-04-09T15:40:00+00:00,14,15,opening_range_short_breakdown,stale_breakout,7629.00977,7642.79163,0.01000,-0.20309,0.06527,20,1.00000,"{'breakout_low': 7666.9, 'rebound_high': 7721.9, 'position_intent': 'short_entry'}"
UK100,2025-05-23T14:40:00+00:00,2025-05-23T16:30:00+00:00,14,16,opening_range_short_breakdown,stale_breakout,8687.29807,8684.69997,0.01000,-0.04139,0.06737,22,1.00000,"{'breakout_low': 8737.9, 'rebound_high': 8752.0, 'position_intent': 'short_entry'}"
UK100,2025-06-23T14:40:00+00:00,2025-06-23T15:00:00+00:00,14,15,opening_range_short_breakdown,stop_loss,8749.98553,8760.71517,0.01000,-0.17481,0.06751,4,0.69683,"{'breakout_low': 8767.4, 'rebound_high': 8783.4, 'position_intent': 'short_entry'}"
UK100,2025-08-07T14:00:00+00:00,2025-08-07T15:45:00+00:00,14,15,opening_range_short_breakdown,stale_breakout,9094.31665,9103.98381,0.01000,-0.16487,0.06820,21,0.73206,"{'breakout_low': 9113.8, 'rebound_high': 9126.8, 'position_intent': 'short_entry'}"
UK100,2025-09-25T14:15:00+00:00,2025-09-25T14:45:00+00:00,14,14,opening_range_short_breakdown,stop_loss,9204.09469,9217.00641,0.01000,-0.19754,0.06842,6,0.61521,"{'breakout_low': 9218.9, 'rebound_high': 9227.1, 'position_intent': 'short_entry'}"
UK100,2025-10-03T14:40:00+00:00,2025-10-03T14:45:00+00:00,14,14,opening_range_short_breakdown,stop_loss,9473.54079,9481.25925,0.01000,-0.14614,0.06895,1,0.57053,"{'breakout_low': 9486.8, 'rebound_high': 9493.8, 'position_intent': 'short_entry'}"
UK100,2025-11-13T14:40:00+00:00,2025-11-13T15:10:00+00:00,14,15,opening_range_short_breakdown,trailing_stop,9835.96829,9835.83015,0.01000,-0.06829,0.06967,6,0.55570,"{'breakout_low': 9849.0, 'rebound_high': 9858.3, 'position_intent': 'short_entry'}"
UK100,2025-11-14T14:00:00+00:00,2025-11-14T14:25:00+00:00,14,14,opening_range_short_breakdown,stop_loss,9604.51459,9639.29085,0.01000,-0.41701,0.06924,5,0.63621,"{'breakout_low': 9620.8, 'rebound_high': 9650.8, 'position_intent': 'short_entry'}"
UK100,2025-11-18T14:40:00+00:00,2025-11-18T15:00:00+00:00,14,15,opening_range_short_breakdown,stop_loss,9535.02849,9549.27285,0.01000,-0.21153,0.06908,4,0.61062,"{'breakout_low': 9550.1, 'rebound_high': 9561.6, 'position_intent': 'short_entry'}"
UK100,2025-12-02T14:40:00+00:00,2025-12-02T15:40:00+00:00,14,15,opening_range_short_breakdown,trailing_stop,9719.99149,9724.10781,0.01000,-0.11061,0.06944,12,0.62829,"{'breakout_low': 9736.1, 'rebound_high': 9746.3, 'position_intent': 'short_entry'}"
UK100,2025-12-18T14:15:00+00:00,2025-12-18T14:25:00+00:00,14,14,opening_range_short_breakdown,stop_loss,9763.78273,9776.09821,0.01000,-0.19269,0.06954,2,0.91984,"{'breakout_low': 9792.9, 'rebound_high': 9803.4, 'position_intent': 'short_entry'}"
UK100,2026-02-20T14:40:00+00:00,2026-02-20T14:45:00+00:00,14,14,opening_range_short_breakdown,stop_loss,10671.60113,10681.09917,0.01000,-0.16633,0.07135,1,0.55608,"{'breakout_low': 10685.6, 'rebound_high': 10699.8, 'position_intent': 'short_entry'}"
UK100,2026-03-02T14:40:00+00:00,2026-03-02T15:20:00+00:00,14,15,opening_range_short_breakdown,trailing_stop,10762.98285,10771.51725,0.01000,-0.15688,0.07153,8,0.90169,"{'breakout_low': 10794.0, 'rebound_high': 10811.3, 'position_intent': 'short_entry'}"
UK100,2026-03-05T14:40:00+00:00,2026-03-05T15:35:00+00:00,14,15,opening_range_short_breakdown,take_profit,10561.82309,10524.26781,0.01000,0.30447,0.07109,11,0.64151,"{'breakout_low': 10579.8, 'rebound_high': 10601.3, 'position_intent': 'short_entry'}"
UK100,2026-03-26T14:40:00+00:00,2026-03-26T15:05:00+00:00,14,15,opening_range_short_breakdown,stop_loss,9965.14245,9981.35925,0.01000,-0.23211,0.06995,5,0.87523,"{'breakout_low': 9992.8, 'rebound_high': 10016.6, 'position_intent': 'short_entry'}"
UK100,2026-03-27T14:00:00+00:00,2026-03-27T14:15:00+00:00,14,14,opening_range_short_breakdown,signal_exit,9885.35841,9905.04399,0.01000,-0.26665,0.06979,3,0.55689,"{'breakout_low': 9898.5, 'rebound_high': 9941.0, 'position_intent': 'short_entry'}"
UK100,2026-04-02T14:40:00+00:00,2026-04-02T14:50:00+00:00,14,14,opening_range_short_breakdown,stop_loss,10306.27421,10329.12879,0.01000,-0.29918,0.07064,2,0.75542,"{'breakout_low': 10329.2, 'rebound_high': 10345.7, 'position_intent': 'short_entry'}"
