symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-07T17:00:00+00:00,2025-04-07T18:15:00+00:00,17,18,stock_power_hour_continuation,stale_breakout,7901.64001,7663.82693,0.01000,-2.44370,0.06557,5,1.00000,{'hour_of_day': 17.0}
UK100,2025-04-08T17:00:00+00:00,2025-04-08T17:45:00+00:00,17,17,stock_power_hour_continuation,stop_loss,7976.99508,7915.31662,0.01000,-0.68268,0.06589,3,1.00000,{'hour_of_day': 17.0}
UK100,2025-04-11T17:00:00+00:00,2025-04-11T17:45:00+00:00,17,17,stock_power_hour_continuation,trailing_stop,7981.19592,7957.50818,0.01000,-0.30282,0.06594,3,1.00000,{'hour_of_day': 17.0}
UK100,2025-04-14T17:15:00+00:00,2025-04-14T18:00:00+00:00,17,18,stock_power_hour_continuation,trailing_stop,8140.52778,8135.27262,0.01000,-0.11883,0.06628,3,1.00000,{'hour_of_day': 17.0}
UK100,2025-04-15T17:00:00+00:00,2025-04-15T18:45:00+00:00,17,18,stock_power_hour_continuation,trailing_stop,8248.04928,8246.15044,0.01000,-0.08548,0.06649,7,1.00000,{'hour_of_day': 17.0}
UK100,2025-04-16T17:15:00+00:00,2025-04-16T18:00:00+00:00,17,18,stock_power_hour_continuation,take_profit,8229.14550,8254.14884,0.01000,0.18355,0.06648,3,1.00000,{'hour_of_day': 17.0}
UK100,2025-04-17T17:00:00+00:00,2025-04-17T18:00:00+00:00,17,18,stock_power_hour_continuation,take_profit,8269.75362,8293.44098,0.01000,0.17031,0.06656,4,1.00000,{'hour_of_day': 17.0}
UK100,2025-04-17T18:30:00+00:00,2025-04-17T19:00:00+00:00,18,19,stock_power_hour_continuation,take_profit,8266.65300,8297.84010,0.01000,0.24531,0.06656,2,1.00000,{'hour_of_day': 18.0}
UK100,2025-04-22T18:15:00+00:00,2025-04-22T18:45:00+00:00,18,18,stock_power_hour_continuation,take_profit,8331.56598,8353.22902,0.01000,0.14995,0.06668,2,1.00000,{'hour_of_day': 18.0}
UK100,2025-04-24T18:30:00+00:00,2025-04-24T20:00:00+00:00,18,20,stock_power_hour_continuation,trailing_stop,8413.88244,8419.51576,0.01000,-0.01050,0.06683,6,1.00000,{'hour_of_day': 18.0}
UK100,2025-04-29T17:00:00+00:00,2025-04-29T17:45:00+00:00,17,17,stock_power_hour_continuation,take_profit,8449.98966,8465.60654,0.01000,0.08925,0.06692,3,1.00000,{'hour_of_day': 17.0}
UK100,2025-04-29T18:30:00+00:00,2025-04-29T19:00:00+00:00,18,19,stock_power_hour_continuation,take_profit,8470.09368,8484.20282,0.01000,0.07414,0.06695,2,1.00000,{'hour_of_day': 18.0}
UK100,2025-05-02T17:15:00+00:00,2025-05-02T18:15:00+00:00,17,18,stock_power_hour_continuation,trailing_stop,8614.12248,8601.97926,0.01000,-0.18865,0.06722,4,1.00000,{'hour_of_day': 17.0}
UK100,2025-05-15T17:30:00+00:00,2025-05-15T19:00:00+00:00,17,19,stock_power_hour_continuation,take_profit,8619.92364,8636.37238,0.01000,0.09723,0.06726,6,1.00000,{'hour_of_day': 17.0}
UK100,2025-05-19T17:00:00+00:00,2025-05-19T17:45:00+00:00,17,17,stock_power_hour_continuation,trailing_stop,8668.73340,8669.56574,0.01000,-0.05901,0.06734,3,1.00000,{'hour_of_day': 17.0}
UK100,2025-05-19T18:30:00+00:00,2025-05-19T20:45:00+00:00,18,20,stock_power_hour_continuation,trailing_stop,8703.64038,8710.65752,0.01000,0.00276,0.06741,9,1.00000,{'hour_of_day': 18.0}
UK100,2025-05-20T17:00:00+00:00,2025-05-20T19:00:00+00:00,17,19,stock_power_hour_continuation,trailing_stop,8779.55556,8781.54334,0.01000,-0.04768,0.06756,8,1.00000,{'hour_of_day': 17.0}
UK100,2025-05-21T17:45:00+00:00,2025-05-21T18:45:00+00:00,17,18,stock_power_hour_continuation,stale_breakout,8788.65738,8774.64472,0.01000,-0.20769,0.06756,4,1.00000,{'hour_of_day': 17.0}
UK100,2025-06-06T17:00:00+00:00,2025-06-06T17:30:00+00:00,17,17,stock_power_hour_continuation,trailing_stop,8833.46634,8831.03344,0.01000,-0.09199,0.06766,2,1.00000,{'hour_of_day': 17.0}
UK100,2025-06-12T17:15:00+00:00,2025-06-12T18:15:00+00:00,17,18,stock_power_hour_continuation,trailing_stop,8890.07766,8878.22400,0.01000,-0.18630,0.06777,4,1.00000,{'hour_of_day': 17.0}
UK100,2025-07-01T17:30:00+00:00,2025-07-01T18:30:00+00:00,17,18,stock_power_hour_continuation,trailing_stop,8780.55576,8783.54294,0.01000,-0.03769,0.06756,4,1.00000,{'hour_of_day': 17.0}
UK100,2025-07-03T17:30:00+00:00,2025-07-03T18:45:00+00:00,17,18,stock_power_hour_continuation,trailing_stop,8822.06406,8818.33598,0.01000,-0.10492,0.06764,5,1.00000,{'hour_of_day': 17.0}
UK100,2025-07-04T17:00:00+00:00,2025-07-04T19:00:00+00:00,17,19,stock_power_hour_continuation,time_stop,8825.86482,8811.53734,0.01000,-0.21091,0.06764,8,1.00000,{'hour_of_day': 17.0}
UK100,2025-07-08T17:00:00+00:00,2025-07-08T18:15:00+00:00,17,18,stock_power_hour_continuation,trailing_stop,8845.76880,8840.13162,0.01000,-0.12406,0.06769,5,1.00000,{'hour_of_day': 17.0}
UK100,2025-07-08T19:30:00+00:00,2025-07-09T13:30:00+00:00,19,13,stock_power_hour_continuation,take_profit,8871.17388,8882.92306,0.01000,0.04974,0.06775,8,1.00000,{'hour_of_day': 19.0}
UK100,2025-07-14T18:15:00+00:00,2025-07-14T20:15:00+00:00,18,20,stock_power_hour_continuation,take_profit,9001.29990,9014.79668,0.01000,0.06695,0.06802,8,1.00000,{'hour_of_day': 18.0}
UK100,2025-07-16T17:30:00+00:00,2025-07-16T18:15:00+00:00,17,18,stock_power_hour_continuation,stale_breakout,8965.39272,8945.41056,0.01000,-0.26773,0.06791,3,1.00000,{'hour_of_day': 17.0}
UK100,2025-07-18T18:30:00+00:00,2025-07-18T19:15:00+00:00,18,19,stock_power_hour_continuation,trailing_stop,8994.99864,8990.10162,0.01000,-0.11696,0.06799,3,1.00000,{'hour_of_day': 18.0}
UK100,2025-07-22T17:15:00+00:00,2025-07-22T19:15:00+00:00,17,19,stock_power_hour_continuation,time_stop,9036.40692,9026.59432,0.01000,-0.16619,0.06806,8,1.00000,{'hour_of_day': 17.0}
UK100,2025-07-23T19:00:00+00:00,2025-07-24T13:00:00+00:00,19,13,stock_power_hour_continuation,take_profit,9099.11946,9142.57112,0.01000,0.36627,0.06824,8,1.00000,{'hour_of_day': 19.0}
UK100,2025-07-29T17:15:00+00:00,2025-07-29T17:45:00+00:00,17,17,stock_power_hour_continuation,stop_loss,9154.33050,9140.17160,0.01000,-0.20988,0.06829,2,1.00000,{'hour_of_day': 17.0}
UK100,2025-08-04T17:45:00+00:00,2025-08-04T18:30:00+00:00,17,18,stock_power_hour_continuation,trailing_stop,9117.52314,9116.97624,0.01000,-0.07370,0.06823,3,1.00000,{'hour_of_day': 17.0}
