symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-08T14:15:00+00:00,2025-04-08T15:30:00+00:00,14,15,stock_trend_breakout,trailing_stop,7878.97548,7887.32222,0.01000,0.01770,0.06577,5,1.00000,"{'atr_proxy': 0.006563079188564732, 'momentum_20': 0.009501157208653854}"
UK100,2025-04-08T16:00:00+00:00,2025-04-08T18:00:00+00:00,16,18,stock_trend_breakout,time_stop,7966.29294,7902.31922,0.01000,-0.70561,0.06587,8,1.00000,"{'atr_proxy': 0.007432797217723181, 'momentum_20': 0.021717936218795808}"
UK100,2025-04-11T17:30:00+00:00,2025-04-11T18:15:00+00:00,17,18,stock_trend_breakout,stale_breakout,7994.19852,7958.80792,0.01000,-0.41986,0.06595,3,1.00000,"{'atr_proxy': 0.00744438605710282, 'momentum_20': 0.011683100641747712}"
UK100,2025-04-14T17:15:00+00:00,2025-04-14T18:00:00+00:00,17,18,stock_trend_breakout,trailing_stop,8140.52778,8135.27262,0.01000,-0.11883,0.06628,3,1.00000,"{'atr_proxy': 0.003096241506837511, 'momentum_20': 0.003724394785847185}"
UK100,2025-04-15T16:30:00+00:00,2025-04-15T19:45:00+00:00,16,19,stock_trend_breakout,trailing_stop,8229.74562,8242.35120,0.01000,0.05958,0.06647,13,1.00000,"{'atr_proxy': 0.0035245074804632903, 'momentum_20': 0.0012411930055125087}"
UK100,2025-04-16T18:00:00+00:00,2025-04-16T18:30:00+00:00,18,18,stock_trend_breakout,trailing_stop,8257.45116,8261.24742,0.01000,-0.02856,0.06652,2,1.00000,"{'atr_proxy': 0.0023619758230577293, 'momentum_20': 0.0050399298792365155}"
UK100,2025-04-17T16:30:00+00:00,2025-04-17T18:00:00+00:00,16,18,stock_trend_breakout,take_profit,8252.95026,8293.44098,0.01000,0.33836,0.06655,6,1.00000,"{'atr_proxy': 0.0033328081635621057, 'momentum_20': 0.0030390333442738005}"
UK100,2025-04-17T19:00:00+00:00,2025-04-17T19:30:00+00:00,19,19,stock_trend_breakout,trailing_stop,8301.15990,8301.53936,0.01000,-0.06281,0.06660,2,1.00000,"{'atr_proxy': 0.0031086210012650486, 'momentum_20': 0.010581301901955387}"
UK100,2025-04-22T17:30:00+00:00,2025-04-22T18:45:00+00:00,17,18,stock_trend_breakout,take_profit,8319.56358,8353.22902,0.01000,0.26998,0.06667,5,1.00000,"{'atr_proxy': 0.0023082749251614864, 'momentum_20': 0.001167521244072045}"
UK100,2025-04-25T16:00:00+00:00,2025-04-25T16:30:00+00:00,16,16,stock_trend_breakout,stale_breakout,8425.18470,8417.01626,0.01000,-0.14853,0.06684,2,0.76442,"{'atr_proxy': 0.00239805306582783, 'momentum_20': 0.0013075780089153444}"
UK100,2025-04-29T17:30:00+00:00,2025-04-29T19:00:00+00:00,17,19,stock_trend_breakout,take_profit,8460.99186,8484.20282,0.01000,0.16516,0.06695,6,1.00000,"{'atr_proxy': 0.002423368363812609, 'momentum_20': 0.003904395708724806}"
UK100,2025-05-02T15:30:00+00:00,2025-05-02T16:45:00+00:00,15,16,stock_trend_breakout,trailing_stop,8586.41694,8577.98406,0.01000,-0.15149,0.06716,5,1.00000,"{'atr_proxy': 0.0028935198667396815, 'momentum_20': 0.002452211076987787}"
UK100,2025-05-02T17:15:00+00:00,2025-05-02T18:15:00+00:00,17,18,stock_trend_breakout,trailing_stop,8614.12248,8601.97926,0.01000,-0.18865,0.06722,4,1.00000,"{'atr_proxy': 0.0031930704565510198, 'momentum_20': 0.006239046617595445}"
UK100,2025-05-12T18:15:00+00:00,2025-05-12T18:45:00+00:00,18,18,stock_trend_breakout,stale_breakout,8599.11948,8578.48396,0.01000,-0.27353,0.06718,2,0.96323,"{'atr_proxy': 0.0025240188894315617, 'momentum_20': 0.0012577737404793066}"
UK100,2025-05-19T18:30:00+00:00,2025-05-19T20:45:00+00:00,18,20,stock_trend_breakout,trailing_stop,8703.64038,8710.65752,0.01000,0.00276,0.06741,9,1.00000,"{'atr_proxy': 0.002413266068329905, 'momentum_20': 0.008717122422247092}"
UK100,2025-06-03T16:30:00+00:00,2025-06-03T18:30:00+00:00,16,18,stock_trend_breakout,time_stop,8795.05866,8782.14322,0.01000,-0.19673,0.06758,8,1.00000,"{'atr_proxy': 0.0022972035527047763, 'momentum_20': 0.005247273475546876}"
UK100,2025-07-03T15:30:00+00:00,2025-07-03T17:00:00+00:00,15,17,stock_trend_breakout,stale_breakout,8829.06546,8815.53654,0.01000,-0.20293,0.06764,6,0.89250,"{'atr_proxy': 0.0024775412640332607, 'momentum_20': 0.00171353351036041}"
UK100,2025-07-08T18:30:00+00:00,2025-07-08T20:00:00+00:00,18,20,stock_trend_breakout,trailing_stop,8866.57296,8861.72730,0.01000,-0.11618,0.06773,6,1.00000,"{'atr_proxy': 0.002617092320187791, 'momentum_20': 0.0043733430015180375}"
