symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-08T17:00:00+00:00,2025-04-08T17:45:00+00:00,17,17,trend,stop_loss,7979.12133,7913.19037,0.10000,-7.25202,0.65892,3,1.00000,"{'fast': 7928.366, 'slow': 7911.984666666667, 'trend_strength': 0.008910434022726621}"
UK100,2025-04-10T16:15:00+00:00,2025-04-10T16:30:00+00:00,16,16,trend,stop_loss,8007.62703,7964.18017,0.10000,-5.00440,0.65972,1,0.75289,"{'fast': 7866.860000000001, 'slow': 7843.386666666667, 'trend_strength': -0.002218188429821355}"
UK100,2025-04-11T17:00:00+00:00,2025-04-14T15:00:00+00:00,17,15,trend,take_profit,7983.32217,8091.15477,0.10000,10.12252,0.66074,4,1.00000,"{'fast': 7951.194, 'slow': 7882.937999999999, 'trend_strength': 0.0018034387783174566}"
UK100,2025-04-15T15:00:00+00:00,2025-04-15T16:30:00+00:00,15,16,trend,take_profit,8199.86547,8224.32813,0.10000,1.78202,0.66424,6,1.00000,"{'fast': 8131.9800000000005, 'slow': 8030.341333333333, 'trend_strength': 0.002246865142470078}"
UK100,2025-04-17T17:00:00+00:00,2025-04-22T15:45:00+00:00,17,15,trend,trailing_stop,8271.87987,8279.81703,0.10000,0.12820,0.66552,7,1.00000,"{'fast': 8242.130000000001, 'slow': 8231.636333333334, 'trend_strength': 0.0015537556928837404}"
UK100,2025-04-23T17:30:00+00:00,2025-04-24T15:00:00+00:00,17,15,trend,stop_loss,8437.11291,8385.49589,0.10000,-5.82993,0.66823,2,1.00000,"{'fast': 8421.319, 'slow': 8335.303, 'trend_strength': -0.001781655249077252}"
UK100,2025-05-02T16:30:00+00:00,2025-05-02T16:45:00+00:00,16,16,trend,stop_loss,8599.34535,8575.85781,0.10000,-3.02051,0.67175,1,1.00000,"{'fast': 8557.905999999999, 'slow': 8495.772666666666, 'trend_strength': 0.001556337212776926}"
UK100,2025-05-15T16:45:00+00:00,2025-05-16T15:00:00+00:00,16,15,trend,take_profit,8616.54879,8660.34091,0.10000,3.70644,0.67277,5,1.00000,"{'fast': 8602.239, 'slow': 8599.799666666666, 'trend_strength': 0.002867370540285963}"
UK100,2025-05-20T15:30:00+00:00,2025-05-20T16:30:00+00:00,15,16,trend,take_profit,8761.77783,8773.41829,0.10000,0.48869,0.67535,4,1.00000,"{'fast': 8692.07, 'slow': 8664.757333333333, 'trend_strength': 0.0015051845882834147}"
UK100,2025-06-05T15:00:00+00:00,2025-06-05T16:00:00+00:00,15,16,trend,stop_loss,8825.49057,8803.91219,0.10000,-2.83413,0.67629,4,0.66935,"{'fast': 8811.284, 'slow': 8791.502, 'trend_strength': 0.001544891356139777}"
UK100,2025-06-12T17:15:00+00:00,2025-06-13T15:30:00+00:00,17,15,trend,stale_breakout,8892.20391,8868.49927,0.10000,-3.04807,0.67761,5,0.69586,"{'fast': 8876.67, 'slow': 8873.180666666665, 'trend_strength': 0.0015770224852642567}"
UK100,2025-07-04T17:30:00+00:00,2025-07-07T15:15:00+00:00,17,15,trend,stop_loss,8830.99167,8816.70963,0.10000,-2.10468,0.67648,3,0.79049,"{'fast': 8816.710000000001, 'slow': 8802.801333333333, 'trend_strength': 0.0016427617938596928}"
UK100,2025-07-10T15:00:00+00:00,2025-07-10T15:30:00+00:00,15,15,trend,stop_loss,8960.31753,8944.98397,0.10000,-2.21241,0.67905,2,1.00000,"{'fast': 8872.119999999999, 'slow': 8844.573333333334, 'trend_strength': 0.0023232933073946693}"
