symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-11T18:00:00+00:00,2025-04-11T19:00:00+00:00,18,19,trend,take_profit,7958.76747,8013.62049,0.01000,0.48256,0.06597,4,1.00000,"{'fast': 7868.76, 'slow': 7800.2, 'trend_strength': 0.0017855370658048653}"
UK100,2025-04-15T18:00:00+00:00,2025-04-16T18:00:00+00:00,18,18,trend,time_stop,8256.32697,8253.07259,0.01000,-0.09905,0.06651,8,1.00000,"{'fast': 8116.5, 'slow': 7953.993333333333, 'trend_strength': 0.0022479151287244648}"
UK100,2025-04-16T18:30:00+00:00,2025-04-17T18:00:00+00:00,18,18,trend,take_profit,8265.62883,8292.36473,0.01000,0.20080,0.06656,6,1.00000,"{'fast': 8255.4, 'slow': 8109.296666666666, 'trend_strength': 0.0016909742441044706}"
UK100,2025-04-17T18:30:00+00:00,2025-04-17T19:00:00+00:00,18,19,trend,take_profit,8267.72925,8296.76385,0.01000,0.22378,0.06656,2,1.00000,"{'fast': 8264.27, 'slow': 8196.183333333332, 'trend_strength': 0.0038024245009875557}"
UK100,2025-04-22T18:30:00+00:00,2025-04-22T18:45:00+00:00,18,18,trend,take_profit,8336.24295,8352.15277,0.01000,0.09241,0.06669,1,1.00000,"{'fast': 8305.83, 'slow': 8257.753333333334, 'trend_strength': 0.0017523235456777808}"
UK100,2025-04-22T19:15:00+00:00,2025-04-23T18:00:00+00:00,19,18,trend,take_profit,8373.85047,8412.54069,0.01000,0.32012,0.06679,3,1.00000,"{'fast': 8332.93, 'slow': 8283.68, 'trend_strength': 0.0033273944238454423}"
UK100,2025-04-29T18:00:00+00:00,2025-04-29T18:30:00+00:00,18,18,trend,stale_breakout,8471.57001,8465.63007,0.01000,-0.12634,0.06694,2,0.68140,"{'fast': 8421.28, 'slow': 8419.58, 'trend_strength': 0.0016240135563918567}"
UK100,2025-05-02T18:00:00+00:00,2025-05-02T18:30:00+00:00,18,18,trend,stop_loss,8617.19913,8593.30453,0.01000,-0.30616,0.06721,2,1.00000,"{'fast': 8486.85, 'slow': 8465.09, 'trend_strength': 0.002949380142001523}"
UK100,2025-05-02T19:00:00+00:00,2025-05-06T18:45:00+00:00,19,18,trend,structure_exit,8602.39617,8577.10777,0.01000,-0.32006,0.06718,7,1.00000,"{'fast': 8530.710000000001, 'slow': 8490.140000000001, 'trend_strength': 0.002389299493625874}"
UK100,2025-05-15T18:15:00+00:00,2025-05-16T18:00:00+00:00,18,18,trend,take_profit,8631.00189,8678.08757,0.01000,0.40355,0.06731,7,0.72750,"{'fast': 8584.01, 'slow': 8582.776666666667, 'trend_strength': 0.0017990831424812281}"
UK100,2025-05-19T18:00:00+00:00,2025-05-19T18:45:00+00:00,18,18,trend,take_profit,8686.91307,8703.98239,0.01000,0.10330,0.06739,3,1.00000,"{'fast': 8675.47, 'slow': 8623.933333333332, 'trend_strength': 0.001845500911758391}"
UK100,2025-05-20T18:00:00+00:00,2025-05-20T19:00:00+00:00,18,19,trend,trailing_stop,8784.73263,8780.46709,0.01000,-0.11022,0.06757,4,1.00000,"{'fast': 8708.85, 'slow': 8659.27, 'trend_strength': 0.0022201729229522904}"
UK100,2025-06-06T18:15:00+00:00,2025-06-06T19:30:00+00:00,18,19,trend,trailing_stop,8833.04229,8831.35691,0.01000,-0.08452,0.06766,5,0.61900,"{'fast': 8808.83, 'slow': 8796.890000000001, 'trend_strength': 0.001599175321308488}"
UK100,2025-06-12T18:00:00+00:00,2025-06-12T18:15:00+00:00,18,18,trend,stop_loss,8895.95487,8877.14775,0.01000,-0.25584,0.06777,1,1.00000,"{'fast': 8864.78, 'slow': 8851.273333333334, 'trend_strength': 0.0016694076535572755}"
UK100,2025-06-12T19:00:00+00:00,2025-06-13T18:00:00+00:00,19,18,trend,structure_exit,8895.45477,8838.25553,0.01000,-0.63973,0.06773,4,0.87790,"{'fast': 8872.59, 'slow': 8857.74, 'trend_strength': 0.0018012262468691809}"
UK100,2025-07-01T18:15:00+00:00,2025-07-01T19:00:00+00:00,18,19,trend,take_profit,8793.53439,8803.56247,0.01000,0.03268,0.06760,3,0.91905,"{'fast': 8768.83, 'slow': 8762.75, 'trend_strength': 0.0019458904719014125}"
UK100,2025-07-04T18:00:00+00:00,2025-07-04T18:30:00+00:00,18,18,trend,stop_loss,8825.44077,8813.76043,0.01000,-0.18444,0.06764,2,1.00000,"{'fast': 8817.22, 'slow': 8791.316666666668, 'trend_strength': 0.0019192004858388234}"
UK100,2025-07-08T18:30:00+00:00,2025-07-09T18:00:00+00:00,18,18,trend,structure_exit,8867.64921,8857.85161,0.01000,-0.16570,0.06773,6,0.77511,"{'fast': 8814.84, 'slow': 8812.756666666666, 'trend_strength': 0.0018494773913946272}"
UK100,2025-08-20T18:00:00+00:00,2025-08-21T18:45:00+00:00,18,18,trend,trailing_stop,9296.63499,9295.46407,0.01000,-0.08030,0.06859,11,1.00000,"{'fast': 9193.28, 'slow': 9168.606666666667, 'trend_strength': 0.005006755490257753}"
UK100,2025-08-21T19:15:00+00:00,2025-08-22T18:00:00+00:00,19,18,trend,take_profit,9307.33713,9328.35749,0.01000,0.14157,0.06864,3,1.00000,"{'fast': 9302.4, 'slow': 9230.726666666666, 'trend_strength': 0.0022500331066759305}"
UK100,2025-08-22T18:30:00+00:00,2025-08-22T19:15:00+00:00,18,19,trend,trailing_stop,9325.14069,9320.55905,0.01000,-0.11446,0.06865,3,0.97854,"{'fast': 9310.960000000001, 'slow': 9258.093333333332, 'trend_strength': 0.0018753111214104834}"
UK100,2025-09-04T18:15:00+00:00,2025-09-04T18:30:00+00:00,18,18,trend,stop_loss,9221.01987,9211.58085,0.01000,-0.16282,0.06843,1,0.61820,"{'fast': 9178.66, 'slow': 9167.28, 'trend_strength': 0.001768632829433514}"
UK100,2025-09-24T18:00:00+00:00,2025-09-24T18:45:00+00:00,18,18,trend,stop_loss,9257.82723,9235.07615,0.01000,-0.29600,0.06849,3,0.94333,"{'fast': 9231.25, 'slow': 9227.326666666666, 'trend_strength': 0.0029097819416423754}"
UK100,2025-09-26T18:30:00+00:00,2025-09-26T19:45:00+00:00,18,19,trend,take_profit,9290.63379,9304.26231,0.01000,0.06769,0.06859,5,0.88589,"{'fast': 9238.26, 'slow': 9236.113333333335, 'trend_strength': 0.0020746632648367402}"
UK100,2025-09-30T18:00:00+00:00,2025-10-01T18:00:00+00:00,18,18,trend,take_profit,9360.24771,9442.33469,0.01000,0.75207,0.06880,8,1.00000,"{'fast': 9305.89, 'slow': 9267.593333333332, 'trend_strength': 0.002990817233521792}"
UK100,2025-10-01T18:30:00+00:00,2025-10-01T19:45:00+00:00,18,19,trend,trailing_stop,9453.56637,9449.33329,0.01000,-0.11123,0.06890,5,1.00000,"{'fast': 9383.43, 'slow': 9318.896666666667, 'trend_strength': 0.0018035051599942786}"
UK100,2025-10-22T18:00:00+00:00,2025-10-22T18:15:00+00:00,18,18,trend,stop_loss,9539.58357,9519.31929,0.01000,-0.27170,0.06906,1,1.00000,"{'fast': 9441.71, 'slow': 9409.333333333334, 'trend_strength': 0.001761199437789962}"
UK100,2025-10-22T18:45:00+00:00,2025-10-22T19:00:00+00:00,18,19,trend,structure_exit,9515.87883,9502.52265,0.01000,-0.20258,0.06902,1,0.82361,"{'fast': 9468.53, 'slow': 9418.923333333334, 'trend_strength': 0.0015126155217193293}"
UK100,2025-10-23T18:00:00+00:00,2025-10-23T18:30:00+00:00,18,18,trend,stop_loss,9586.89303,9568.80939,0.01000,-0.24999,0.06916,2,1.00000,"{'fast': 9509.32, 'slow': 9442.109999999999, 'trend_strength': 0.0015125351217553096}"
UK100,2025-10-24T18:00:00+00:00,2025-10-24T18:45:00+00:00,18,18,trend,take_profit,9636.30291,9653.99235,0.01000,0.10760,0.06929,3,1.00000,"{'fast': 9576.2, 'slow': 9496.21, 'trend_strength': 0.001993426325120451}"
UK100,2025-10-28T18:00:00+00:00,2025-10-28T18:30:00+00:00,18,18,trend,stop_loss,9713.81841,9692.48465,0.01000,-0.28274,0.06941,2,1.00000,"{'fast': 9654.810000000001, 'slow': 9607.213333333335, 'trend_strength': 0.0033091507247895446}"
UK100,2025-10-28T19:15:00+00:00,2025-10-29T18:00:00+00:00,19,18,trend,take_profit,9707.21709,9758.47145,0.01000,0.44308,0.06947,3,1.00000,"{'fast': 9683.78, 'slow': 9640.859999999999, 'trend_strength': 0.0026139962202889055}"
UK100,2025-11-05T18:00:00+00:00,2025-11-05T19:00:00+00:00,18,19,trend,take_profit,9781.33191,9788.06553,0.01000,-0.00223,0.06957,4,1.00000,"{'fast': 9719.369999999999, 'slow': 9717.883333333333, 'trend_strength': 0.0036908509785518184}"
UK100,2025-11-25T18:00:00+00:00,2025-11-25T18:30:00+00:00,18,18,trend,trailing_stop,9610.39773,9607.00175,0.01000,-0.10318,0.06922,2,1.00000,"{'fast': 9543.26, 'slow': 9529.269999999999, 'trend_strength': 0.0024442193711884386}"
