symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-15T17:00:00+00:00,2025-04-16T16:00:00+00:00,17,16,trend,structure_exit,8250.44343,8213.96305,0.10000,-4.31268,0.66464,2,1.00000,"{'fast': 8089.902, 'slow': 8084.246, 'trend_strength': 0.006088057785620826}"
UK100,2025-05-01T15:00:00+00:00,2025-05-02T15:00:00+00:00,15,15,trend,take_profit,8485.69047,8595.38675,0.10000,10.29882,0.67081,3,1.00000,"{'fast': 8447.088, 'slow': 8365.759333333333, 'trend_strength': 0.0017844148216887845}"
UK100,2025-05-12T15:00:00+00:00,2025-05-12T16:00:00+00:00,15,16,trend,stop_loss,8601.41361,8569.49193,0.10000,-3.86388,0.67171,1,1.00000,"{'fast': 8552.86, 'slow': 8512.013333333332, 'trend_strength': 0.0018983811837405273}"
UK100,2025-05-16T16:00:00+00:00,2025-05-19T15:00:00+00:00,16,15,trend,structure_exit,8682.14975,8624.28097,0.10000,-6.45994,0.67306,2,1.00000,"{'fast': 8614.302, 'slow': 8583.947333333334, 'trend_strength': 0.004098603529510525}"
UK100,2025-05-27T15:00:00+00:00,2025-05-28T15:00:00+00:00,15,15,trend,structure_exit,8777.34879,8757.45433,0.10000,-2.66479,0.67535,3,1.00000,"{'fast': 8731.710000000001, 'slow': 8672.894, 'trend_strength': 0.0039061875381194433}"
UK100,2025-06-10T15:00:00+00:00,2025-06-10T17:00:00+00:00,15,17,trend,stop_loss,8882.86989,8859.53391,0.10000,-3.01102,0.67742,2,1.00000,"{'fast': 8823.0, 'slow': 8786.464, 'trend_strength': 0.0022124819884656866}"
UK100,2025-06-16T17:00:00+00:00,2025-06-17T15:00:00+00:00,17,15,trend,stop_loss,8892.17175,8840.63769,0.10000,-5.83073,0.67733,1,1.00000,"{'fast': 8872.05, 'slow': 8840.469333333334, 'trend_strength': 0.0025959039142933182}"
UK100,2025-07-03T16:00:00+00:00,2025-07-04T15:00:00+00:00,16,15,trend,structure_exit,8820.39740,8801.84545,0.10000,-2.53142,0.67622,2,0.93272,"{'fast': 8771.908, 'slow': 8768.806, 'trend_strength': 0.0015627899108303644}"
UK100,2025-07-10T15:00:00+00:00,2025-07-11T15:00:00+00:00,15,15,trend,structure_exit,8951.78367,8936.21857,0.10000,-2.23539,0.67888,3,1.00000,"{'fast': 8848.83, 'slow': 8801.962666666666, 'trend_strength': 0.004414039364854849}"
UK100,2025-07-18T15:00:00+00:00,2025-07-21T15:00:00+00:00,15,15,trend,structure_exit,8988.49101,8981.40953,0.10000,-1.38785,0.67970,3,1.00000,"{'fast': 8967.53, 'slow': 8915.946666666667, 'trend_strength': 0.0015819384350539423}"
UK100,2025-07-29T17:00:00+00:00,2025-07-30T15:00:00+00:00,17,15,trend,stop_loss,9144.22215,9115.78265,0.10000,-3.52655,0.68260,1,1.00000,"{'fast': 9115.11, 'slow': 9045.686666666666, 'trend_strength': 0.0020984499586313987}"
UK100,2025-08-05T15:00:00+00:00,2025-08-05T17:00:00+00:00,15,17,trend,stop_loss,9165.92649,9139.37793,0.10000,-3.33791,0.68305,2,1.00000,"{'fast': 9111.212, 'slow': 9105.434000000001, 'trend_strength': 0.0028253535249596062}"
UK100,2025-08-19T17:00:00+00:00,2025-08-20T15:00:00+00:00,17,15,trend,take_profit,9194.13213,9240.45771,0.10000,3.94821,0.68435,1,0.84518,"{'fast': 9158.729, 'slow': 9141.699666666666, 'trend_strength': 0.0016101975784461597}"
