symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-10T16:00:00+00:00,2025-04-10T18:00:00+00:00,16,18,trend,stop_loss,7972.62003,7864.80005,0.10000,-11.44037,0.65837,2,1.00000,"{'fast': 7846.139999999999, 'slow': 7829.548, 'trend_strength': 0.014188508699735536}"
UK100,2025-04-14T14:00:00+00:00,2025-04-14T18:00:00+00:00,14,18,trend,trailing_stop,8100.44559,8085.35593,0.10000,-2.17082,0.66186,4,1.00000,"{'fast': 8015.842, 'slow': 7900.244000000001, 'trend_strength': 0.009625389873139545}"
UK100,2025-04-17T19:00:00+00:00,2025-04-24T15:00:00+00:00,19,15,trend,trailing_stop,8320.78965,8380.99679,0.10000,5.35370,0.66702,20,1.00000,"{'fast': 8249.75, 'slow': 8208.54, 'trend_strength': 0.0017898478082565283}"
UK100,2025-05-01T14:00:00+00:00,2025-05-01T16:00:00+00:00,14,16,trend,stop_loss,8495.92467,8463.10037,0.10000,-3.95202,0.66959,2,1.00000,"{'fast': 8467.469000000001, 'slow': 8447.459333333334, 'trend_strength': 0.002194828165715812}"
UK100,2025-05-06T14:00:00+00:00,2025-05-07T14:00:00+00:00,14,14,trend,stale_breakout,8592.74403,8552.46249,0.10000,-4.69961,0.67145,8,1.00000,"{'fast': 8590.73, 'slow': 8510.750333333333, 'trend_strength': 0.0023694061348407125}"
UK100,2025-05-12T15:00:00+00:00,2025-05-12T16:00:00+00:00,15,16,trend,stop_loss,8603.14611,8567.75943,0.10000,-4.21038,0.67171,1,0.84830,"{'fast': 8563.26, 'slow': 8563.223333333333, 'trend_strength': 0.0018983811837405273}"
UK100,2025-05-16T14:00:00+00:00,2025-05-19T13:00:00+00:00,14,13,trend,stop_loss,8671.05969,8626.84761,0.10000,-5.09419,0.67298,7,1.00000,"{'fast': 8629.7, 'slow': 8606.093333333334, 'trend_strength': 0.004199776671790945}"
UK100,2025-05-20T17:00:00+00:00,2025-05-21T18:00:00+00:00,17,18,trend,stale_breakout,8777.98107,8772.51847,0.10000,-1.22176,0.67550,9,1.00000,"{'fast': 8729.53, 'slow': 8670.470666666666, 'trend_strength': 0.004627724467987759}"
UK100,2025-05-27T17:00:00+00:00,2025-05-28T17:00:00+00:00,17,17,trend,stale_breakout,8787.58299,8731.92659,0.10000,-6.24084,0.67520,8,1.00000,"{'fast': 8747.7, 'slow': 8744.08, 'trend_strength': 0.0037031524379405045}"
UK100,2025-06-06T18:00:00+00:00,2025-06-09T14:00:00+00:00,18,14,trend,stop_loss,8845.59459,8811.11075,0.10000,-4.12495,0.67657,4,1.00000,"{'fast': 8814.74, 'slow': 8804.079333333333, 'trend_strength': 0.0015321932765890445}"
