symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-01T14:30:00+00:00,2025-04-01T16:00:00+00:00,14,16,trend,trailing_stop,8640.90387,8636.09597,0.01000,-0.11536,0.06728,3,0.73444,"{'fast': 8607.25, 'slow': 8605.726666666666, 'trend_strength': 0.0022600070370086822}"
UK100,2025-04-08T16:00:00+00:00,2025-04-08T18:00:00+00:00,16,18,trend,stop_loss,7972.37019,7885.74607,0.01000,-0.93210,0.06586,4,1.00000,"{'fast': 7851.897999999999, 'slow': 7838.589333333333, 'trend_strength': 0.0036132537395798803}"
UK100,2025-04-08T19:00:00+00:00,2025-04-08T19:30:00+00:00,19,19,trend,stop_loss,7895.75487,7826.15799,0.01000,-0.76169,0.06572,1,1.00000,"{'fast': 7925.780000000001, 'slow': 7818.239333333333, 'trend_strength': 0.007377130302921531}"
UK100,2025-04-15T14:30:00+00:00,2025-04-15T16:30:00+00:00,14,16,trend,take_profit,8191.81407,8231.67687,0.01000,0.33220,0.06642,4,1.00000,"{'fast': 8147.75, 'slow': 8085.220666666666, 'trend_strength': 0.005564837570994685}"
UK100,2025-04-15T17:30:00+00:00,2025-04-16T13:00:00+00:00,17,13,trend,structure_exit,8251.12593,8214.88023,0.01000,-0.42892,0.06647,7,1.00000,"{'fast': 8212.57, 'slow': 8137.71, 'trend_strength': 0.004392587676457671}"
UK100,2025-04-16T18:00:00+00:00,2025-04-16T20:30:00+00:00,18,20,trend,stop_loss,8281.03191,8208.18157,0.01000,-0.79499,0.06649,5,1.00000,"{'fast': 8230.119, 'slow': 8216.066333333332, 'trend_strength': 0.0016969775356574512}"
UK100,2025-04-17T18:30:00+00:00,2025-04-17T19:00:00+00:00,18,19,trend,take_profit,8274.73065,8313.76045,0.01000,0.32371,0.06659,1,0.83533,"{'fast': 8248.84, 'slow': 8237.783, 'trend_strength': 0.0015160431032179567}"
UK100,2025-04-22T14:00:00+00:00,2025-04-22T15:30:00+00:00,14,15,trend,trailing_stop,8282.43219,8280.86703,0.01000,-0.08221,0.06656,3,1.00000,"{'fast': 8294.89, 'slow': 8255.55, 'trend_strength': 0.0017446976161519245}"
UK100,2025-04-22T16:30:00+00:00,2025-04-22T17:30:00+00:00,16,17,trend,take_profit,8295.83487,8317.35973,0.01000,0.14864,0.06661,2,0.81246,"{'fast': 8293.04, 'slow': 8266.213333333333, 'trend_strength': 0.0022211472735500504}"
UK100,2025-04-22T18:30:00+00:00,2025-04-22T20:00:00+00:00,18,20,trend,trailing_stop,8357.64723,8328.85743,0.01000,-0.35458,0.06669,3,1.00000,"{'fast': 8303.97, 'slow': 8275.696666666667, 'trend_strength': 0.002324361253296159}"
