symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-08T14:30:00+00:00,2025-04-09T13:30:00+00:00,14,13,trend,structure_exit,7885.84023,7672.00117,0.01000,-2.20395,0.06556,6,1.00000,"{'fast': 7854.4800000000005, 'slow': 7778.176666666666, 'trend_strength': 0.0017941230989524382}"
UK100,2025-04-10T14:00:00+00:00,2025-04-10T14:05:00+00:00,14,14,trend,stop_loss,8033.86983,8012.93297,0.01000,-0.27542,0.06605,1,1.00000,"{'fast': 7910.13, 'slow': 7780.453333333334, 'trend_strength': 0.0038706118100122477}"
UK100,2025-04-11T14:00:00+00:00,2025-04-11T14:25:00+00:00,14,14,trend,stop_loss,7969.25691,7935.64843,0.01000,-0.40199,0.06590,5,1.00000,"{'fast': 7985.110000000001, 'slow': 7943.2733333333335, 'trend_strength': 0.006402877697841758}"
UK100,2025-07-29T14:00:00+00:00,2025-07-29T14:05:00+00:00,14,14,trend,stop_loss,9150.69315,9138.80775,0.01000,-0.18714,0.06829,1,0.85395,"{'fast': 9134.01, 'slow': 9117.083333333334, 'trend_strength': 0.0019250617400277115}"
UK100,2025-08-20T14:00:00+00:00,2025-08-20T14:20:00+00:00,14,14,trend,stale_breakout,9218.10663,9212.19307,0.01000,-0.12757,0.06843,4,0.77008,"{'fast': 9207.16, 'slow': 9183.013333333334, 'trend_strength': 0.001612594617630414}"
UK100,2025-09-10T14:00:00+00:00,2025-09-10T14:05:00+00:00,14,14,trend,stop_loss,9291.02121,9281.87913,0.01000,-0.15999,0.06857,1,1.00000,"{'fast': 9271.46, 'slow': 9248.54, 'trend_strength': 0.001646094976981649}"
UK100,2025-10-06T14:45:00+00:00,2025-10-07T13:30:00+00:00,14,13,trend,structure_exit,9509.66493,9479.03969,0.01000,-0.37524,0.06899,3,0.64664,"{'fast': 9504.060000000001, 'slow': 9491.016666666666, 'trend_strength': 0.00150442493418379}"
UK100,2025-10-08T14:25:00+00:00,2025-10-08T14:40:00+00:00,14,14,trend,stop_loss,9570.37707,9557.82393,0.01000,-0.19466,0.06913,3,1.00000,"{'fast': 9556.64, 'slow': 9516.373333333333, 'trend_strength': 0.0015122282993143}"
UK100,2025-11-25T14:00:00+00:00,2025-11-25T14:55:00+00:00,14,14,trend,stop_loss,9575.37807,9558.62377,0.01000,-0.23668,0.06913,11,0.83364,"{'fast': 9564.76, 'slow': 9552.196666666667, 'trend_strength': 0.0017405987589897975}"
UK100,2026-01-29T14:10:00+00:00,2026-01-30T13:30:00+00:00,14,13,trend,stop_loss,10231.10919,10200.69533,0.01000,-0.37457,0.07043,10,0.92608,"{'fast': 10211.51, 'slow': 10179.526666666667, 'trend_strength': 0.001505545819169729}"
