symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-01T18:25:00+00:00,2025-04-01T19:25:00+00:00,18,19,trend,stale_breakout,8636.39031,8614.61261,0.01000,-0.28503,0.06725,12,0.99476,"{'fast': 8617.27, 'slow': 8598.506666666666, 'trend_strength': 0.0016277601825716026}"
UK100,2025-04-11T18:15:00+00:00,2025-04-11T18:55:00+00:00,18,18,trend,take_profit,7965.05607,8004.53465,0.01000,0.32882,0.06597,8,0.94867,"{'fast': 7907.17, 'slow': 7881.846666666666, 'trend_strength': 0.0018838842267512312}"
UK100,2025-04-14T18:00:00+00:00,2025-04-14T18:20:00+00:00,18,18,trend,stop_loss,8146.19229,8123.71081,0.01000,-0.29108,0.06627,4,1.00000,"{'fast': 8049.43, 'slow': 7987.326666666666, 'trend_strength': 0.0020595944896411034}"
UK100,2025-04-15T18:00:00+00:00,2025-04-15T19:30:00+00:00,18,19,trend,stale_breakout,8260.61517,8249.98555,0.01000,-0.17281,0.06651,18,1.00000,"{'fast': 8123.17, 'slow': 8106.740000000001, 'trend_strength': 0.0021799610524431134}"
UK100,2025-04-16T18:30:00+00:00,2025-04-16T18:45:00+00:00,18,18,trend,stop_loss,8274.71799,8252.18511,0.01000,-0.29186,0.06653,3,1.00000,"{'fast': 8257.34, 'slow': 8254.353333333334, 'trend_strength': 0.002489031540823028}"
UK100,2025-04-17T18:25:00+00:00,2025-04-17T18:30:00+00:00,18,18,trend,stop_loss,8291.62137,8272.68101,0.01000,-0.25597,0.06656,1,0.84039,"{'fast': 8272.560000000001, 'slow': 8261.296666666667, 'trend_strength': 0.002310796710413454}"
UK100,2025-04-22T18:05:00+00:00,2025-04-22T18:25:00+00:00,18,18,trend,trailing_stop,8331.92943,8326.37027,0.01000,-0.12225,0.06666,4,1.00000,"{'fast': 8315.99, 'slow': 8290.043333333333, 'trend_strength': 0.0016363675050174997}"
UK100,2025-04-24T18:25:00+00:00,2025-04-24T18:30:00+00:00,18,18,trend,stop_loss,8418.84681,8402.15511,0.01000,-0.23374,0.06682,1,0.93357,"{'fast': 8407.28, 'slow': 8405.27, 'trend_strength': 0.0021644617322291726}"
UK100,2025-04-29T18:20:00+00:00,2025-04-29T19:35:00+00:00,18,19,trend,trailing_stop,8468.35671,8473.64081,0.01000,-0.01410,0.06694,15,0.58860,"{'fast': 8436.97, 'slow': 8424.473333333333, 'trend_strength': 0.0016464505558442255}"
UK100,2025-05-02T18:10:00+00:00,2025-05-02T18:15:00+00:00,18,18,trend,stop_loss,8617.98663,8601.31527,0.01000,-0.23393,0.06722,1,0.62043,"{'fast': 8504.380000000001, 'slow': 8488.746666666666, 'trend_strength': 0.0015376851075177278}"
