symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-03-31T17:35:00+00:00,2025-03-31T18:25:00+00:00,17,18,trend,trailing_stop,8585.41041,8580.38975,0.10000,-1.17372,0.67166,10,0.86557,"{'fast': 8568.6, 'slow': 8554.356666666667, 'trend_strength': 0.0016650385164362902}"
UK100,2025-04-01T18:25:00+00:00,2025-04-01T19:25:00+00:00,18,19,trend,stale_breakout,8634.92031,8616.08261,0.10000,-2.55628,0.67251,12,0.92823,"{'fast': 8631.8, 'slow': 8617.772333333332, 'trend_strength': 0.0016277601825716026}"
UK100,2025-04-03T19:15:00+00:00,2025-04-03T19:35:00+00:00,19,19,trend,trailing_stop,8505.49443,8501.60551,0.10000,-1.05896,0.67007,4,1.00000,"{'fast': 8488.810000000001, 'slow': 8472.756666666666, 'trend_strength': 0.0018947001507185757}"
UK100,2025-04-04T16:05:00+00:00,2025-04-04T16:10:00+00:00,16,16,trend,stop_loss,8210.83551,8167.77229,0.10000,-4.97011,0.66379,1,1.00000,"{'fast': 8162.7339999999995, 'slow': 8147.798, 'trend_strength': 0.001833133320192637}"
UK100,2025-04-07T16:30:00+00:00,2025-04-07T16:55:00+00:00,16,16,trend,take_profit,7690.63149,7763.75311,0.10000,6.65762,0.65454,5,0.71751,"{'fast': 7717.99, 'slow': 7706.259999999999, 'trend_strength': 0.0015221391440205512}"
UK100,2025-04-07T17:55:00+00:00,2025-04-07T18:10:00+00:00,17,18,trend,stop_loss,7833.01996,7749.41598,0.10000,-9.01622,0.65582,3,1.00000,"{'fast': 7824.63, 'slow': 7753.86, 'trend_strength': 0.009127067034999437}"
UK100,2025-04-08T14:30:00+00:00,2025-04-08T15:00:00+00:00,14,15,trend,trailing_stop,7884.37023,7886.42857,0.10000,-0.45187,0.65771,6,1.00000,"{'fast': 7854.4800000000005, 'slow': 7812.205333333333, 'trend_strength': 0.0017941230989524382}"
UK100,2025-04-08T16:00:00+00:00,2025-04-08T16:35:00+00:00,16,16,trend,trailing_stop,7940.38143,7964.41297,0.10000,1.74411,0.65905,7,1.00000,"{'fast': 7903.7300000000005, 'slow': 7882.356666666666, 'trend_strength': 0.0027115410069833423}"
UK100,2025-04-08T17:35:00+00:00,2025-04-08T17:45:00+00:00,17,17,trend,stop_loss,7973.88813,7934.41897,0.10000,-4.60600,0.65908,2,1.00000,"{'fast': 7970.969999999999, 'slow': 7943.88, 'trend_strength': 0.0034101723590989064}"
UK100,2025-04-09T16:10:00+00:00,2025-04-09T16:40:00+00:00,16,16,trend,trailing_stop,7696.53267,7692.96727,0.10000,-1.01043,0.65389,6,1.00000,"{'fast': 7656.55, 'slow': 7643.7733333333335, 'trend_strength': 0.001671513022364124}"
