symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-08T14:15:00+00:00,2025-04-09T13:30:00+00:00,14,13,volatility_breakout,stop_loss,7880.05173,7677.78767,0.01000,-2.08820,0.06556,3,1.00000,{'breakout_high': 7857.9}
UK100,2025-05-13T13:30:00+00:00,2025-05-13T14:30:00+00:00,13,14,volatility_breakout,trailing_stop,8612.99829,8610.60107,0.01000,-0.09120,0.06722,4,0.89139,{'breakout_high': 8601.1}
UK100,2025-05-20T13:45:00+00:00,2025-05-21T13:30:00+00:00,13,13,volatility_breakout,signal_exit,8757.42717,8768.36951,0.01000,0.04190,0.06753,5,0.95086,{'breakout_high': 8741.4}
UK100,2025-05-27T13:30:00+00:00,2025-05-27T13:45:00+00:00,13,13,volatility_breakout,stop_loss,8812.13811,8791.26493,0.01000,-0.27634,0.06760,1,1.00000,{'breakout_high': 8752.0}
UK100,2025-08-19T14:00:00+00:00,2025-08-20T13:30:00+00:00,14,13,volatility_breakout,take_profit,9189.31353,9210.48107,0.01000,0.14328,0.06840,4,0.69214,{'breakout_high': 9179.9}
UK100,2025-09-18T14:15:00+00:00,2025-09-18T14:45:00+00:00,14,14,volatility_breakout,stale_breakout,9238.52337,9231.27691,0.01000,-0.14093,0.06847,2,0.59511,{'breakout_high': 9229.8}
UK100,2025-10-08T13:45:00+00:00,2025-10-09T13:30:00+00:00,13,13,volatility_breakout,structure_exit,9557.98725,9509.02135,0.01000,-0.55873,0.06907,5,1.00000,{'breakout_high': 9537.6}
UK100,2025-10-29T14:30:00+00:00,2025-10-30T13:30:00+00:00,14,13,volatility_breakout,structure_exit,9769.72959,9705.88197,0.01000,-0.70795,0.06948,2,0.76412,{'breakout_high': 9761.2}
UK100,2025-11-25T14:00:00+00:00,2025-11-25T14:45:00+00:00,14,14,volatility_breakout,stop_loss,9577.19109,9559.41127,0.01000,-0.24693,0.06914,3,0.56871,{'breakout_high': 9569.7}
UK100,2025-12-15T14:45:00+00:00,2025-12-16T13:30:00+00:00,14,13,volatility_breakout,structure_exit,9749.42553,9706.98175,0.01000,-0.49389,0.06946,1,0.65544,{'breakout_high': 9744.9}
UK100,2025-12-30T14:45:00+00:00,2025-12-31T13:30:00+00:00,14,13,volatility_breakout,structure_exit,9917.85921,9908.94135,0.01000,-0.15901,0.06983,1,0.65091,{'breakout_high': 9911.7}
UK100,2026-01-06T14:30:00+00:00,2026-01-07T13:30:00+00:00,14,13,volatility_breakout,structure_exit,10084.99263,10060.91095,0.01000,-0.31096,0.07015,2,0.58002,{'breakout_high': 10078.5}
UK100,2026-02-02T14:00:00+00:00,2026-02-02T14:45:00+00:00,14,14,volatility_breakout,trailing_stop,10280.33169,10280.46703,0.01000,-0.06921,0.07056,3,1.00000,{'breakout_high': 10260.5}
UK100,2026-02-04T13:45:00+00:00,2026-02-04T14:30:00+00:00,13,14,volatility_breakout,stop_loss,10466.26887,10431.93673,0.01000,-0.41422,0.07090,3,1.00000,{'breakout_high': 10441.6}
UK100,2026-02-18T13:30:00+00:00,2026-02-18T14:15:00+00:00,13,14,volatility_breakout,trailing_stop,10667.30907,10656.39183,0.01000,-0.18050,0.07132,3,1.00000,{'breakout_high': 10528.1}
UK100,2026-03-04T14:00:00+00:00,2026-03-04T14:15:00+00:00,14,14,volatility_breakout,stop_loss,10567.18905,10533.81635,0.01000,-0.40483,0.07110,1,0.78873,{'breakout_high': 10563.0}
UK100,2026-03-30T14:15:00+00:00,2026-03-31T13:30:00+00:00,14,13,volatility_breakout,take_profit,10072.39011,10158.89135,0.01000,0.79478,0.07023,3,1.00000,{'breakout_high': 10054.1}
