symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-01T13:00:00+00:00,2025-04-01T14:15:00+00:00,13,14,volatility_breakout,stale_breakout,8643.82842,8621.17542,0.01000,-0.29380,0.06727,5,1.00000,{'breakout_high': 8599.2}
UK100,2025-04-07T16:45:00+00:00,2025-04-07T17:00:00+00:00,16,17,volatility_breakout,take_profit,7767.25314,7898.47999,0.01000,1.24660,0.06567,1,1.00000,{'breakout_high': 7750.7}
UK100,2025-04-08T14:15:00+00:00,2025-04-08T15:30:00+00:00,14,15,volatility_breakout,trailing_stop,7878.97548,7887.32222,0.01000,0.01770,0.06577,5,1.00000,{'breakout_high': 7857.9}
UK100,2025-04-09T20:15:00+00:00,2025-04-10T15:15:00+00:00,20,15,volatility_breakout,signal_exit,7943.18832,7984.30282,0.01000,0.34522,0.06593,12,1.00000,{'breakout_high': 7737.4}
UK100,2025-04-11T20:45:00+00:00,2025-04-14T14:45:00+00:00,20,14,volatility_breakout,trailing_stop,8085.61680,8095.08066,0.01000,0.02846,0.06618,8,1.00000,{'breakout_high': 8081.5}
UK100,2025-04-14T17:15:00+00:00,2025-04-14T18:00:00+00:00,17,18,volatility_breakout,trailing_stop,8140.52778,8135.27262,0.01000,-0.11883,0.06628,3,0.59915,{'breakout_high': 8133.9}
UK100,2025-04-15T16:30:00+00:00,2025-04-15T19:45:00+00:00,16,19,volatility_breakout,trailing_stop,8229.74562,8242.35120,0.01000,0.05958,0.06647,13,1.00000,{'breakout_high': 8211.4}
UK100,2025-04-22T17:15:00+00:00,2025-04-22T18:00:00+00:00,17,18,volatility_breakout,take_profit,8313.06228,8331.93328,0.01000,0.12207,0.06664,3,0.59119,{'breakout_high': 8306.1}
UK100,2025-05-02T15:30:00+00:00,2025-05-02T16:45:00+00:00,15,16,volatility_breakout,trailing_stop,8586.41694,8577.98406,0.01000,-0.15149,0.06716,5,0.79024,{'breakout_high': 8573.8}
UK100,2025-05-15T15:30:00+00:00,2025-05-15T15:45:00+00:00,15,15,volatility_breakout,signal_exit,8619.42354,8607.97806,0.01000,-0.18168,0.06723,1,0.77959,{'breakout_high': 8615.2}
UK100,2025-05-15T18:15:00+00:00,2025-05-16T13:00:00+00:00,18,13,volatility_breakout,take_profit,8629.92564,8688.96186,0.01000,0.52304,0.06732,11,0.70386,{'breakout_high': 8623.2}
UK100,2025-05-19T16:45:00+00:00,2025-05-19T17:15:00+00:00,16,17,volatility_breakout,take_profit,8664.83262,8678.26400,0.01000,0.06697,0.06734,2,0.68989,{'breakout_high': 8655.3}
