symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-01T13:00:00+00:00,2025-04-01T14:15:00+00:00,13,14,volatility_breakout,stale_breakout,8644.90467,8620.09917,0.01000,-0.31532,0.06727,5,1.00000,{'breakout_high': 8599.2}
UK100,2025-04-07T16:45:00+00:00,2025-04-07T17:00:00+00:00,16,17,volatility_breakout,take_profit,7768.32939,7897.40374,0.01000,1.22508,0.06567,1,1.00000,{'breakout_high': 7750.7}
UK100,2025-04-08T14:15:00+00:00,2025-04-08T15:30:00+00:00,14,15,volatility_breakout,trailing_stop,7880.05173,7886.24597,0.01000,-0.00382,0.06577,5,1.00000,{'breakout_high': 7857.9}
UK100,2025-04-09T20:15:00+00:00,2025-04-10T15:15:00+00:00,20,15,volatility_breakout,signal_exit,7944.26457,7983.22657,0.01000,0.32369,0.06593,12,1.00000,{'breakout_high': 7737.4}
UK100,2025-04-11T20:45:00+00:00,2025-04-14T14:45:00+00:00,20,14,volatility_breakout,trailing_stop,8086.69305,8094.00441,0.01000,0.00693,0.06618,8,1.00000,{'breakout_high': 8081.5}
UK100,2025-04-14T17:15:00+00:00,2025-04-14T18:00:00+00:00,17,18,volatility_breakout,trailing_stop,8141.60403,8134.19637,0.01000,-0.14035,0.06628,3,0.59915,{'breakout_high': 8133.9}
UK100,2025-04-15T16:30:00+00:00,2025-04-15T19:45:00+00:00,16,19,volatility_breakout,trailing_stop,8230.82187,8241.27495,0.01000,0.03806,0.06647,13,1.00000,{'breakout_high': 8211.4}
UK100,2025-04-22T17:15:00+00:00,2025-04-22T18:00:00+00:00,17,18,volatility_breakout,take_profit,8314.13853,8330.85703,0.01000,0.10054,0.06664,3,0.59119,{'breakout_high': 8306.1}
UK100,2025-05-02T15:30:00+00:00,2025-05-02T16:45:00+00:00,15,16,volatility_breakout,trailing_stop,8587.49319,8576.90781,0.01000,-0.17302,0.06716,5,0.79024,{'breakout_high': 8573.8}
UK100,2025-05-15T15:30:00+00:00,2025-05-15T15:45:00+00:00,15,15,volatility_breakout,signal_exit,8620.49979,8606.90181,0.01000,-0.20321,0.06723,1,0.77959,{'breakout_high': 8615.2}
UK100,2025-05-15T18:15:00+00:00,2025-05-16T13:00:00+00:00,18,13,volatility_breakout,take_profit,8631.00189,8687.88561,0.01000,0.50152,0.06732,11,0.70386,{'breakout_high': 8623.2}
UK100,2025-05-19T16:45:00+00:00,2025-05-19T17:15:00+00:00,16,17,volatility_breakout,take_profit,8665.90887,8677.18775,0.01000,0.04545,0.06734,2,0.68989,{'breakout_high': 8655.3}
UK100,2025-06-04T15:30:00+00:00,2025-06-04T16:00:00+00:00,15,16,volatility_breakout,stale_breakout,8824.34055,8812.66065,0.01000,-0.18444,0.06764,2,0.72954,{'breakout_high': 8812.8}
UK100,2025-06-12T17:15:00+00:00,2025-06-12T17:45:00+00:00,17,17,volatility_breakout,stale_breakout,8891.15391,8887.74563,0.01000,-0.10186,0.06778,2,0.59211,{'breakout_high': 8885.8}
UK100,2025-06-23T13:00:00+00:00,2025-06-23T14:00:00+00:00,13,14,volatility_breakout,stop_loss,8787.63321,8761.57087,0.01000,-0.32817,0.06755,4,1.00000,{'breakout_high': 8766.4}
UK100,2025-06-26T13:00:00+00:00,2025-06-26T15:00:00+00:00,13,15,volatility_breakout,time_stop,8745.92487,8743.57447,0.01000,-0.09099,0.06749,8,1.00000,{'breakout_high': 8725.9}
