symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-01T13:00:00+00:00,2025-04-01T20:00:00+00:00,13,20,volatility_breakout,stop_loss,8640.52143,8590.98763,0.10000,-5.62570,0.67232,7,1.00000,{'breakout_high': 8599.2}
UK100,2025-04-14T13:00:00+00:00,2025-04-14T18:00:00+00:00,13,18,volatility_breakout,trailing_stop,8106.71469,8087.08843,0.10000,-2.62456,0.66194,5,1.00000,{'breakout_high': 8094.0}
UK100,2025-04-17T19:00:00+00:00,2025-04-22T13:00:00+00:00,19,13,volatility_breakout,signal_exit,8319.05715,8281.34957,0.10000,-4.43676,0.66600,2,1.00000,{'breakout_high': 8295.6}
UK100,2025-05-01T13:00:00+00:00,2025-05-01T15:00:00+00:00,13,15,volatility_breakout,stop_loss,8498.99313,8481.50953,0.10000,-2.41817,0.66981,2,1.00000,{'breakout_high': 8483.5}
UK100,2025-05-08T13:00:00+00:00,2025-05-08T14:00:00+00:00,13,14,volatility_breakout,signal_exit,8605.01433,8577.49033,0.10000,-3.42423,0.67183,1,1.00000,{'breakout_high': 8586.0}
UK100,2025-05-12T13:00:00+00:00,2025-05-12T16:00:00+00:00,13,16,volatility_breakout,stop_loss,8594.71227,8569.49193,0.10000,-3.19368,0.67164,3,1.00000,{'breakout_high': 8574.5}
UK100,2025-05-15T18:00:00+00:00,2025-05-19T13:00:00+00:00,18,13,volatility_breakout,stale_breakout,8634.32019,8628.58011,0.10000,-1.24664,0.67263,11,0.84846,{'breakout_high': 8621.0}
UK100,2025-05-27T13:00:00+00:00,2025-05-27T15:00:00+00:00,13,15,volatility_breakout,stop_loss,8796.25257,8773.05121,0.10000,-2.99583,0.67569,2,1.00000,{'breakout_high': 8747.5}
UK100,2025-05-30T13:00:00+00:00,2025-06-02T16:00:00+00:00,13,16,volatility_breakout,stale_breakout,8778.54903,8741.79746,0.10000,-4.35036,0.67520,11,1.00000,{'breakout_high': 8744.2}
UK100,2025-06-04T13:00:00+00:00,2025-06-04T18:00:00+00:00,13,18,volatility_breakout,signal_exit,8813.45601,8789.74787,0.10000,-3.04685,0.67603,5,0.95611,{'breakout_high': 8795.4}
UK100,2025-06-06T16:00:00+00:00,2025-06-09T14:00:00+00:00,16,14,volatility_breakout,signal_exit,8845.96251,8812.84325,0.10000,-3.98851,0.67659,6,1.00000,{'breakout_high': 8824.3}
UK100,2025-06-16T13:00:00+00:00,2025-06-16T16:00:00+00:00,13,16,volatility_breakout,signal_exit,8904.47421,8880.02981,0.10000,-3.12229,0.67785,3,1.00000,{'breakout_high': 8885.2}
UK100,2025-06-24T13:00:00+00:00,2025-06-24T16:00:00+00:00,13,16,volatility_breakout,stop_loss,8792.95191,8759.85385,0.10000,-3.98533,0.67553,3,1.00000,{'breakout_high': 8771.3}
UK100,2025-06-27T13:00:00+00:00,2025-06-30T14:00:00+00:00,13,14,volatility_breakout,signal_exit,8790.65145,8783.24917,0.10000,-1.41597,0.67574,9,1.00000,{'breakout_high': 8757.1}
UK100,2025-07-08T16:00:00+00:00,2025-07-09T17:00:00+00:00,16,17,volatility_breakout,signal_exit,8841.86169,8863.33315,0.10000,1.47009,0.67705,9,0.85883,{'breakout_high': 8827.0}
UK100,2025-07-14T18:00:00+00:00,2025-07-15T16:00:00+00:00,18,16,volatility_breakout,stop_loss,9005.29437,8969.71187,0.10000,-4.23800,0.67975,6,1.00000,{'breakout_high': 8987.3}
UK100,2025-07-23T18:00:00+00:00,2025-07-25T13:00:00+00:00,18,13,volatility_breakout,trailing_stop,9087.01071,9100.48571,0.10000,0.66563,0.68187,11,0.73298,{'breakout_high': 9080.5}
UK100,2025-07-31T13:00:00+00:00,2025-07-31T15:00:00+00:00,13,15,volatility_breakout,stop_loss,9177.02871,9152.27535,0.10000,-3.15863,0.68329,2,1.00000,{'breakout_high': 9150.7}
UK100,2025-08-12T13:00:00+00:00,2025-08-12T14:00:00+00:00,13,14,volatility_breakout,signal_exit,9147.92289,9129.77985,0.10000,-2.49708,0.68278,1,0.74210,{'breakout_high': 9139.5}
UK100,2025-08-19T13:00:00+00:00,2025-08-20T14:00:00+00:00,13,14,volatility_breakout,take_profit,9181.92969,9234.15897,0.10000,4.53877,0.68416,9,0.55899,{'breakout_high': 9176.4}
UK100,2025-08-22T16:00:00+00:00,2025-08-22T18:00:00+00:00,16,18,volatility_breakout,signal_exit,9344.36217,9320.44171,0.10000,-3.07869,0.68665,2,1.00000,{'breakout_high': 9324.4}
UK100,2025-09-04T13:00:00+00:00,2025-09-05T17:00:00+00:00,13,17,volatility_breakout,stale_breakout,9195.13233,9194.36693,0.10000,-0.76043,0.68389,12,1.00000,{'breakout_high': 9178.8}
UK100,2025-09-09T13:00:00+00:00,2025-09-09T17:00:00+00:00,13,17,volatility_breakout,signal_exit,9246.04251,9233.45911,0.10000,-1.94314,0.68480,4,0.63599,{'breakout_high': 9236.7}
UK100,2025-09-11T16:00:00+00:00,2025-09-12T17:00:00+00:00,16,17,volatility_breakout,signal_exit,9288.45099,9292.24735,0.10000,-0.30617,0.68581,9,0.69700,{'breakout_high': 9278.0}
UK100,2025-09-23T16:00:00+00:00,2025-09-23T17:00:00+00:00,16,17,volatility_breakout,signal_exit,9270.24735,9244.65687,0.10000,-3.24420,0.68515,1,0.98953,{'breakout_high': 9252.9}
UK100,2025-09-26T13:00:00+00:00,2025-09-26T16:00:00+00:00,13,16,volatility_breakout,take_profit,9245.04231,9287.04839,0.10000,3.51529,0.68532,3,0.65008,{'breakout_high': 9235.4}
UK100,2025-10-01T16:00:00+00:00,2025-10-02T17:00:00+00:00,16,17,volatility_breakout,stale_breakout,9434.97029,9417.42231,0.10000,-2.44332,0.68852,9,1.00000,{'breakout_high': 9422.7}
UK100,2025-10-06T14:00:00+00:00,2025-10-06T16:00:00+00:00,14,16,volatility_breakout,stop_loss,9512.89587,9485.80863,0.10000,-3.39871,0.68999,2,0.76312,{'breakout_high': 9500.0}
UK100,2025-10-08T13:00:00+00:00,2025-10-09T13:00:00+00:00,13,13,volatility_breakout,stop_loss,9557.30475,9523.20115,0.10000,-4.10117,0.69081,8,1.00000,{'breakout_high': 9506.5}
UK100,2025-10-20T16:00:00+00:00,2025-10-22T13:00:00+00:00,16,13,volatility_breakout,take_profit,9404.47419,9509.80383,0.10000,9.84382,0.68914,13,0.68056,{'breakout_high': 9401.7}
UK100,2025-10-24T16:00:00+00:00,2025-10-27T18:00:00+00:00,16,18,volatility_breakout,signal_exit,9605.81445,9632.87921,0.10000,2.01409,0.69239,10,0.64593,{'breakout_high': 9596.48}
UK100,2025-11-05T15:00:00+00:00,2025-11-06T13:00:00+00:00,15,13,volatility_breakout,trailing_stop,9742.14171,9740.05777,0.10000,-0.90322,0.69482,6,0.97694,{'breakout_high': 9726.6}
UK100,2025-11-10T18:00:00+00:00,2025-11-11T16:00:00+00:00,18,16,volatility_breakout,take_profit,9803.55399,9875.43069,0.10000,6.49088,0.69679,6,0.77328,{'breakout_high': 9801.1}
UK100,2025-11-25T17:00:00+00:00,2025-11-27T16:00:00+00:00,17,16,volatility_breakout,signal_exit,9605.91447,9685.96859,0.10000,7.31249,0.69292,15,0.66703,{'breakout_high': 9596.6}
UK100,2025-12-11T16:00:00+00:00,2025-12-12T16:00:00+00:00,16,16,volatility_breakout,signal_exit,9688.23093,9689.86781,0.10000,-0.53009,0.69378,8,0.76862,{'breakout_high': 9673.5}
UK100,2025-12-19T16:00:00+00:00,2025-12-22T13:00:00+00:00,16,13,volatility_breakout,trailing_stop,9874.16811,9850.33571,0.10000,-3.08049,0.69725,5,1.00000,{'breakout_high': 9851.0}
UK100,2026-01-06T13:00:00+00:00,2026-01-06T17:00:00+00:00,13,17,volatility_breakout,take_profit,10073.60799,10148.27611,0.10000,6.76459,0.70222,4,1.00000,{'breakout_high': 10026.0}
UK100,2026-01-09T13:00:00+00:00,2026-01-12T16:00:00+00:00,13,16,volatility_breakout,take_profit,10099.81323,10140.97757,0.10000,3.41403,0.70241,11,1.00000,{'breakout_high': 10058.9}
UK100,2026-01-14T13:00:00+00:00,2026-01-15T13:00:00+00:00,13,13,volatility_breakout,take_profit,10170.12729,10224.16093,0.10000,4.69942,0.70394,8,0.87172,{'breakout_high': 10153.4}
UK100,2026-01-21T16:00:00+00:00,2026-01-21T18:00:00+00:00,16,18,volatility_breakout,signal_exit,10159.42515,10121.78141,0.10000,-4.46719,0.70281,2,1.00000,{'breakout_high': 10129.3}
UK100,2026-01-27T13:00:00+00:00,2026-01-27T18:00:00+00:00,13,18,volatility_breakout,trailing_stop,10191.53157,10185.26871,0.10000,-1.33005,0.70377,5,0.64854,{'breakout_high': 10185.2}
UK100,2026-02-02T15:00:00+00:00,2026-02-03T13:00:00+00:00,15,13,volatility_breakout,trailing_stop,10309.85523,10290.54765,0.10000,-2.63676,0.70600,6,0.77198,{'breakout_high': 10295.9}
UK100,2026-02-06T17:00:00+00:00,2026-02-09T13:00:00+00:00,17,13,volatility_breakout,signal_exit,10377.46875,10357.33429,0.10000,-2.72079,0.70735,4,0.70013,{'breakout_high': 10364.1}
UK100,2026-02-11T13:00:00+00:00,2026-02-12T16:00:00+00:00,13,16,volatility_breakout,trailing_stop,10427.47875,10454.21491,0.10000,1.96480,0.70882,11,1.00000,{'breakout_high': 10387.9}
UK100,2026-02-16T13:00:00+00:00,2026-02-17T14:00:00+00:00,13,14,volatility_breakout,trailing_stop,10474.68819,10497.40627,0.10000,1.56209,0.70972,9,0.84729,{'breakout_high': 10463.6}
UK100,2026-02-20T13:00:00+00:00,2026-02-20T18:00:00+00:00,13,18,volatility_breakout,trailing_stop,10690.13127,10680.66961,0.10000,-1.65987,0.71371,5,1.00000,{'breakout_high': 10643.6}
UK100,2026-02-25T13:00:00+00:00,2026-02-26T17:00:00+00:00,13,17,volatility_breakout,take_profit,10783.04985,10841.03753,0.10000,5.08253,0.71624,12,1.00000,{'breakout_high': 10715.5}
UK100,2026-03-10T13:00:00+00:00,2026-03-10T16:00:00+00:00,13,16,volatility_breakout,stop_loss,10430.07927,10368.63203,0.10000,-6.85271,0.70799,3,1.00000,{'breakout_high': 10285.2}
UK100,2026-03-16T16:00:00+00:00,2026-03-16T18:00:00+00:00,16,18,volatility_breakout,signal_exit,10372.06767,10338.13813,0.10000,-4.10006,0.70710,2,0.90412,{'breakout_high': 10355.21}
UK100,2026-03-25T13:00:00+00:00,2026-03-26T13:00:00+00:00,13,13,volatility_breakout,stop_loss,10085.71041,9995.40669,0.10000,-9.73118,0.70081,8,1.00000,{'breakout_high': 9975.8}
