symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-02T17:00:00+00:00,2025-04-03T15:00:00+00:00,17,15,volatility_short_breakdown,structure_exit,8591.68137,8479.23969,0.01000,-1.19149,0.06707,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-03T17:45:00+00:00,2025-04-04T15:00:00+00:00,17,15,volatility_short_breakdown,take_profit,8443.94675,8138.79081,0.01000,2.98498,0.06658,1,0.63728,"{'breakout_low': 8452.5, 'rebound_high': 8486.3, 'position_intent': 'short_entry'}"
UK100,2025-04-07T15:00:00+00:00,2025-04-07T16:30:00+00:00,15,16,volatility_short_breakdown,structure_exit,7671.59739,7663.80281,0.01000,-0.14328,0.06534,6,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-09T17:45:00+00:00,2025-04-10T15:00:00+00:00,17,15,volatility_short_breakdown,stop_loss,7638.20793,7998.86283,0.01000,-3.67219,0.06564,1,1.00000,"{'breakout_low': 7666.4, 'rebound_high': 7748.6, 'position_intent': 'short_entry'}"
UK100,2025-04-10T16:00:00+00:00,2025-04-10T16:30:00+00:00,16,16,volatility_short_breakdown,stop_loss,8006.36433,7964.44267,0.01000,-0.48519,0.06597,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-17T16:30:00+00:00,2025-04-23T15:00:00+00:00,16,15,volatility_short_breakdown,take_profit,8254.81401,8422.75099,0.01000,1.61269,0.06668,18,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-24T17:15:00+00:00,2025-04-25T17:45:00+00:00,17,17,volatility_short_breakdown,trailing_stop,8394.34191,8401.15531,0.01000,0.00134,0.06680,14,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-05-01T17:00:00+00:00,2025-05-01T17:45:00+00:00,17,17,volatility_short_breakdown,structure_exit,8495.36211,8487.93795,0.01000,-0.14122,0.06698,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-05-06T17:00:00+00:00,2025-05-07T15:00:00+00:00,17,15,volatility_short_breakdown,structure_exit,8588.28069,8555.02453,0.01000,-0.39970,0.06714,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-05-08T15:00:00+00:00,2025-05-08T15:45:00+00:00,15,15,volatility_short_breakdown,structure_exit,8580.37911,8549.02573,0.01000,-0.38066,0.06713,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-05-08T16:30:00+00:00,2025-05-09T15:00:00+00:00,16,15,volatility_short_breakdown,structure_exit,8531.72919,8561.97543,0.01000,-0.36956,0.06709,6,0.66290,"{'breakout_low': 8541.1, 'rebound_high': 8570.5, 'position_intent': 'short_entry'}"
UK100,2025-05-12T15:00:00+00:00,2025-05-12T16:15:00+00:00,15,16,volatility_short_breakdown,stale_breakout,8611.68537,8592.21709,0.01000,-0.26189,0.06720,5,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-05-14T15:00:00+00:00,2025-05-14T16:00:00+00:00,15,16,volatility_short_breakdown,structure_exit,8611.78539,8590.31747,0.01000,-0.28188,0.06720,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-05-22T15:00:00+00:00,2025-05-22T15:30:00+00:00,15,15,volatility_short_breakdown,stop_loss,8687.89795,8716.00623,0.01000,-0.34849,0.06740,2,1.00000,"{'breakout_low': 8770.3, 'rebound_high': 8798.6, 'position_intent': 'short_entry'}"
UK100,2025-05-27T15:00:00+00:00,2025-05-27T15:30:00+00:00,15,15,volatility_short_breakdown,stop_loss,8787.52053,8766.98213,0.01000,-0.27294,0.06755,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-05-28T15:45:00+00:00,2025-05-29T15:15:00+00:00,15,15,volatility_short_breakdown,signal_exit,8755.98433,8738.33069,0.01000,0.10904,0.06749,10,0.76702,"{'breakout_low': 8768.6, 'rebound_high': 8777.8, 'position_intent': 'short_entry'}"
UK100,2025-06-09T15:00:00+00:00,2025-06-09T16:00:00+00:00,15,16,volatility_short_breakdown,stop_loss,8810.17349,8822.12745,0.01000,-0.18717,0.06763,4,0.79741,"{'breakout_low': 8824.5, 'rebound_high': 8839.0, 'position_intent': 'short_entry'}"
UK100,2025-06-10T15:00:00+00:00,2025-06-10T15:15:00+00:00,15,15,volatility_short_breakdown,stop_loss,8884.23987,8871.06131,0.01000,-0.19954,0.06776,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-06-23T15:00:00+00:00,2025-06-23T16:00:00+00:00,15,16,volatility_short_breakdown,structure_exit,8760.31509,8750.48543,0.01000,-0.16581,0.06751,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-06-24T15:15:00+00:00,2025-06-24T16:00:00+00:00,15,16,volatility_short_breakdown,structure_exit,8796.72237,8780.67939,0.01000,-0.22801,0.06758,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-06-24T16:45:00+00:00,2025-06-24T17:30:00+00:00,16,17,volatility_short_breakdown,stop_loss,8758.38385,8783.71977,0.01000,-0.32090,0.06754,3,0.67455,"{'breakout_low': 8769.7, 'rebound_high': 8791.6, 'position_intent': 'short_entry'}"
UK100,2025-06-26T15:00:00+00:00,2025-06-26T15:45:00+00:00,15,15,volatility_short_breakdown,stop_loss,8750.01303,8735.48843,0.01000,-0.21273,0.06749,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-06-30T17:30:00+00:00,2025-07-01T15:00:00+00:00,17,15,volatility_short_breakdown,stop_loss,8778.51873,8736.68819,0.01000,-0.48582,0.06752,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-07-01T16:30:00+00:00,2025-07-02T15:15:00+00:00,16,15,volatility_short_breakdown,structure_exit,8765.61615,8757.98393,0.01000,-0.14385,0.06752,7,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-07-02T15:30:00+00:00,2025-07-02T16:45:00+00:00,15,16,volatility_short_breakdown,stale_breakout,8741.18729,8748.21267,0.01000,-0.13774,0.06749,5,0.79360,"{'breakout_low': 8754.3, 'rebound_high': 8794.4, 'position_intent': 'short_entry'}"
UK100,2025-07-03T15:00:00+00:00,2025-07-03T17:00:00+00:00,15,17,volatility_short_breakdown,structure_exit,8824.62795,8813.67279,0.01000,-0.17719,0.06764,8,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-07-11T15:00:00+00:00,2025-07-11T16:00:00+00:00,15,16,volatility_short_breakdown,stop_loss,8923.75077,8948.45271,0.01000,-0.31489,0.06787,4,0.93615,"{'breakout_low': 8937.3, 'rebound_high': 8975.6, 'position_intent': 'short_entry'}"
UK100,2025-07-11T17:00:00+00:00,2025-07-14T15:00:00+00:00,17,15,volatility_short_breakdown,take_profit,8943.35169,8975.44043,0.01000,0.25297,0.06792,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-07-16T15:00:00+00:00,2025-07-16T16:15:00+00:00,15,16,volatility_short_breakdown,stale_breakout,8969.25687,8958.74377,0.01000,-0.17306,0.06793,5,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-07-21T17:30:00+00:00,2025-07-22T17:15:00+00:00,17,17,volatility_short_breakdown,take_profit,8995.26207,9030.92933,0.01000,0.28865,0.06803,11,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-07-28T15:00:00+00:00,2025-07-29T15:00:00+00:00,15,15,volatility_short_breakdown,structure_exit,9092.21707,9128.78877,0.01000,-0.43394,0.06822,12,0.71158,"{'breakout_low': 9099.1, 'rebound_high': 9127.4, 'position_intent': 'short_entry'}"
UK100,2025-07-31T17:15:00+00:00,2025-08-01T15:00:00+00:00,17,15,volatility_short_breakdown,signal_exit,9131.70917,9087.78057,0.01000,0.37107,0.06822,3,0.71807,"{'breakout_low': 9143.2, 'rebound_high': 9171.2, 'position_intent': 'short_entry'}"
UK100,2025-08-04T15:00:00+00:00,2025-08-04T16:00:00+00:00,15,16,volatility_short_breakdown,structure_exit,9114.98601,9096.81615,0.01000,-0.24991,0.06821,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-08-07T15:00:00+00:00,2025-08-07T15:45:00+00:00,15,15,volatility_short_breakdown,stop_loss,9082.31905,9102.98361,0.01000,-0.27483,0.06819,3,1.00000,"{'breakout_low': 9156.4, 'rebound_high': 9171.7, 'position_intent': 'short_entry'}"
UK100,2025-08-08T17:15:00+00:00,2025-08-11T17:00:00+00:00,17,17,volatility_short_breakdown,take_profit,9094.48191,9133.30885,0.01000,0.32004,0.06823,11,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-08-13T17:00:00+00:00,2025-08-13T17:45:00+00:00,17,17,volatility_short_breakdown,structure_exit,9169.39689,9153.80475,0.01000,-0.22424,0.06832,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
