symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-03T15:00:00+00:00,2025-04-04T15:00:00+00:00,15,15,volatility_short_breakdown,take_profit,8481.20959,8158.82511,0.10000,31.57205,0.66640,3,1.00000,"{'breakout_low': 8544.6, 'rebound_high': 8594.4, 'position_intent': 'short_entry'}"
UK100,2025-04-08T15:00:00+00:00,2025-04-09T15:00:00+00:00,15,15,volatility_short_breakdown,structure_exit,7935.88053,7677.17043,0.10000,-26.52714,0.65613,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-05-09T15:00:00+00:00,2025-05-09T17:00:00+00:00,15,17,volatility_short_breakdown,structure_exit,8557.20477,8548.09621,0.10000,-1.58191,0.67105,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-06-13T16:00:00+00:00,2025-06-16T15:00:00+00:00,16,15,volatility_short_breakdown,structure_exit,8839.93783,8887.77087,0.10000,-5.46058,0.67728,2,0.63418,"{'breakout_low': 8847.0, 'rebound_high': 8892.6, 'position_intent': 'short_entry'}"
UK100,2025-06-17T16:00:00+00:00,2025-06-18T15:00:00+00:00,16,15,volatility_short_breakdown,structure_exit,8830.63969,8847.86289,0.10000,-2.39911,0.67679,2,0.66586,"{'breakout_low': 8836.4, 'rebound_high': 8892.0, 'position_intent': 'short_entry'}"
UK100,2025-06-19T15:00:00+00:00,2025-06-20T15:00:00+00:00,15,15,volatility_short_breakdown,structure_exit,8813.54311,8824.45821,0.10000,-1.76789,0.67638,3,0.71680,"{'breakout_low': 8820.8, 'rebound_high': 8859.7, 'position_intent': 'short_entry'}"
UK100,2025-06-23T15:00:00+00:00,2025-06-24T15:00:00+00:00,15,15,volatility_short_breakdown,structure_exit,8764.25297,8791.75167,0.10000,-3.42543,0.67556,3,0.95828,"{'breakout_low': 8777.0, 'rebound_high': 8840.6, 'position_intent': 'short_entry'}"
UK100,2025-06-25T16:00:00+00:00,2025-06-26T15:00:00+00:00,16,15,volatility_short_breakdown,signal_exit,8721.36155,8741.24157,0.10000,-2.66263,0.67463,2,1.00000,"{'breakout_low': 8744.0, 'rebound_high': 8791.6, 'position_intent': 'short_entry'}"
UK100,2025-08-01T15:00:00+00:00,2025-08-04T15:00:00+00:00,15,15,volatility_short_breakdown,structure_exit,9073.89103,9112.21575,0.10000,-4.51433,0.68186,3,1.00000,"{'breakout_low': 9098.5, 'rebound_high': 9179.8, 'position_intent': 'short_entry'}"
UK100,2025-08-28T15:00:00+00:00,2025-08-29T17:00:00+00:00,15,17,volatility_short_breakdown,take_profit,9223.66107,9199.83327,0.10000,1.69855,0.68423,5,0.62586,"{'breakout_low': 9228.8, 'rebound_high': 9265.6, 'position_intent': 'short_entry'}"
UK100,2025-09-03T16:00:00+00:00,2025-09-04T15:00:00+00:00,16,15,volatility_short_breakdown,take_profit,9146.31257,9200.36573,0.10000,4.72185,0.68347,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-09-16T15:00:00+00:00,2025-09-17T15:00:00+00:00,15,15,volatility_short_breakdown,trailing_stop,9235.95861,9226.63863,0.10000,0.24737,0.68463,3,1.00000,"{'breakout_low': 9261.4, 'rebound_high': 9290.9, 'position_intent': 'short_entry'}"
UK100,2025-10-10T17:00:00+00:00,2025-10-14T17:00:00+00:00,17,17,volatility_short_breakdown,signal_exit,9467.51229,9451.78365,0.10000,0.88367,0.68919,6,1.00000,"{'breakout_low': 9500.2, 'rebound_high': 9532.7, 'position_intent': 'short_entry'}"
UK100,2025-10-17T15:00:00+00:00,2025-10-17T16:00:00+00:00,15,16,volatility_short_breakdown,stop_loss,9334.53889,9379.26915,0.10000,-5.16016,0.68714,1,1.00000,"{'breakout_low': 9385.9, 'rebound_high': 9423.8, 'position_intent': 'short_entry'}"
UK100,2025-10-20T15:00:00+00:00,2025-10-21T15:00:00+00:00,15,15,volatility_short_breakdown,take_profit,9389.47119,9431.81943,0.10000,3.54661,0.68821,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-11-07T15:00:00+00:00,2025-11-07T17:00:00+00:00,15,17,volatility_short_breakdown,stop_loss,9651.47549,9680.12931,0.10000,-3.55870,0.69332,2,1.00000,"{'breakout_low': 9686.2, 'rebound_high': 9769.6, 'position_intent': 'short_entry'}"
UK100,2025-11-10T15:00:00+00:00,2025-11-11T15:00:00+00:00,15,15,volatility_short_breakdown,take_profit,9774.24813,9863.43309,0.10000,8.22212,0.69638,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-11-13T17:00:00+00:00,2025-11-14T15:00:00+00:00,17,15,volatility_short_breakdown,take_profit,9815.44269,9653.12391,0.10000,15.53719,0.69469,1,0.78702,"{'breakout_low': 9823.5, 'rebound_high': 9931.4, 'position_intent': 'short_entry'}"
UK100,2025-11-17T15:00:00+00:00,2025-11-18T15:00:00+00:00,15,15,volatility_short_breakdown,structure_exit,9688.63101,9542.99719,0.10000,-15.25570,0.69232,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-11-19T16:00:00+00:00,2025-11-21T15:00:00+00:00,16,15,volatility_short_breakdown,structure_exit,9556.60461,9528.70005,0.10000,-3.48131,0.69085,5,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-12-08T15:00:00+00:00,2025-12-09T15:00:00+00:00,15,15,volatility_short_breakdown,signal_exit,9650.17575,9648.12291,0.10000,-0.48770,0.69298,3,1.00000,"{'breakout_low': 9680.2, 'rebound_high': 9720.0, 'position_intent': 'short_entry'}"
UK100,2026-01-20T15:00:00+00:00,2026-01-21T15:00:00+00:00,15,15,volatility_short_breakdown,structure_exit,10076.19053,10122.21771,0.10000,-5.30470,0.70198,3,1.00000,"{'breakout_low': 10186.6, 'rebound_high': 10207.1, 'position_intent': 'short_entry'}"
UK100,2026-03-02T15:00:00+00:00,2026-03-03T15:00:00+00:00,15,15,volatility_short_breakdown,take_profit,10734.45885,10477.18869,0.10000,25.01490,0.71212,3,1.00000,"{'breakout_low': 10756.0, 'rebound_high': 10924.3, 'position_intent': 'short_entry'}"
UK100,2026-03-04T15:00:00+00:00,2026-03-05T15:00:00+00:00,15,15,volatility_short_breakdown,structure_exit,10582.00965,10508.30409,0.10000,-8.08146,0.71090,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2026-03-06T15:00:00+00:00,2026-03-10T15:00:00+00:00,15,15,volatility_short_breakdown,structure_exit,10265.65263,10412.57577,0.10000,-15.39910,0.70678,6,1.00000,"{'breakout_low': 10403.8, 'rebound_high': 10560.3, 'position_intent': 'short_entry'}"
UK100,2026-03-12T16:00:00+00:00,2026-03-13T15:00:00+00:00,16,15,volatility_short_breakdown,signal_exit,10286.34849,10334.56017,0.10000,-5.52738,0.70621,2,0.78176,"{'breakout_low': 10297.0, 'rebound_high': 10386.8, 'position_intent': 'short_entry'}"
UK100,2026-03-19T15:00:00+00:00,2026-03-20T15:00:00+00:00,15,15,volatility_short_breakdown,signal_exit,10011.60345,10096.41255,0.10000,-9.18199,0.70108,3,1.00000,"{'breakout_low': 10277.8, 'rebound_high': 10436.5, 'position_intent': 'short_entry'}"
UK100,2026-03-20T17:00:00+00:00,2026-03-23T16:00:00+00:00,17,16,volatility_short_breakdown,signal_exit,9934.81881,9977.98887,0.10000,-5.01613,0.69913,2,1.00000,"{'breakout_low': 9990.5, 'rebound_high': 10097.7, 'position_intent': 'short_entry'}"
