symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-03-31T14:00:00+00:00,2025-03-31T16:00:00+00:00,14,16,volatility_short_breakdown,stop_loss,8532.52903,8573.07765,0.01000,-0.47259,0.06711,2,0.96798,"{'breakout_low': 8542.6, 'rebound_high': 8672.9, 'position_intent': 'short_entry'}"
UK100,2025-04-01T13:00:00+00:00,2025-04-01T17:00:00+00:00,13,17,volatility_short_breakdown,stale_breakout,8641.99143,8626.51023,0.01000,-0.22208,0.06727,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-02T13:00:00+00:00,2025-04-03T13:00:00+00:00,13,13,volatility_short_breakdown,take_profit,8563.32287,8475.35811,0.01000,0.81261,0.06704,8,1.00000,"{'breakout_low': 8585.1, 'rebound_high': 8644.6, 'position_intent': 'short_entry'}"
UK100,2025-04-08T13:00:00+00:00,2025-04-08T16:00:00+00:00,13,16,volatility_short_breakdown,take_profit,7851.83343,7962.74301,0.01000,1.04328,0.06581,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-09T13:00:00+00:00,2025-04-09T15:00:00+00:00,13,15,volatility_short_breakdown,trailing_stop,7683.69883,7682.49957,0.01000,-0.05337,0.06537,2,1.00000,"{'breakout_low': 7760.1, 'rebound_high': 7948.3, 'position_intent': 'short_entry'}"
UK100,2025-04-09T20:00:00+00:00,2025-04-10T16:00:00+00:00,20,16,volatility_short_breakdown,stale_breakout,8087.58057,7965.44247,0.01000,-1.28743,0.06605,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-24T16:00:00+00:00,2025-04-24T18:00:00+00:00,16,18,volatility_short_breakdown,structure_exit,8373.46085,8418.24669,0.01000,-0.51465,0.06679,2,0.67541,"{'breakout_low': 8379.2, 'rebound_high': 8413.5, 'position_intent': 'short_entry'}"
UK100,2025-05-09T14:00:00+00:00,2025-05-09T17:00:00+00:00,14,17,volatility_short_breakdown,structure_exit,8566.97643,8546.62621,0.01000,-0.27062,0.06711,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-05-19T13:00:00+00:00,2025-05-19T16:00:00+00:00,13,16,volatility_short_breakdown,stop_loss,8627.11011,8666.69637,0.01000,-0.46316,0.06729,3,1.00000,"{'breakout_low': 8651.2, 'rebound_high': 8689.0, 'position_intent': 'short_entry'}"
UK100,2025-05-19T17:00:00+00:00,2025-05-19T19:00:00+00:00,17,19,volatility_short_breakdown,take_profit,8674.89801,8710.39345,0.01000,0.28757,0.06739,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-05-22T14:00:00+00:00,2025-05-22T18:00:00+00:00,14,18,volatility_short_breakdown,stop_loss,8703.29487,8751.91341,0.01000,-0.55364,0.06746,4,1.00000,"{'breakout_low': 8718.2, 'rebound_high': 8783.8, 'position_intent': 'short_entry'}"
UK100,2025-05-30T13:00:00+00:00,2025-05-30T17:00:00+00:00,13,17,volatility_short_breakdown,stale_breakout,8780.01903,8761.18329,0.01000,-0.25590,0.06754,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-06-17T13:00:00+00:00,2025-06-17T14:00:00+00:00,13,14,volatility_short_breakdown,stop_loss,8833.46883,8853.93381,0.01000,-0.27234,0.06769,1,0.95867,"{'breakout_low': 8848.6, 'rebound_high': 8892.5, 'position_intent': 'short_entry'}"
UK100,2025-06-18T13:00:00+00:00,2025-06-19T13:00:00+00:00,13,13,volatility_short_breakdown,structure_exit,8829.12885,8823.27087,0.01000,-0.12623,0.06765,8,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-06-19T14:00:00+00:00,2025-06-20T13:00:00+00:00,14,13,volatility_short_breakdown,structure_exit,8805.27447,8840.23107,0.01000,-0.41721,0.06765,7,0.64548,"{'breakout_low': 8813.2, 'rebound_high': 8857.3, 'position_intent': 'short_entry'}"
UK100,2025-06-23T19:00:00+00:00,2025-06-23T20:00:00+00:00,19,20,volatility_short_breakdown,signal_exit,8728.38985,8761.01523,0.01000,-0.39374,0.06749,1,0.76678,"{'breakout_low': 8740.9, 'rebound_high': 8771.3, 'position_intent': 'short_entry'}"
UK100,2025-06-25T16:00:00+00:00,2025-06-26T15:00:00+00:00,16,15,volatility_short_breakdown,stale_breakout,8719.89155,8742.71157,0.01000,-0.29566,0.06746,7,1.00000,"{'breakout_low': 8744.0, 'rebound_high': 8764.5, 'position_intent': 'short_entry'}"
UK100,2025-07-01T13:00:00+00:00,2025-07-01T16:00:00+00:00,13,16,volatility_short_breakdown,stop_loss,8724.19069,8767.75658,0.01000,-0.50315,0.06749,3,1.00000,"{'breakout_low': 8754.1, 'rebound_high': 8777.7, 'position_intent': 'short_entry'}"
UK100,2025-07-01T17:00:00+00:00,2025-07-02T15:00:00+00:00,17,15,volatility_short_breakdown,structure_exit,8776.91841,8750.28547,0.01000,-0.33386,0.06753,6,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-07-04T13:00:00+00:00,2025-07-04T14:00:00+00:00,13,14,volatility_short_breakdown,stop_loss,8784.37865,8805.12405,0.01000,-0.27504,0.06759,1,1.00000,"{'breakout_low': 8804.5, 'rebound_high': 8828.6, 'position_intent': 'short_entry'}"
UK100,2025-07-04T16:00:00+00:00,2025-07-04T18:00:00+00:00,16,18,volatility_short_breakdown,structure_exit,8830.32909,8812.67299,0.01000,-0.24420,0.06764,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-07-25T13:00:00+00:00,2025-07-25T17:00:00+00:00,13,17,volatility_short_breakdown,stop_loss,9099.01571,9126.58833,0.01000,-0.34395,0.06823,4,1.00000,"{'breakout_low': 9124.4, 'rebound_high': 9155.6, 'position_intent': 'short_entry'}"
UK100,2025-07-28T13:00:00+00:00,2025-07-28T15:00:00+00:00,13,15,volatility_short_breakdown,structure_exit,9116.08623,9090.71737,0.01000,-0.32190,0.06821,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-08-01T13:00:00+00:00,2025-08-01T18:00:00+00:00,13,18,volatility_short_breakdown,stop_loss,9065.22247,9100.68315,0.01000,-0.42277,0.06817,5,1.00000,"{'breakout_low': 9114.3, 'rebound_high': 9155.4, 'position_intent': 'short_entry'}"
UK100,2025-08-04T13:00:00+00:00,2025-08-04T19:00:00+00:00,13,19,volatility_short_breakdown,take_profit,9095.68215,9126.21027,0.01000,0.23706,0.06822,6,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-08-07T13:00:00+00:00,2025-08-08T13:00:00+00:00,13,13,volatility_short_breakdown,signal_exit,9110.91333,9105.58413,0.01000,-0.01492,0.06822,8,1.00000,"{'breakout_low': 9142.7, 'rebound_high': 9165.8, 'position_intent': 'short_entry'}"
UK100,2025-08-18T18:00:00+00:00,2025-08-20T13:00:00+00:00,18,13,volatility_short_breakdown,take_profit,9162.89559,9210.49341,0.01000,0.40760,0.06837,11,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-08-28T13:00:00+00:00,2025-08-28T14:00:00+00:00,13,14,volatility_short_breakdown,stop_loss,9207.99391,9230.10903,0.01000,-0.28959,0.06844,1,1.00000,"{'breakout_low': 9228.8, 'rebound_high': 9260.5, 'position_intent': 'short_entry'}"
UK100,2025-09-01T13:00:00+00:00,2025-09-01T16:00:00+00:00,13,16,volatility_short_breakdown,structure_exit,9196.30227,9187.69797,0.01000,-0.15443,0.06838,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-09-02T13:00:00+00:00,2025-09-02T15:00:00+00:00,13,15,volatility_short_breakdown,take_profit,9152.90493,9116.48631,0.01000,0.29592,0.06827,2,1.00000,"{'breakout_low': 9178.9, 'rebound_high': 9196.9, 'position_intent': 'short_entry'}"
UK100,2025-09-03T13:00:00+00:00,2025-09-03T15:00:00+00:00,13,15,volatility_short_breakdown,structure_exit,9167.29647,9132.90893,0.01000,-0.41218,0.06830,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-09-16T13:00:00+00:00,2025-09-16T16:00:00+00:00,13,16,volatility_short_breakdown,take_profit,9248.58579,9215.50611,0.01000,0.26233,0.06846,3,0.70393,"{'breakout_low': 9261.4, 'rebound_high': 9278.9, 'position_intent': 'short_entry'}"
UK100,2025-09-17T15:00:00+00:00,2025-09-17T17:00:00+00:00,15,17,volatility_short_breakdown,structure_exit,9228.10863,9208.09389,0.01000,-0.26858,0.06844,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-10-09T13:00:00+00:00,2025-10-10T17:00:00+00:00,13,17,volatility_short_breakdown,take_profit,9521.73115,9473.55771,0.01000,0.41274,0.06900,12,0.58206,"{'breakout_low': 9526.8, 'rebound_high': 9563.4, 'position_intent': 'short_entry'}"
UK100,2025-10-13T18:00:00+00:00,2025-10-13T20:00:00+00:00,18,20,volatility_short_breakdown,structure_exit,9447.95259,9443.94671,0.01000,-0.10895,0.06889,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-10-14T13:00:00+00:00,2025-10-14T17:00:00+00:00,13,17,volatility_short_breakdown,stop_loss,9386.95811,9453.25365,0.01000,-0.73180,0.06884,4,1.00000,"{'breakout_low': 9409.2, 'rebound_high': 9457.0, 'position_intent': 'short_entry'}"
UK100,2025-10-17T13:00:00+00:00,2025-10-17T14:00:00+00:00,13,14,volatility_short_breakdown,stop_loss,9304.27465,9337.83057,0.01000,-0.40420,0.06864,1,1.00000,"{'breakout_low': 9385.9, 'rebound_high': 9442.9, 'position_intent': 'short_entry'}"
UK100,2025-10-20T13:00:00+00:00,2025-10-20T19:00:00+00:00,13,19,volatility_short_breakdown,take_profit,9387.94059,9416.85213,0.01000,0.22031,0.06880,6,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-11-06T18:00:00+00:00,2025-11-07T13:00:00+00:00,18,13,volatility_short_breakdown,take_profit,9716.29223,9679.89897,0.01000,0.29454,0.06940,3,0.63883,"{'breakout_low': 9727.3, 'rebound_high': 9769.6, 'position_intent': 'short_entry'}"
UK100,2025-11-10T13:00:00+00:00,2025-11-10T19:00:00+00:00,13,19,volatility_short_breakdown,take_profit,9778.71873,9812.97289,0.01000,0.27295,0.06959,6,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-11-13T13:00:00+00:00,2025-11-13T15:00:00+00:00,13,15,volatility_short_breakdown,trailing_stop,9846.46619,9852.83355,0.01000,-0.13337,0.06970,2,1.00000,"{'breakout_low': 9876.8, 'rebound_high': 9917.7, 'position_intent': 'short_entry'}"
