symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-02T15:00:00+00:00,2025-04-02T15:30:00+00:00,15,15,volatility_short_breakdown,stop_loss,8543.52683,8578.97883,0.01000,-0.42164,0.06712,1,1.00000,"{'breakout_low': 8562.0, 'rebound_high': 8640.4, 'position_intent': 'short_entry'}"
UK100,2025-04-03T15:00:00+00:00,2025-04-03T16:00:00+00:00,15,16,volatility_short_breakdown,structure_exit,8483.65977,8458.94375,0.01000,-0.31410,0.06694,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-04T15:00:00+00:00,2025-04-04T17:00:00+00:00,15,17,volatility_short_breakdown,take_profit,8146.64622,8061.27531,0.01000,0.78750,0.06621,4,1.00000,"{'breakout_low': 8447.0, 'rebound_high': 8500.5, 'position_intent': 'short_entry'}"
UK100,2025-04-08T15:00:00+00:00,2025-04-08T17:30:00+00:00,15,17,volatility_short_breakdown,trailing_stop,7898.14269,7913.45287,0.01000,0.08729,0.06581,5,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-11T16:00:00+00:00,2025-04-11T16:30:00+00:00,16,16,volatility_short_breakdown,signal_exit,7907.85399,7971.67739,0.01000,-0.70411,0.06588,1,1.00000,"{'breakout_low': 7934.4, 'rebound_high': 7989.4, 'position_intent': 'short_entry'}"
UK100,2025-04-24T16:00:00+00:00,2025-04-24T17:00:00+00:00,16,17,volatility_short_breakdown,stop_loss,8371.76119,8394.34191,0.01000,-0.29257,0.06677,2,0.66155,"{'breakout_low': 8383.0, 'rebound_high': 8434.8, 'position_intent': 'short_entry'}"
UK100,2025-05-07T15:30:00+00:00,2025-05-08T15:00:00+00:00,15,15,volatility_short_breakdown,stop_loss,8546.12631,8586.60035,0.01000,-0.47187,0.06713,5,0.55970,"{'breakout_low': 8550.6, 'rebound_high': 8604.3, 'position_intent': 'short_entry'}"
UK100,2025-05-09T15:00:00+00:00,2025-05-09T17:00:00+00:00,15,17,volatility_short_breakdown,structure_exit,8554.87401,8545.82637,0.01000,-0.15758,0.06710,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-05-19T15:30:00+00:00,2025-05-19T16:30:00+00:00,15,16,volatility_short_breakdown,stop_loss,8622.81097,8666.69637,0.01000,-0.50614,0.06729,2,1.00000,"{'breakout_low': 8643.9, 'rebound_high': 8680.4, 'position_intent': 'short_entry'}"
UK100,2025-05-22T15:00:00+00:00,2025-05-22T15:30:00+00:00,15,15,volatility_short_breakdown,stop_loss,8691.21729,8722.00743,0.01000,-0.37531,0.06741,1,1.00000,"{'breakout_low': 8769.8, 'rebound_high': 8798.6, 'position_intent': 'short_entry'}"
UK100,2025-05-30T15:00:00+00:00,2025-06-02T16:30:00+00:00,15,16,volatility_short_breakdown,structure_exit,8751.05324,8740.32746,0.01000,-0.17475,0.06749,9,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-06-20T17:30:00+00:00,2025-06-23T15:00:00+00:00,17,15,volatility_short_breakdown,signal_exit,8778.67979,8758.51473,0.01000,0.13411,0.06754,1,0.66458,"{'breakout_low': 8790.3, 'rebound_high': 8826.3, 'position_intent': 'short_entry'}"
UK100,2025-06-25T16:00:00+00:00,2025-06-26T15:00:00+00:00,16,15,volatility_short_breakdown,structure_exit,8730.88935,8749.93301,0.01000,-0.25792,0.06748,4,0.74377,"{'breakout_low': 8744.0, 'rebound_high': 8783.6, 'position_intent': 'short_entry'}"
UK100,2025-07-15T17:00:00+00:00,2025-07-16T15:00:00+00:00,17,15,volatility_short_breakdown,structure_exit,8956.44423,8969.27687,0.01000,-0.19625,0.06793,2,0.57318,"{'breakout_low': 8962.0, 'rebound_high': 9007.6, 'position_intent': 'short_entry'}"
UK100,2025-07-28T15:30:00+00:00,2025-07-28T16:30:00+00:00,15,16,volatility_short_breakdown,take_profit,9090.71737,9069.77697,0.01000,0.14124,0.06816,2,0.68668,"{'breakout_low': 9094.8, 'rebound_high': 9127.4, 'position_intent': 'short_entry'}"
