symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-03-31T14:05:00+00:00,2025-03-31T14:15:00+00:00,14,14,volatility_short_breakdown,stale_breakout,8537.01579,8547.38517,0.01000,-0.17078,0.06708,2,0.60188,"{'breakout_low': 8542.3, 'rebound_high': 8553.0, 'position_intent': 'short_entry'}"
UK100,2025-04-03T13:30:00+00:00,2025-04-03T14:05:00+00:00,13,14,volatility_short_breakdown,stop_loss,8467.02979,8483.07231,0.01000,-0.22738,0.06695,7,1.00000,"{'breakout_low': 8559.9, 'rebound_high': 8571.4, 'position_intent': 'short_entry'}"
UK100,2025-04-07T13:30:00+00:00,2025-04-07T13:40:00+00:00,13,13,volatility_short_breakdown,take_profit,7743.32439,7774.06841,0.01000,0.24192,0.06552,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-08T14:05:00+00:00,2025-04-08T14:10:00+00:00,14,14,volatility_short_breakdown,structure_exit,7845.54483,7829.05741,0.01000,-0.23055,0.06567,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-09T14:00:00+00:00,2025-04-09T14:45:00+00:00,14,14,volatility_short_breakdown,time_stop,7629.79727,7633.00233,0.01000,-0.09731,0.06526,9,1.00000,"{'breakout_low': 7666.9, 'rebound_high': 7721.9, 'position_intent': 'short_entry'}"
UK100,2025-04-10T13:30:00+00:00,2025-04-10T14:10:00+00:00,13,14,volatility_short_breakdown,time_stop,8036.08293,8015.72007,0.01000,-0.26968,0.06605,8,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-15T14:45:00+00:00,2025-04-15T14:55:00+00:00,14,14,volatility_short_breakdown,stale_breakout,8186.38593,8191.81407,0.01000,-0.12066,0.06638,2,0.59560,"{'breakout_low': 8193.4, 'rebound_high': 8202.9, 'position_intent': 'short_entry'}"
UK100,2025-04-16T13:30:00+00:00,2025-04-16T13:35:00+00:00,13,13,volatility_short_breakdown,stop_loss,8219.31957,8208.68147,0.01000,-0.17281,0.06643,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-23T14:05:00+00:00,2025-04-23T14:10:00+00:00,14,14,volatility_short_breakdown,structure_exit,8452.06611,8444.83423,0.01000,-0.13922,0.06690,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-29T13:30:00+00:00,2025-04-29T14:10:00+00:00,13,14,volatility_short_breakdown,time_stop,8434.56261,8422.53869,0.01000,-0.18710,0.06686,8,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
