symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-04-04T18:00:00+00:00,2025-04-04T18:35:00+00:00,18,18,volatility_short_breakdown,take_profit,8113.40053,8033.18235,0.01000,0.73604,0.06615,7,1.00000,"{'breakout_low': 8492.9, 'rebound_high': 8513.4, 'position_intent': 'short_entry'}"
UK100,2025-04-07T18:00:00+00:00,2025-04-07T18:05:00+00:00,18,18,volatility_short_breakdown,stop_loss,7847.50522,7798.42354,0.01000,-0.55646,0.06565,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-08T19:35:00+00:00,2025-04-08T19:45:00+00:00,19,19,volatility_short_breakdown,trailing_stop,7854.95223,7858.94751,0.01000,-0.10567,0.06571,2,1.00000,"{'breakout_low': 7871.6, 'rebound_high': 7897.3, 'position_intent': 'short_entry'}"
UK100,2025-04-10T18:40:00+00:00,2025-04-10T18:55:00+00:00,18,18,volatility_short_breakdown,take_profit,7896.14399,7871.14995,0.01000,0.18417,0.06577,3,0.94409,"{'breakout_low': 7903.3, 'rebound_high': 7938.9, 'position_intent': 'short_entry'}"
UK100,2025-04-11T18:00:00+00:00,2025-04-11T18:10:00+00:00,18,18,volatility_short_breakdown,stale_breakout,7970.76987,7953.43253,0.01000,-0.23930,0.06592,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-29T18:00:00+00:00,2025-04-29T18:15:00+00:00,18,18,volatility_short_breakdown,trailing_stop,8465.86887,8463.83043,0.01000,-0.08731,0.06693,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-30T18:10:00+00:00,2025-04-30T18:20:00+00:00,18,18,volatility_short_breakdown,stale_breakout,8477.17113,8465.13017,0.01000,-0.18735,0.06694,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-05-01T19:15:00+00:00,2025-05-01T19:25:00+00:00,19,19,volatility_short_breakdown,stale_breakout,8457.33173,8464.16853,0.01000,-0.13529,0.06692,2,0.59143,"{'breakout_low': 8464.1, 'rebound_high': 8473.9, 'position_intent': 'short_entry'}"
UK100,2025-05-02T18:00:00+00:00,2025-05-02T18:10:00+00:00,18,18,volatility_short_breakdown,stale_breakout,8617.99929,8611.60087,0.01000,-0.13121,0.06723,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-05-08T18:00:00+00:00,2025-05-08T18:05:00+00:00,18,18,volatility_short_breakdown,stop_loss,8510.72105,8533.28235,0.01000,-0.29266,0.06704,1,1.00000,"{'breakout_low': 8567.3, 'rebound_high': 8582.4, 'position_intent': 'short_entry'}"
UK100,2025-05-08T18:20:00+00:00,2025-05-08T18:25:00+00:00,18,18,volatility_short_breakdown,structure_exit,8541.78405,8536.01599,0.01000,-0.12476,0.06708,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-05-09T19:45:00+00:00,2025-05-12T18:00:00+00:00,19,18,volatility_short_breakdown,structure_exit,8522.11877,8607.69723,0.01000,-0.92291,0.06713,3,0.56572,"{'breakout_low': 8527.2, 'rebound_high': 8536.9, 'position_intent': 'short_entry'}"
UK100,2025-05-14T18:00:00+00:00,2025-05-14T18:25:00+00:00,18,18,volatility_short_breakdown,stale_breakout,8558.51149,8578.49139,0.01000,-0.26694,0.06714,5,1.00000,"{'breakout_low': 8587.8, 'rebound_high': 8595.4, 'position_intent': 'short_entry'}"
UK100,2025-05-28T18:00:00+00:00,2025-05-28T18:30:00+00:00,18,18,volatility_short_breakdown,take_profit,8739.37531,8730.92187,0.01000,0.01706,0.06747,6,1.00000,"{'breakout_low': 8791.8, 'rebound_high': 8799.3, 'position_intent': 'short_entry'}"
UK100,2025-06-02T18:00:00+00:00,2025-06-02T18:20:00+00:00,18,18,volatility_short_breakdown,trailing_stop,8784.63261,8785.46609,0.01000,-0.05924,0.06757,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-06-13T18:00:00+00:00,2025-06-13T18:05:00+00:00,18,18,volatility_short_breakdown,stop_loss,8836.75583,8848.94547,0.01000,-0.18958,0.06769,1,1.00000,"{'breakout_low': 8882.1, 'rebound_high': 8891.5, 'position_intent': 'short_entry'}"
UK100,2025-06-13T18:30:00+00:00,2025-06-13T18:40:00+00:00,18,18,volatility_short_breakdown,structure_exit,8852.84625,8848.45349,0.01000,-0.11163,0.06770,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-06-19T18:20:00+00:00,2025-06-19T18:45:00+00:00,18,18,volatility_short_breakdown,trailing_stop,8791.76483,8796.93507,0.01000,-0.11929,0.06759,5,0.77608,"{'breakout_low': 8803.9, 'rebound_high': 8816.4, 'position_intent': 'short_entry'}"
UK100,2025-06-23T18:00:00+00:00,2025-06-23T18:05:00+00:00,18,18,volatility_short_breakdown,structure_exit,8757.92727,8752.57267,0.01000,-0.12106,0.06751,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
