symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
UK100,2025-03-28T17:10:00+00:00,2025-03-28T18:10:00+00:00,17,18,volatility_short_breakdown,trailing_stop,8643.67709,8646.72267,0.10000,-0.97746,0.67290,12,0.65317,"{'breakout_low': 8651.1, 'rebound_high': 8660.1, 'position_intent': 'short_entry'}"
UK100,2025-03-28T18:25:00+00:00,2025-03-28T18:40:00+00:00,18,18,volatility_short_breakdown,structure_exit,8667.22677,8663.17319,0.10000,-1.07866,0.67330,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-03-31T15:35:00+00:00,2025-03-31T15:50:00+00:00,15,15,volatility_short_breakdown,structure_exit,8547.70287,8544.19699,0.10000,-1.02151,0.67092,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-01T14:35:00+00:00,2025-04-01T14:40:00+00:00,14,14,volatility_short_breakdown,stop_loss,8614.48293,8629.21917,0.10000,-2.14606,0.67244,1,0.55270,"{'breakout_low': 8617.3, 'rebound_high': 8626.6, 'position_intent': 'short_entry'}"
UK100,2025-04-01T15:05:00+00:00,2025-04-01T15:15:00+00:00,15,15,volatility_short_breakdown,structure_exit,8643.22197,8640.77767,0.10000,-0.91727,0.67284,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-01T16:35:00+00:00,2025-04-01T17:25:00+00:00,16,17,volatility_short_breakdown,trailing_stop,8601.68549,8602.41381,0.10000,-0.74487,0.67204,10,0.69881,"{'breakout_low': 8612.6, 'rebound_high': 8641.4, 'position_intent': 'short_entry'}"
UK100,2025-04-02T13:00:00+00:00,2025-04-02T14:10:00+00:00,13,14,volatility_short_breakdown,stale_breakout,8551.99543,8581.00953,0.10000,-3.57274,0.67133,14,1.00000,"{'breakout_low': 8593.1, 'rebound_high': 8604.5, 'position_intent': 'short_entry'}"
UK100,2025-04-02T15:25:00+00:00,2025-04-02T15:35:00+00:00,15,15,volatility_short_breakdown,stop_loss,8544.99683,8560.00533,0.10000,-2.17190,0.67105,2,0.58055,"{'breakout_low': 8552.4, 'rebound_high': 8563.26, 'position_intent': 'short_entry'}"
UK100,2025-04-02T16:00:00+00:00,2025-04-02T16:25:00+00:00,16,16,volatility_short_breakdown,stop_loss,8579.00913,8567.59231,0.10000,-1.81315,0.67147,5,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-03T13:00:00+00:00,2025-04-03T14:05:00+00:00,13,14,volatility_short_breakdown,trailing_stop,8479.70989,8482.38981,0.10000,-0.93761,0.66962,13,1.00000,"{'breakout_low': 8574.0, 'rebound_high': 8583.0, 'position_intent': 'short_entry'}"
UK100,2025-04-03T15:05:00+00:00,2025-04-03T15:20:00+00:00,15,15,volatility_short_breakdown,take_profit,8476.88871,8487.40835,0.10000,0.38232,0.66964,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-04T13:00:00+00:00,2025-04-04T13:05:00+00:00,13,13,volatility_short_breakdown,take_profit,8291.74749,8255.84451,0.10000,2.92482,0.66548,1,1.00000,"{'breakout_low': 8482.7, 'rebound_high': 8505.4, 'position_intent': 'short_entry'}"
UK100,2025-04-04T17:00:00+00:00,2025-04-04T17:40:00+00:00,17,17,volatility_short_breakdown,take_profit,8096.78649,8041.60167,0.10000,4.85710,0.66138,8,1.00000,"{'breakout_low': 8114.6, 'rebound_high': 8144.3, 'position_intent': 'short_entry'}"
UK100,2025-04-04T20:45:00+00:00,2025-04-07T13:00:00+00:00,20,13,volatility_short_breakdown,stop_loss,8041.50165,7702.76531,0.10000,-34.53108,0.65744,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-07T16:10:00+00:00,2025-04-07T16:25:00+00:00,16,16,volatility_short_breakdown,stop_loss,7732.43985,7692.06745,0.10000,-4.69149,0.65425,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-08T18:25:00+00:00,2025-04-08T18:30:00+00:00,18,18,volatility_short_breakdown,stop_loss,7886.42857,7911.77571,0.10000,-3.19270,0.65798,1,0.86110,"{'breakout_low': 7891.4, 'rebound_high': 7924.4, 'position_intent': 'short_entry'}"
UK100,2025-04-09T13:00:00+00:00,2025-04-09T13:15:00+00:00,13,13,volatility_short_breakdown,structure_exit,7695.83253,7686.96847,0.10000,-1.54023,0.65383,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-09T14:00:00+00:00,2025-04-09T15:40:00+00:00,14,15,volatility_short_breakdown,time_stop,7630.47977,7641.32163,0.10000,-1.73690,0.65272,20,1.00000,"{'breakout_low': 7666.9, 'rebound_high': 7721.9, 'position_intent': 'short_entry'}"
UK100,2025-04-10T15:20:00+00:00,2025-04-10T16:00:00+00:00,15,16,volatility_short_breakdown,trailing_stop,7983.90907,7985.89053,0.10000,-0.85784,0.65970,8,0.69142,"{'breakout_low': 7990.4, 'rebound_high': 8004.1, 'position_intent': 'short_entry'}"
UK100,2025-04-10T16:15:00+00:00,2025-04-10T16:25:00+00:00,16,16,volatility_short_breakdown,structure_exit,8024.09817,8001.90547,0.10000,-2.87953,0.66026,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-10T16:35:00+00:00,2025-04-10T16:55:00+00:00,16,16,volatility_short_breakdown,stale_breakout,7963.41317,7970.88753,0.10000,-1.40678,0.65934,4,0.72907,"{'breakout_low': 7973.9, 'rebound_high': 8032.4, 'position_intent': 'short_entry'}"
UK100,2025-04-10T17:20:00+00:00,2025-04-10T17:35:00+00:00,17,17,volatility_short_breakdown,structure_exit,7983.59007,7979.40997,0.10000,-1.07764,0.65963,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
UK100,2025-04-10T18:30:00+00:00,2025-04-10T18:55:00+00:00,18,18,volatility_short_breakdown,take_profit,7914.82289,7870.46745,0.10000,3.77769,0.65785,5,0.87214,"{'breakout_low': 7921.1, 'rebound_high': 7951.4, 'position_intent': 'short_entry'}"
