name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,sharpe_ratio,sortino_ratio,calmar_ratio,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_unified_regime,best_regime_pnl,worst_regime,worst_unified_regime,worst_regime_pnl,dominant_regime_share_pct,regime_stability_score,regime_loss_ratio,regime_trade_count_by_label,regime_pnl_by_label,regime_pf_by_label,regime_win_rate_by_label,regime_filter_label,broker_swap_available,broker_swap_long,broker_swap_short,broker_preferred_carry_side,broker_carry_spread,mc_simulations,mc_pnl_median,mc_pnl_p05,mc_pnl_p95,mc_max_drawdown_pct_median,mc_max_drawdown_pct_p95,mc_loss_probability_pct,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
trend__5m_open,EMA trend continuation [5m_open],single,-9.86472,25,16.00000,0.21654,0.01150,1.73762,-0.39459,-0.39990,-0.36440,-0.85791,0.68162,-0.59958,1.13683,4.68000,stop_loss,56.00000,1,0.00000,0.00000,trend_up_vol_high,trend_expansion,-0.55274,trend_up_vol_low,orderly_trend,-8.63743,72.00000,0.00000,999.00000,"{""trend_up_vol_high"": 1, ""trend_up_vol_low"": 18, ""trend_up_vol_mid"": 6}","{""trend_up_vol_high"": -0.5527374081200078, ""trend_up_vol_low"": -8.637430119840015, ""trend_up_vol_mid"": -0.67455619644}","{""trend_up_vol_high"": 0.0, ""trend_up_vol_low"": 0.05675164362912883, ""trend_up_vol_mid"": 0.7658891264670769}","{""trend_up_vol_high"": 0.0, ""trend_up_vol_low"": 5.555555555555555, ""trend_up_vol_mid"": 50.0}",,1,-239.65000,11.06000,short,-250.71000,500,-9.45059,-17.66615,-2.75957,0.01015,0.01799,99.20000,2,0.00000,-0.33401,-3.06822,0.00000,0.18061,-1.03961,-0.23668,0.00000,1,-5.05349,0.36121,15,artifacts\research\uk100\candidates\trend__5m_open_5m_open_symbol_candidate_trades.csv,artifacts\research\uk100\candidates\trend__5m_open_5m_open_symbol_candidate_analysis.txt
momentum__5m_open,Momentum confirmation [5m_open],single,-3.49424,3,0.00000,0.00000,0.00349,0.20147,-1.16475,-1.21081,-0.82910,-1.00000,0.00000,-1.16475,0.00000,7.66667,structure_exit,66.66667,1,0.00000,0.00000,trend_flat_vol_high,dislocated_chop,-0.98487,trend_up_vol_mid,orderly_trend,-2.50937,66.66667,0.00000,999.00000,"{""trend_flat_vol_high"": 1, ""trend_up_vol_mid"": 2}","{""trend_flat_vol_high"": -0.984867016759997, ""trend_up_vol_mid"": -2.5093728448000037}","{""trend_flat_vol_high"": 0.0, ""trend_up_vol_mid"": 0.0}","{""trend_flat_vol_high"": 0.0, ""trend_up_vol_mid"": 0.0}",,1,-239.65000,11.06000,short,-250.71000,500,-3.49424,-5.39276,-1.59572,0.00349,0.00539,100.00000,2,0.00000,0.00000,-0.49243,0.00000,0.00000,0.00000,0.00000,0.00000,0,-0.98487,0.00000,1,artifacts\research\uk100\candidates\momentum__5m_open_5m_open_symbol_candidate_trades.csv,artifacts\research\uk100\candidates\momentum__5m_open_5m_open_symbol_candidate_analysis.txt
mean_reversion__5m_open,Intraday mean reversion [5m_open],single,-0.58416,5,20.00000,0.56405,0.00129,0.33793,-0.11683,-0.21426,-0.28206,-0.45363,0.75580,-0.33499,2.25620,6.00000,structure_exit,80.00000,1,0.00000,0.00000,trend_down_vol_mid,orderly_trend,0.75580,trend_down_vol_high,trend_expansion,-0.95528,40.00000,0.36063,1.26393,"{""trend_down_vol_high"": 2, ""trend_down_vol_low"": 1, ""trend_down_vol_mid"": 1, ""trend_up_vol_high"": 1}","{""trend_down_vol_high"": -0.9552849136599832, ""trend_down_vol_low"": -0.14131499984000204, ""trend_down_vol_mid"": 0.7558049180200002, ""trend_up_vol_high"": -0.2433610022000089}","{""trend_down_vol_high"": 0.0, ""trend_down_vol_low"": 0.0, ""trend_down_vol_mid"": 999.0, ""trend_up_vol_high"": 0.0}","{""trend_down_vol_high"": 0.0, ""trend_down_vol_low"": 0.0, ""trend_down_vol_mid"": 100.0, ""trend_up_vol_high"": 0.0}",,1,-239.65000,11.06000,short,-250.71000,500,-0.62447,-2.15595,1.02902,0.00110,0.00220,73.20000,2,0.00000,0.75580,-0.07066,999.00000,0.00000,-0.75224,0.75580,999.00000,1,-0.14131,0.00000,1,artifacts\research\uk100\candidates\mean_reversion__5m_open_5m_open_symbol_candidate_trades.csv,artifacts\research\uk100\candidates\mean_reversion__5m_open_5m_open_symbol_candidate_analysis.txt
volatility_breakout__5m_open,Generic volatility breakout [5m_open],single,-3.67918,27,14.81481,0.33516,0.00470,1.86792,-0.13627,-0.41499,-0.49082,-0.78241,0.46370,-0.24061,1.92719,6.03704,stop_loss,37.03704,1,0.00000,0.00000,trend_flat_vol_low,compressed_range,-0.10754,trend_up_vol_low,orderly_trend,-1.86036,40.74074,0.00000,999.00000,"{""trend_flat_vol_high"": 1, ""trend_flat_vol_low"": 11, ""trend_flat_vol_mid"": 1, ""trend_up_vol_low"": 8, ""trend_up_vol_mid"": 6}","{""trend_flat_vol_high"": -0.6519669100999953, ""trend_flat_vol_low"": -0.10753577044007431, ""trend_flat_vol_mid"": -0.12224329958000177, ""trend_up_vol_low"": -1.860360814000065, ""trend_up_vol_mid"": -0.9370767012600196}","{""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 0.9429906731951506, ""trend_flat_vol_mid"": 0.0, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 0.07504831077147775}","{""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 27.27272727272727, ""trend_flat_vol_mid"": 0.0, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 16.666666666666664}",,1,-239.65000,11.06000,short,-250.71000,500,-3.79618,-6.15875,-0.42799,0.00425,0.00625,96.80000,2,0.00000,-0.75550,-1.19484,0.18241,0.26580,-0.69478,-0.58913,0.00000,3,-1.38007,0.46156,11,artifacts\research\uk100\candidates\volatility_breakout__5m_open_5m_open_symbol_candidate_trades.csv,artifacts\research\uk100\candidates\volatility_breakout__5m_open_5m_open_symbol_candidate_analysis.txt
opening_range_breakout__5m_open,Opening range breakout [5m_open],single,-2.11560,13,23.07692,0.48080,0.00212,0.90334,-0.16274,-0.27742,-0.31180,-1.00000,0.65305,-0.40748,1.60268,3.69231,stop_loss,53.84615,1,0.00000,0.00000,trend_flat_vol_low,compressed_range,0.50266,trend_up_vol_low,orderly_trend,-1.44456,61.53846,0.16106,2.87386,"{""trend_flat_vol_low"": 8, ""trend_up_vol_high"": 1, ""trend_up_vol_low"": 2, ""trend_up_vol_mid"": 2}","{""trend_flat_vol_low"": 0.5026556331199342, ""trend_up_vol_high"": -0.5749438085600133, ""trend_up_vol_low"": -1.444563222880006, ""trend_up_vol_mid"": -0.5987445060999954}","{""trend_flat_vol_low"": 1.3451120711064817, ""trend_up_vol_high"": 0.0, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 0.0}","{""trend_flat_vol_low"": 37.5, ""trend_up_vol_high"": 0.0, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 0.0}",,1,-239.65000,11.06000,short,-250.71000,500,-1.96993,-5.08167,1.48987,0.00293,0.00537,82.40000,2,0.00000,-0.67451,-0.73893,0.00000,0.21413,-0.40502,-0.23272,0.00000,1,-1.47786,0.42826,6,artifacts\research\uk100\candidates\opening_range_breakout__5m_open_5m_open_symbol_candidate_trades.csv,artifacts\research\uk100\candidates\opening_range_breakout__5m_open_5m_open_symbol_candidate_analysis.txt
volatility_short_breakdown__5m_open,Generic short volatility breakdown [5m_open],single,-17.32326,52,11.53846,0.09076,0.01752,3.57832,-0.33314,-0.41765,-0.37087,-0.98862,0.28819,-0.41418,0.69581,4.48077,stop_loss,50.00000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,0.00815,trend_flat_vol_low,compressed_range,-8.12577,57.69231,0.00047,996.55941,"{""trend_down_vol_high"": 1, ""trend_down_vol_low"": 8, ""trend_down_vol_mid"": 2, ""trend_flat_vol_low"": 30, ""trend_flat_vol_mid"": 4, ""trend_up_vol_low"": 4, ""trend_up_vol_mid"": 3}","{""trend_down_vol_high"": -4.1442724801999935, ""trend_down_vol_low"": 0.008153823199946487, ""trend_down_vol_mid"": -0.5575627052200122, ""trend_flat_vol_low"": -8.125769276400193, ""trend_flat_vol_mid"": -3.544163359219995, ""trend_up_vol_low"": -0.49616899832007344, ""trend_up_vol_mid"": -0.46348080084001564}","{""trend_down_vol_high"": 0.0, ""trend_down_vol_low"": 1.0087378871570623, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_low"": 0.0025656864007112764, ""trend_flat_vol_mid"": 0.1756262874032607, ""trend_up_vol_low"": 0.023398955558967715, ""trend_up_vol_mid"": 0.0}","{""trend_down_vol_high"": 0.0, ""trend_down_vol_low"": 25.0, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_low"": 3.3333333333333335, ""trend_flat_vol_mid"": 50.0, ""trend_up_vol_low"": 25.0, ""trend_up_vol_mid"": 0.0}",,1,-239.65000,11.06000,short,-250.71000,500,-16.34345,-26.98672,-8.50861,0.01649,0.02700,100.00000,2,0.00000,-2.00703,-3.82322,0.02481,0.21545,-3.44407,-1.78249,0.02752,8,-6.18173,0.18308,17,artifacts\research\uk100\candidates\volatility_short_breakdown__5m_open_5m_open_symbol_candidate_trades.csv,artifacts\research\uk100\candidates\volatility_short_breakdown__5m_open_5m_open_symbol_candidate_analysis.txt
opening_range_short_breakdown__5m_open,Opening range short breakdown [5m_open],single,-1.90836,18,27.77778,0.77376,0.00680,1.24320,-0.10602,-0.07664,-0.08616,-0.28059,1.30532,-0.64884,2.01177,4.33333,stop_loss,38.88889,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,2.77072,trend_down_vol_high,trend_expansion,-5.97698,38.88889,0.41907,2.15720,"{""trend_down_vol_high"": 4, ""trend_down_vol_low"": 4, ""trend_down_vol_mid"": 2, ""trend_flat_vol_low"": 7, ""trend_flat_vol_mid"": 1}","{""trend_down_vol_high"": -5.97697900850002, ""trend_down_vol_low"": 2.770717367019975, ""trend_down_vol_mid"": 2.1699380493199847, ""trend_flat_vol_low"": -0.6053867315960335, ""trend_flat_vol_mid"": -0.2666462023999939}","{""trend_down_vol_high"": 0.0, ""trend_down_vol_low"": 4.586917551268754, ""trend_down_vol_mid"": 6.2036084362549975, ""trend_flat_vol_low"": 0.39575326770741764, ""trend_flat_vol_mid"": 0.0}","{""trend_down_vol_high"": 0.0, ""trend_down_vol_low"": 50.0, ""trend_down_vol_mid"": 50.0, ""trend_flat_vol_low"": 28.57142857142857, ""trend_flat_vol_mid"": 0.0}",,1,-239.65000,11.06000,short,-250.71000,500,-1.98463,-11.10239,7.70429,0.00531,0.01313,64.40000,2,100.00000,1.17384,2.99480,2.39681,6.67160,-2.24020,1.07750,2.12795,5,3.76169,6.13779,6,artifacts\research\uk100\candidates\opening_range_short_breakdown__5m_open_5m_open_symbol_candidate_trades.csv,artifacts\research\uk100\candidates\opening_range_short_breakdown__5m_open_5m_open_symbol_candidate_analysis.txt
trend__5m_open__exit_trend,EMA trend continuation [5m_open] with trend-runner exits,entry_exit_family,-10.18363,25,20.00000,0.23688,0.01080,1.73758,-0.40735,-0.40514,-0.36030,-0.94286,0.63222,-0.66724,0.94752,4.92000,stop_loss,68.00000,1,0.00000,0.00000,trend_up_vol_high,trend_expansion,-0.55274,trend_up_vol_low,orderly_trend,-7.93964,72.00000,0.00000,999.00000,"{""trend_up_vol_high"": 1, ""trend_up_vol_low"": 18, ""trend_up_vol_mid"": 6}","{""trend_up_vol_high"": -0.5527374081200078, ""trend_up_vol_low"": -7.939639505880007, ""trend_up_vol_mid"": -1.6912511167800162}","{""trend_up_vol_high"": 0.0, ""trend_up_vol_low"": 0.11067494523081638, ""trend_up_vol_mid"": 0.5623365975996679}","{""trend_up_vol_high"": 0.0, ""trend_up_vol_low"": 16.666666666666664, ""trend_up_vol_mid"": 33.33333333333333}",,1,-239.65000,11.06000,short,-250.71000,500,-9.61368,-18.57866,-3.38535,0.01028,0.01888,98.80000,2,0.00000,-0.33401,-3.16624,0.00000,0.41191,-0.90964,-0.23668,0.00000,1,-5.81736,0.35154,15,artifacts\research\uk100\candidates\trend__5m_open__exit_trend_5m_open_symbol_candidate_trades.csv,artifacts\research\uk100\candidates\trend__5m_open__exit_trend_5m_open_symbol_candidate_analysis.txt
trend__5m_open__exit_fastfail,EMA trend continuation [5m_open] with fast-fail exits,entry_exit_family,-9.68478,25,16.00000,0.23114,0.01150,1.73763,-0.38739,-0.39103,-0.35774,-0.84190,0.72786,-0.59982,1.21346,4.56000,stop_loss,52.00000,1,0.00000,0.00000,trend_up_vol_mid,orderly_trend,-0.48961,trend_up_vol_low,orderly_trend,-8.64243,72.00000,0.00000,999.00000,"{""trend_up_vol_high"": 1, ""trend_up_vol_low"": 18, ""trend_up_vol_mid"": 6}","{""trend_up_vol_high"": -0.5527374081200078, ""trend_up_vol_low"": -8.642428619940024, ""trend_up_vol_mid"": -0.48961169274001115}","{""trend_up_vol_high"": 0.0, ""trend_up_vol_low"": 0.05672068208155818, ""trend_up_vol_mid"": 0.8300758014169505}","{""trend_up_vol_high"": 0.0, ""trend_up_vol_low"": 5.555555555555555, ""trend_up_vol_mid"": 50.0}",,1,-239.65000,11.06000,short,-250.71000,500,-9.36213,-17.53761,-2.65179,0.00992,0.01782,99.00000,2,0.00000,-0.33401,-2.97925,0.00000,0.18918,-1.04460,-0.23668,0.00000,1,-4.87554,0.37836,15,artifacts\research\uk100\candidates\trend__5m_open__exit_fastfail_5m_open_symbol_candidate_trades.csv,artifacts\research\uk100\candidates\trend__5m_open__exit_fastfail_5m_open_symbol_candidate_analysis.txt
momentum__5m_open__exit_trend,Momentum confirmation [5m_open] with trend-runner exits,entry_exit_family,-3.49424,3,0.00000,0.00000,0.00349,0.20147,-1.16475,-1.21081,-0.82910,-1.00000,0.00000,-1.16475,0.00000,7.66667,stop_loss,66.66667,1,0.00000,0.00000,trend_flat_vol_high,dislocated_chop,-0.98487,trend_up_vol_mid,orderly_trend,-2.50937,66.66667,0.00000,999.00000,"{""trend_flat_vol_high"": 1, ""trend_up_vol_mid"": 2}","{""trend_flat_vol_high"": -0.984867016759997, ""trend_up_vol_mid"": -2.5093728448000037}","{""trend_flat_vol_high"": 0.0, ""trend_up_vol_mid"": 0.0}","{""trend_flat_vol_high"": 0.0, ""trend_up_vol_mid"": 0.0}",,1,-239.65000,11.06000,short,-250.71000,500,-3.49424,-5.39276,-1.59572,0.00349,0.00539,100.00000,2,0.00000,0.00000,-0.49243,0.00000,0.00000,0.00000,0.00000,0.00000,0,-0.98487,0.00000,1,artifacts\research\uk100\candidates\momentum__5m_open__exit_trend_5m_open_symbol_candidate_trades.csv,artifacts\research\uk100\candidates\momentum__5m_open__exit_trend_5m_open_symbol_candidate_analysis.txt
