symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
QQQ,2025-10-08T13:50:00+00:00,2025-10-08T14:40:00+00:00,13,14,momentum_confirmation,trailing_stop,608.16287,607.32209,0.01000,-0.00841,0.00000,10,1.00000,"{'momentum_5': 0.0032127518995705984, 'momentum_20': 0.00440728980617866}"
QQQ,2025-10-13T13:55:00+00:00,2025-10-13T14:20:00+00:00,13,14,momentum_confirmation,stop_loss,601.97756,599.09250,0.01000,-0.02885,0.00000,5,1.00000,"{'momentum_5': 0.005149812734082326, 'momentum_20': 0.002484699918288369}"
QQQ,2025-10-14T14:30:00+00:00,2025-10-14T16:05:00+00:00,14,16,momentum_confirmation,trailing_stop,597.57734,597.52258,0.01000,-0.00055,0.00000,19,1.00000,"{'momentum_5': 0.0046633781713496525, 'momentum_20': 0.003413313604492707}"
QQQ,2025-10-16T14:35:00+00:00,2025-10-16T14:55:00+00:00,14,14,momentum_confirmation,stop_loss,607.88785,605.77117,0.01000,-0.02117,0.00000,4,0.81311,"{'momentum_5': 0.003321984596569072, 'momentum_20': 0.0018814054428730742}"
QQQ,2025-10-17T13:50:00+00:00,2025-10-17T15:10:00+00:00,13,15,momentum_confirmation,stale_breakout,601.45753,597.20260,0.01000,-0.04255,0.00000,16,1.00000,"{'momentum_5': 0.004549103559004619, 'momentum_20': 0.00367622485127983}"
QQQ,2025-10-17T16:10:00+00:00,2025-10-17T16:15:00+00:00,16,16,momentum_confirmation,stop_loss,603.06761,601.28239,0.01000,-0.01785,0.00000,1,0.87896,"{'momentum_5': 0.00345732494689055, 'momentum_20': 0.0023967643681030992}"
QQQ,2025-10-17T18:05:00+00:00,2025-10-17T19:30:00+00:00,18,19,momentum_confirmation,trailing_stop,604.27767,603.56228,0.01000,-0.00715,0.00000,17,0.84392,"{'momentum_5': 0.004575742124378168, 'momentum_20': 0.0007630183686597736}"
QQQ,2025-10-20T13:45:00+00:00,2025-10-20T19:15:00+00:00,13,19,momentum_confirmation,trailing_stop,610.43798,610.87192,0.01000,0.00434,0.00000,66,1.00000,"{'momentum_5': 0.0032585083272991255, 'momentum_20': 0.005426088103837712}"
QQQ,2025-10-23T13:35:00+00:00,2025-10-23T14:15:00+00:00,13,14,momentum_confirmation,trailing_stop,606.99771,605.98216,0.01000,-0.01016,0.00000,8,1.00000,"{'momentum_5': 0.003658956570690597, 'momentum_20': 0.0037586726498981538}"
QQQ,2025-10-23T16:05:00+00:00,2025-10-23T16:15:00+00:00,16,16,momentum_confirmation,stop_loss,610.42798,608.91201,0.01000,-0.01516,0.00000,2,0.98611,"{'momentum_5': 0.003324610345792456, 'momentum_20': 0.0025903114129943727}"
QQQ,2025-10-29T19:55:00+00:00,2025-10-29T20:05:00+00:00,19,20,momentum_confirmation,stop_loss,636.68929,633.38079,0.01000,-0.03309,0.00000,2,0.76862,"{'momentum_5': 0.0037728105070404805, 'momentum_20': 0.0012586000267371666}"
QQQ,2025-10-31T19:30:00+00:00,2025-10-31T19:35:00+00:00,19,19,momentum_confirmation,stop_loss,633.00911,630.58593,0.01000,-0.02423,0.00000,1,1.00000,"{'momentum_5': 0.0036354976980474962, 'momentum_20': 0.005887126286814537}"
QQQ,2025-11-04T14:50:00+00:00,2025-11-04T16:15:00+00:00,14,16,momentum_confirmation,stop_loss,626.77880,622.94131,0.01000,-0.03837,0.00000,17,1.00000,"{'momentum_5': 0.004364289840190105, 'momentum_20': 0.004170944558521628}"
QQQ,2025-11-05T14:50:00+00:00,2025-11-05T20:40:00+00:00,14,20,momentum_confirmation,trailing_stop,622.36858,624.13125,0.01000,0.01763,0.00000,70,1.00000,"{'momentum_5': 0.004915037752016849, 'momentum_20': 0.00574156996655506}"
