symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
QQQ,2025-10-10T15:10:00+00:00,2025-10-10T15:15:00+00:00,15,15,opening_drive_break_reject_short,stop_loss,606.19152,601.84862,0.10000,-0.43429,0.00000,1,0.60552,"{'opening_drive_break_above_1m': 0.0, 'distance_to_opening_drive_high_1m': 0.0, 'opening_drive_range_pct_1m': 0.0, 'vwap_distance_1m': 0.0}"
QQQ,2025-10-10T16:45:00+00:00,2025-10-10T17:00:00+00:00,16,17,opening_drive_break_reject_short,stop_loss,597.35108,594.01901,0.10000,-0.33321,0.00000,3,1.00000,"{'opening_drive_break_above_1m': 0.0, 'distance_to_opening_drive_high_1m': 0.0, 'opening_drive_range_pct_1m': 0.0, 'vwap_distance_1m': 0.0}"
QQQ,2025-10-15T16:55:00+00:00,2025-10-15T17:00:00+00:00,16,17,opening_drive_break_reject_short,stop_loss,602.43263,599.60873,0.10000,-0.28239,0.00000,1,0.60049,"{'opening_drive_break_above_1m': 0.0, 'distance_to_opening_drive_high_1m': 0.0, 'opening_drive_range_pct_1m': 0.0, 'vwap_distance_1m': 0.0}"
QQQ,2025-10-16T16:05:00+00:00,2025-10-16T16:15:00+00:00,16,16,opening_drive_break_reject_short,stop_loss,604.11142,601.12865,0.10000,-0.29828,0.00000,2,0.57092,"{'opening_drive_break_above_1m': 0.0, 'distance_to_opening_drive_high_1m': 0.0, 'opening_drive_range_pct_1m': 0.0, 'vwap_distance_1m': 0.0}"
QQQ,2025-10-16T18:20:00+00:00,2025-10-16T18:30:00+00:00,18,18,opening_drive_break_reject_short,stop_loss,598.05111,594.95896,0.10000,-0.30922,0.00000,2,0.59618,"{'opening_drive_break_above_1m': 0.0, 'distance_to_opening_drive_high_1m': 0.0, 'opening_drive_range_pct_1m': 0.0, 'vwap_distance_1m': 0.0}"
QQQ,2025-10-22T15:20:00+00:00,2025-10-22T15:55:00+00:00,15,15,opening_drive_break_reject_short,stale_breakout,606.61154,606.02841,0.10000,-0.05831,0.00000,7,0.68743,"{'opening_drive_break_above_1m': 0.0, 'distance_to_opening_drive_high_1m': 0.0, 'opening_drive_range_pct_1m': 0.0, 'vwap_distance_1m': 0.0}"
QQQ,2025-10-22T16:55:00+00:00,2025-10-22T17:10:00+00:00,16,17,opening_drive_break_reject_short,stop_loss,605.05146,602.02861,0.10000,-0.30229,0.00000,3,0.55705,"{'opening_drive_break_above_1m': 0.0, 'distance_to_opening_drive_high_1m': 0.0, 'opening_drive_range_pct_1m': 0.0, 'vwap_distance_1m': 0.0}"
QQQ,2025-10-31T16:40:00+00:00,2025-10-31T16:50:00+00:00,16,16,opening_drive_break_reject_short,stop_loss,629.74770,627.49734,0.10000,-0.22504,0.00000,2,0.73338,"{'opening_drive_break_above_1m': 0.0, 'distance_to_opening_drive_high_1m': 0.0, 'opening_drive_range_pct_1m': 0.0, 'vwap_distance_1m': 0.0}"
QQQ,2025-11-03T15:35:00+00:00,2025-11-03T16:00:00+00:00,15,16,opening_drive_break_reject_short,stale_breakout,632.07281,630.49719,0.10000,-0.15756,0.00000,5,0.55112,"{'opening_drive_break_above_1m': 0.0, 'distance_to_opening_drive_high_1m': 0.0, 'opening_drive_range_pct_1m': 0.0, 'vwap_distance_1m': 0.0}"
QQQ,2025-11-04T17:15:00+00:00,2025-11-04T17:40:00+00:00,17,17,opening_drive_break_reject_short,stale_breakout,621.97231,620.97266,0.10000,-0.09996,0.00000,5,0.57512,"{'opening_drive_break_above_1m': 0.0, 'distance_to_opening_drive_high_1m': 0.0, 'opening_drive_range_pct_1m': 0.0, 'vwap_distance_1m': 0.0}"
QQQ,2025-11-06T15:00:00+00:00,2025-11-06T15:30:00+00:00,15,15,opening_drive_break_reject_short,stale_breakout,616.36203,615.49794,0.10000,-0.08641,0.00000,6,0.93699,"{'opening_drive_break_above_1m': 0.0, 'distance_to_opening_drive_high_1m': 0.0, 'opening_drive_range_pct_1m': 0.0, 'vwap_distance_1m': 0.0}"
QQQ,2025-11-06T16:35:00+00:00,2025-11-06T17:00:00+00:00,16,17,opening_drive_break_reject_short,stale_breakout,612.47183,611.14815,0.10000,-0.13237,0.00000,5,1.00000,"{'opening_drive_break_above_1m': 0.0, 'distance_to_opening_drive_high_1m': 0.0, 'opening_drive_range_pct_1m': 0.0, 'vwap_distance_1m': 0.0}"
QQQ,2025-11-07T15:00:00+00:00,2025-11-07T15:25:00+00:00,15,15,opening_drive_break_reject_short,stale_breakout,605.04146,604.15850,0.10000,-0.08830,0.00000,5,0.58320,"{'opening_drive_break_above_1m': 0.0, 'distance_to_opening_drive_high_1m': 0.0, 'opening_drive_range_pct_1m': 0.0, 'vwap_distance_1m': 0.0}"
QQQ,2025-11-07T16:45:00+00:00,2025-11-07T17:00:00+00:00,16,17,opening_drive_break_reject_short,stop_loss,600.90126,598.30939,0.10000,-0.25919,0.00000,3,0.88525,"{'opening_drive_break_above_1m': 0.0, 'distance_to_opening_drive_high_1m': 0.0, 'opening_drive_range_pct_1m': 0.0, 'vwap_distance_1m': 0.0}"
QQQ,2025-11-12T15:00:00+00:00,2025-11-12T15:10:00+00:00,15,15,opening_drive_break_reject_short,stop_loss,621.90721,619.56773,0.10000,-0.23395,0.00000,2,0.70759,"{'opening_drive_break_above_1m': 0.0, 'distance_to_opening_drive_high_1m': 0.0, 'opening_drive_range_pct_1m': 0.0, 'vwap_distance_1m': 0.0}"
QQQ,2025-11-12T16:10:00+00:00,2025-11-12T16:45:00+00:00,16,16,opening_drive_break_reject_short,stale_breakout,619.11717,617.44784,0.10000,-0.16693,0.00000,7,0.77293,"{'opening_drive_break_above_1m': 0.0, 'distance_to_opening_drive_high_1m': 0.0, 'opening_drive_range_pct_1m': 0.0, 'vwap_distance_1m': 0.0}"
QQQ,2025-11-13T15:00:00+00:00,2025-11-13T15:25:00+00:00,15,15,opening_drive_break_reject_short,trailing_stop,614.94196,614.51798,0.10000,-0.04240,0.00000,5,0.88400,"{'opening_drive_break_above_1m': 0.0, 'distance_to_opening_drive_high_1m': 0.0, 'opening_drive_range_pct_1m': 0.0, 'vwap_distance_1m': 0.0}"
QQQ,2025-11-13T16:35:00+00:00,2025-11-13T17:05:00+00:00,16,17,opening_drive_break_reject_short,stale_breakout,611.15177,609.44824,0.10000,-0.17035,0.00000,6,0.90432,"{'opening_drive_break_above_1m': 0.0, 'distance_to_opening_drive_high_1m': 0.0, 'opening_drive_range_pct_1m': 0.0, 'vwap_distance_1m': 0.0}"
QQQ,2025-11-13T18:30:00+00:00,2025-11-13T18:35:00+00:00,18,18,opening_drive_break_reject_short,stop_loss,608.09162,605.87842,0.10000,-0.22132,0.00000,1,0.56110,"{'opening_drive_break_above_1m': 0.0, 'distance_to_opening_drive_high_1m': 0.0, 'opening_drive_range_pct_1m': 0.0, 'vwap_distance_1m': 0.0}"
