symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
QQQ,2025-10-10T15:15:00+00:00,2025-10-10T15:40:00+00:00,15,15,volatility_short_breakdown,trailing_stop,601.84862,601.32128,0.10000,0.05273,0.00000,5,1.00000,"{'breakout_low': 603.43, 'rebound_high': 608.54, 'position_intent': 'short_entry'}"
QQQ,2025-10-13T15:10:00+00:00,2025-10-13T15:40:00+00:00,15,15,volatility_short_breakdown,stale_breakout,600.51124,599.55873,0.10000,-0.09525,0.00000,6,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
QQQ,2025-10-16T16:15:00+00:00,2025-10-16T16:50:00+00:00,16,16,volatility_short_breakdown,trailing_stop,601.12865,601.29158,0.10000,-0.01629,0.00000,7,0.90265,"{'breakout_low': 602.45, 'rebound_high': 603.96, 'position_intent': 'short_entry'}"
QQQ,2025-10-17T15:00:00+00:00,2025-10-17T15:10:00+00:00,15,15,volatility_short_breakdown,stop_loss,600.78125,597.22885,0.10000,-0.35524,0.00000,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
QQQ,2025-10-22T16:30:00+00:00,2025-10-22T17:05:00+00:00,16,17,volatility_short_breakdown,stale_breakout,603.67853,604.85145,0.10000,-0.11729,0.00000,7,0.59326,"{'breakout_low': 604.63, 'rebound_high': 606.62, 'position_intent': 'short_entry'}"
QQQ,2025-10-31T16:55:00+00:00,2025-10-31T18:00:00+00:00,16,18,volatility_short_breakdown,stop_loss,627.33734,629.66269,0.10000,-0.23254,0.00000,13,0.73720,"{'breakout_low': 628.215, 'rebound_high': 629.83, 'position_intent': 'short_entry'}"
QQQ,2025-11-03T15:00:00+00:00,2025-11-03T15:20:00+00:00,15,15,volatility_short_breakdown,stop_loss,632.92286,630.79717,0.10000,-0.21257,0.00000,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
QQQ,2025-11-03T15:25:00+00:00,2025-11-03T15:40:00+00:00,15,15,volatility_short_breakdown,stop_loss,629.73712,632.43283,0.10000,-0.26957,0.00000,3,0.94196,"{'breakout_low': 631.44, 'rebound_high': 633.2, 'position_intent': 'short_entry'}"
QQQ,2025-11-03T16:55:00+00:00,2025-11-03T17:00:00+00:00,16,17,volatility_short_breakdown,stop_loss,633.09787,630.75737,0.10000,-0.23405,0.00000,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
QQQ,2025-11-06T15:00:00+00:00,2025-11-06T15:20:00+00:00,15,15,volatility_short_breakdown,stop_loss,614.77797,619.09217,0.10000,-0.43142,0.00000,4,1.00000,"{'breakout_low': 617.81, 'rebound_high': 621.78, 'position_intent': 'short_entry'}"
QQQ,2025-11-10T15:00:00+00:00,2025-11-10T15:10:00+00:00,15,15,volatility_short_breakdown,stop_loss,622.17232,620.19770,0.10000,-0.19746,0.00000,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
QQQ,2025-11-12T16:10:00+00:00,2025-11-12T16:15:00+00:00,16,16,volatility_short_breakdown,stop_loss,617.53283,619.85220,0.10000,-0.23194,0.00000,1,0.93895,"{'breakout_low': 618.82, 'rebound_high': 619.98, 'position_intent': 'short_entry'}"
QQQ,2025-11-12T16:25:00+00:00,2025-11-12T16:45:00+00:00,16,16,volatility_short_breakdown,stop_loss,620.82225,617.44784,0.10000,-0.33744,0.00000,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
