symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
QQQ,2025-10-08T18:00:00+00:00,2025-10-08T18:15:00+00:00,18,18,volatility_breakout,stop_loss,611.23177,609.45824,0.01000,-0.01774,0.00000,1,0.73239,{'breakout_high': 610.36}
QQQ,2025-10-08T19:15:00+00:00,2025-10-08T19:30:00+00:00,19,19,volatility_breakout,stop_loss,611.73180,610.02931,0.01000,-0.01702,0.00000,1,0.79848,{'breakout_high': 610.59}
QQQ,2025-10-10T13:30:00+00:00,2025-10-10T14:45:00+00:00,13,14,volatility_breakout,stale_breakout,613.49189,607.72832,0.01000,-0.05764,0.00000,5,0.97655,{'breakout_high': 611.5}
QQQ,2025-10-15T13:00:00+00:00,2025-10-15T13:15:00+00:00,13,13,volatility_breakout,stop_loss,604.89146,603.21855,0.01000,-0.01673,0.00000,1,1.00000,{'breakout_high': 602.16}
QQQ,2025-10-16T13:00:00+00:00,2025-10-16T13:15:00+00:00,13,13,volatility_breakout,stop_loss,606.71155,604.31849,0.01000,-0.02393,0.00000,1,1.00000,{'breakout_high': 603.07}
QQQ,2025-10-17T14:00:00+00:00,2025-10-17T14:30:00+00:00,14,14,volatility_breakout,signal_exit,603.36138,598.86377,0.01000,-0.04498,0.00000,2,1.00000,{'breakout_high': 601.61}
QQQ,2025-10-20T13:00:00+00:00,2025-10-20T13:15:00+00:00,13,13,volatility_breakout,stop_loss,608.28162,606.35839,0.01000,-0.01923,0.00000,1,1.00000,{'breakout_high': 605.47}
QQQ,2025-10-23T17:30:00+00:00,2025-10-23T19:30:00+00:00,17,19,volatility_breakout,time_stop,611.68179,609.90831,0.01000,-0.01773,0.00000,8,0.99518,{'breakout_high': 610.41}
QQQ,2025-10-27T13:00:00+00:00,2025-10-27T13:15:00+00:00,13,13,volatility_breakout,stop_loss,625.71250,623.71752,0.01000,-0.01995,0.00000,1,1.00000,{'breakout_high': 618.405}
QQQ,2025-10-29T13:45:00+00:00,2025-10-29T14:00:00+00:00,13,14,volatility_breakout,stop_loss,637.62809,635.24695,0.01000,-0.02381,0.00000,1,0.74050,{'breakout_high': 636.22}
QQQ,2025-10-31T13:00:00+00:00,2025-10-31T13:15:00+00:00,13,13,volatility_breakout,stop_loss,635.21297,633.34704,0.01000,-0.01866,0.00000,1,1.00000,{'breakout_high': 632.8}
QQQ,2025-11-03T13:00:00+00:00,2025-11-03T14:30:00+00:00,13,14,volatility_breakout,trailing_stop,633.81290,632.65708,0.01000,-0.01156,0.00000,6,1.00000,{'breakout_high': 632.24}
QQQ,2025-11-05T14:45:00+00:00,2025-11-05T20:45:00+00:00,14,20,volatility_breakout,time_stop,622.77235,622.49759,0.01000,-0.00275,0.00000,24,1.00000,{'breakout_high': 619.83}
QQQ,2025-11-07T20:45:00+00:00,2025-11-10T13:00:00+00:00,20,13,volatility_breakout,take_profit,610.55174,617.85782,0.01000,0.07306,0.00000,1,1.00000,{'breakout_high': 609.06}
