symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
QQQ,2025-10-09T14:40:00+00:00,2025-10-09T14:45:00+00:00,14,14,volatility_short_breakdown,stop_loss,607.46958,610.15546,0.10000,-0.26859,0.00000,1,0.59137,"{'breakout_low': 608.6, 'rebound_high': 610.17, 'position_intent': 'short_entry'}"
QQQ,2025-10-10T13:30:00+00:00,2025-10-10T13:50:00+00:00,13,13,volatility_short_breakdown,stale_breakout,612.75559,610.90441,0.10000,-0.18512,0.00000,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
QQQ,2025-10-14T13:35:00+00:00,2025-10-14T14:00:00+00:00,13,14,volatility_short_breakdown,stop_loss,591.20539,595.45572,0.10000,-0.42503,0.00000,5,0.98339,"{'breakout_low': 593.36, 'rebound_high': 599.19, 'position_intent': 'short_entry'}"
QQQ,2025-10-21T14:55:00+00:00,2025-10-22T13:30:00+00:00,14,13,volatility_short_breakdown,stop_loss,612.57558,607.92525,0.10000,-0.46503,0.00000,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
QQQ,2025-10-22T14:25:00+00:00,2025-10-23T13:30:00+00:00,14,13,volatility_short_breakdown,signal_exit,606.44463,606.27527,0.10000,0.01694,0.00000,7,1.00000,"{'breakout_low': 608.95, 'rebound_high': 610.615, 'position_intent': 'short_entry'}"
QQQ,2025-10-30T13:30:00+00:00,2025-10-30T13:50:00+00:00,13,13,volatility_short_breakdown,stop_loss,629.20349,633.34662,0.10000,-0.41431,0.00000,4,1.00000,"{'breakout_low': 635.03, 'rebound_high': 636.1156, 'position_intent': 'short_entry'}"
QQQ,2025-11-03T13:30:00+00:00,2025-11-03T13:35:00+00:00,13,13,volatility_short_breakdown,stop_loss,634.50668,632.35333,0.10000,-0.21533,0.00000,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
QQQ,2025-11-04T14:40:00+00:00,2025-11-05T13:30:00+00:00,14,13,volatility_short_breakdown,stop_loss,625.06550,617.60407,0.10000,-0.74614,0.00000,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
QQQ,2025-11-06T14:25:00+00:00,2025-11-06T14:50:00+00:00,14,14,volatility_short_breakdown,take_profit,620.81391,619.89595,0.10000,0.09180,0.00000,5,0.60439,"{'breakout_low': 622.06, 'rebound_high': 623.0401, 'position_intent': 'short_entry'}"
QQQ,2025-11-07T14:25:00+00:00,2025-11-07T14:30:00+00:00,14,14,volatility_short_breakdown,stop_loss,609.31542,606.14964,0.10000,-0.31658,0.00000,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
QQQ,2025-11-10T13:30:00+00:00,2025-11-10T13:35:00+00:00,13,13,volatility_short_breakdown,stop_loss,620.22596,618.17404,0.10000,-0.20519,0.00000,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
QQQ,2025-11-12T14:30:00+00:00,2025-11-13T14:05:00+00:00,14,14,volatility_short_breakdown,take_profit,621.45388,617.78584,0.10000,0.36680,0.00000,13,1.00000,"{'breakout_low': 624.7, 'rebound_high': 625.13, 'position_intent': 'short_entry'}"
QQQ,2025-11-14T14:00:00+00:00,2025-11-14T14:10:00+00:00,14,14,volatility_short_breakdown,structure_exit,601.07501,598.62502,0.10000,-0.24500,0.00000,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
QQQ,2025-11-17T14:25:00+00:00,2025-11-17T14:30:00+00:00,14,14,volatility_short_breakdown,stop_loss,605.29469,609.58673,0.10000,-0.42920,0.00000,1,0.74190,"{'breakout_low': 606.6, 'rebound_high': 607.55, 'position_intent': 'short_entry'}"
QQQ,2025-11-17T14:35:00+00:00,2025-11-18T13:30:00+00:00,14,13,volatility_short_breakdown,structure_exit,611.46402,599.18499,0.10000,-1.22790,0.00000,5,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
QQQ,2025-11-18T14:45:00+00:00,2025-11-19T14:40:00+00:00,14,14,volatility_short_breakdown,stale_breakout,596.29514,601.23501,0.10000,-0.49399,0.00000,17,0.67973,"{'breakout_low': 597.85, 'rebound_high': 602.31, 'position_intent': 'short_entry'}"
QQQ,2025-11-25T14:40:00+00:00,2025-11-26T13:30:00+00:00,14,13,volatility_short_breakdown,structure_exit,599.41498,612.66558,0.10000,-1.32506,0.00000,4,1.00000,"{'breakout_low': 602.55, 'rebound_high': 604.55, 'position_intent': 'short_entry'}"
QQQ,2025-11-28T14:20:00+00:00,2025-11-28T14:25:00+00:00,14,14,volatility_short_breakdown,stop_loss,615.02420,617.15511,0.10000,-0.21309,0.00000,1,0.57937,"{'breakout_low': 616.35, 'rebound_high': 616.81, 'position_intent': 'short_entry'}"
QQQ,2025-12-01T13:55:00+00:00,2025-12-01T14:00:00+00:00,13,14,volatility_short_breakdown,stop_loss,614.87570,612.74431,0.10000,-0.21314,0.00000,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
QQQ,2025-12-03T14:05:00+00:00,2025-12-04T13:30:00+00:00,14,13,volatility_short_breakdown,structure_exit,617.30409,624.32617,0.10000,-0.70221,0.00000,11,1.00000,"{'breakout_low': 620.06, 'rebound_high': 623.83, 'position_intent': 'short_entry'}"
QQQ,2025-12-04T14:00:00+00:00,2025-12-04T14:30:00+00:00,14,14,volatility_short_breakdown,structure_exit,624.83619,620.48393,0.10000,-0.43523,0.00000,6,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
QQQ,2025-12-09T14:30:00+00:00,2025-12-09T14:35:00+00:00,14,14,volatility_short_breakdown,stop_loss,621.14889,624.54618,0.10000,-0.33973,0.00000,1,0.60274,"{'breakout_low': 622.4, 'rebound_high': 623.52, 'position_intent': 'short_entry'}"
QQQ,2025-12-10T13:30:00+00:00,2025-12-10T13:45:00+00:00,13,13,volatility_short_breakdown,stop_loss,625.73624,623.55377,0.10000,-0.21825,0.00000,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
