name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,sharpe_ratio,sortino_ratio,calmar_ratio,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_unified_regime,best_regime_pnl,worst_regime,worst_unified_regime,worst_regime_pnl,dominant_regime_share_pct,regime_stability_score,regime_loss_ratio,regime_trade_count_by_label,regime_pnl_by_label,regime_pf_by_label,regime_win_rate_by_label,regime_filter_label,broker_swap_available,broker_swap_long,broker_swap_short,broker_preferred_carry_side,broker_carry_spread,mc_simulations,mc_pnl_median,mc_pnl_p05,mc_pnl_p95,mc_max_drawdown_pct_median,mc_max_drawdown_pct_p95,mc_loss_probability_pct,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
trend__5m_open,EMA trend continuation [5m_open],single,-0.27428,20,15.00000,0.37806,0.00027,0.00000,-0.01371,-0.35991,-0.39225,-1.00000,0.05558,-0.02594,2.14237,4.85000,stop_loss,60.00000,1,0.00000,0.00000,trend_up_vol_high,trend_expansion,0.04871,trend_up_vol_mid,orderly_trend,-0.23893,60.00000,0.13105,4.90489,"{""trend_down_vol_high"": 1, ""trend_up_vol_high"": 2, ""trend_up_vol_low"": 5, ""trend_up_vol_mid"": 12}","{""trend_down_vol_high"": -0.017134925000007115, ""trend_up_vol_high"": 0.048711895999983885, ""trend_up_vol_low"": -0.06693009405003864, ""trend_up_vol_mid"": -0.2389266420500951}","{""trend_down_vol_high"": 0.0, ""trend_up_vol_high"": 11.448882478541824, ""trend_up_vol_low"": 0.3182793295042567, ""trend_up_vol_mid"": 0.2557614124860137}","{""trend_down_vol_high"": 0.0, ""trend_up_vol_high"": 50.0, ""trend_up_vol_low"": 20.0, ""trend_up_vol_mid"": 8.333333333333332}",,1,-552.11000,22.98000,short,-575.09000,500,-0.26911,-0.50026,-0.00865,0.00031,0.00052,95.00000,2,0.00000,0.04285,-0.18721,2.64427,0.00000,0.05129,-0.00150,0.95413,3,-0.26845,0.00000,7,artifacts\research\us100\candidates\trend__5m_open_5m_open_symbol_candidate_trades.csv,artifacts\research\us100\candidates\trend__5m_open_5m_open_symbol_candidate_analysis.txt
momentum__5m_open,Momentum confirmation [5m_open],single,-0.22790,34,32.35294,0.73276,0.00024,0.00000,-0.00670,-0.12369,-0.13670,-0.94483,0.05681,-0.03708,1.53213,7.91176,stop_loss,29.41176,1,0.00000,0.00000,trend_up_vol_mid,orderly_trend,-0.01011,trend_flat_vol_high,dislocated_chop,-0.13679,35.29412,0.00000,999.00000,"{""trend_flat_vol_high"": 9, ""trend_flat_vol_mid"": 12, ""trend_up_vol_high"": 6, ""trend_up_vol_mid"": 7}","{""trend_flat_vol_high"": -0.13678651085006893, ""trend_flat_vol_mid"": -0.05980194475009512, ""trend_up_vol_high"": -0.021195921750047548, ""trend_up_vol_mid"": -0.010114981650057184}","{""trend_flat_vol_high"": 0.6044689483501832, ""trend_flat_vol_mid"": 0.6393085367930353, ""trend_up_vol_high"": 0.8520854804761918, ""trend_up_vol_mid"": 0.9488766142888455}","{""trend_flat_vol_high"": 33.33333333333333, ""trend_flat_vol_mid"": 25.0, ""trend_up_vol_high"": 33.33333333333333, ""trend_up_vol_mid"": 42.857142857142854}",,1,-552.11000,22.98000,short,-575.09000,500,-0.24128,-0.72257,0.26729,0.00044,0.00083,80.40000,2,0.00000,0.04127,-0.25023,1.26249,0.30560,-0.00229,0.00306,1.01709,8,-0.31296,0.23253,10,artifacts\research\us100\candidates\momentum__5m_open_5m_open_symbol_candidate_trades.csv,artifacts\research\us100\candidates\momentum__5m_open_5m_open_symbol_candidate_analysis.txt
mean_reversion__5m_open,Intraday mean reversion [5m_open],single,-0.48831,20,20.00000,0.42239,0.00062,0.00000,-0.02442,-0.32413,-0.33944,-0.78710,0.08927,-0.05284,1.68956,4.85000,structure_exit,50.00000,1,0.00000,0.00000,trend_up_vol_high,trend_expansion,0.08377,trend_down_vol_high,trend_expansion,-0.34739,45.00000,0.12773,4.14673,"{""trend_down_vol_high"": 9, ""trend_down_vol_mid"": 2, ""trend_flat_vol_high"": 8, ""trend_up_vol_high"": 1}","{""trend_down_vol_high"": -0.3473909025500677, ""trend_down_vol_mid"": -0.13168021250001402, ""trend_flat_vol_high"": -0.09301002435006239, ""trend_up_vol_high"": 0.08377471999999216}","{""trend_down_vol_high"": 0.2803711113698239, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_high"": 0.5973129441003661, ""trend_up_vol_high"": 999.0}","{""trend_down_vol_high"": 22.22222222222222, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_high"": 12.5, ""trend_up_vol_high"": 100.0}",,1,-552.11000,22.98000,short,-575.09000,500,-0.49150,-1.01598,0.06552,0.00061,0.00106,92.60000,2,0.00000,-0.20061,0.01360,0.14697,1.66178,-0.15998,-0.20124,0.29393,5,0.02138,2.27345,2,artifacts\research\us100\candidates\mean_reversion__5m_open_5m_open_symbol_candidate_trades.csv,artifacts\research\us100\candidates\mean_reversion__5m_open_5m_open_symbol_candidate_analysis.txt
volatility_breakout__5m_open,Generic volatility breakout [5m_open],single,-0.54682,35,25.71429,0.39778,0.00055,0.00000,-0.01562,-0.35662,-0.35058,-1.00000,0.04013,-0.03492,1.14913,5.85714,signal_exit,34.28571,1,0.00000,0.00000,trend_flat_vol_high,dislocated_chop,0.03295,trend_flat_vol_mid,orderly_range,-0.22951,34.28571,0.05378,6.96444,"{""trend_flat_vol_high"": 9, ""trend_flat_vol_low"": 4, ""trend_flat_vol_mid"": 12, ""trend_up_vol_high"": 6, ""trend_up_vol_mid"": 4}","{""trend_flat_vol_high"": 0.03295461434992831, ""trend_flat_vol_low"": -0.10154860960003134, ""trend_flat_vol_mid"": -0.229510270500092, ""trend_up_vol_high"": -0.06640825950004456, ""trend_up_vol_mid"": -0.18230975005003075}","{""trend_flat_vol_high"": 1.2201679497046094, ""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.304400301948758, ""trend_up_vol_high"": 0.5405003112669128, ""trend_up_vol_mid"": 0.0}","{""trend_flat_vol_high"": 44.44444444444444, ""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 25.0, ""trend_up_vol_high"": 33.33333333333333, ""trend_up_vol_mid"": 0.0}",,1,-552.11000,22.98000,short,-575.09000,500,-0.51684,-0.93227,-0.12981,0.00059,0.00096,98.60000,2,0.00000,0.02653,-0.39184,1.36466,0.03150,-0.02822,-0.03442,0.72985,6,-0.44977,0.00000,9,artifacts\research\us100\candidates\volatility_breakout__5m_open_5m_open_symbol_candidate_trades.csv,artifacts\research\us100\candidates\volatility_breakout__5m_open_5m_open_symbol_candidate_analysis.txt
opening_range_breakout__5m_open,Opening range breakout [5m_open],single,-0.10655,17,35.29412,0.67001,0.00011,0.00000,-0.00627,-0.16453,-0.16932,-1.00000,0.03606,-0.02935,1.22836,4.47059,stop_loss,47.05882,1,0.00000,0.00000,trend_up_vol_mid,orderly_trend,0.05893,trend_flat_vol_mid,orderly_range,-0.12602,41.17647,0.28675,2.13847,"{""trend_flat_vol_high"": 1, ""trend_flat_vol_mid"": 7, ""trend_up_vol_high"": 3, ""trend_up_vol_low"": 1, ""trend_up_vol_mid"": 5}","{""trend_flat_vol_high"": -0.03322836000000734, ""trend_flat_vol_mid"": -0.12602376765005147, ""trend_up_vol_high"": 0.012704415949975786, ""trend_up_vol_low"": -0.01893626500000664, ""trend_up_vol_mid"": 0.05893162794995874}","{""trend_flat_vol_high"": 0.0, ""trend_flat_vol_mid"": 0.33581469093242905, ""trend_up_vol_high"": 1.3123826435802066, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 2.4614350969843146}","{""trend_flat_vol_high"": 0.0, ""trend_flat_vol_mid"": 28.57142857142857, ""trend_up_vol_high"": 33.33333333333333, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 60.0}",,1,-552.11000,22.98000,short,-575.09000,500,-0.09164,-0.35048,0.13420,0.00018,0.00039,76.00000,2,0.00000,0.04275,-0.11514,2.10899,0.10133,0.02340,0.06603,2.98709,4,-0.15371,0.00000,3,artifacts\research\us100\candidates\opening_range_breakout__5m_open_5m_open_symbol_candidate_trades.csv,artifacts\research\us100\candidates\opening_range_breakout__5m_open_5m_open_symbol_candidate_analysis.txt
volatility_short_breakdown__5m_open,Generic short volatility breakdown [5m_open],single,-1.20210,56,19.64286,0.24761,0.00121,0.00000,-0.02147,-0.54666,-0.48619,-0.99283,0.03596,-0.03550,1.01295,6.67857,structure_exit,33.92857,1,0.00000,0.00000,trend_down_vol_mid,orderly_trend,-0.10803,trend_flat_vol_high,dislocated_chop,-0.35284,32.14286,0.00000,999.00000,"{""trend_down_vol_high"": 10, ""trend_down_vol_mid"": 9, ""trend_flat_vol_high"": 18, ""trend_flat_vol_low"": 6, ""trend_flat_vol_mid"": 13}","{""trend_down_vol_high"": -0.3344278230500777, ""trend_down_vol_mid"": -0.10803040315007024, ""trend_flat_vol_high"": -0.35283758125014514, ""trend_flat_vol_low"": -0.12755304500004627, ""trend_flat_vol_mid"": -0.2792520965001029}","{""trend_down_vol_high"": 0.20524093057954704, ""trend_down_vol_mid"": 0.2264651150458381, ""trend_flat_vol_high"": 0.3850877609427995, ""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.16866131428086045}","{""trend_down_vol_high"": 20.0, ""trend_down_vol_mid"": 22.22222222222222, ""trend_flat_vol_high"": 27.77777777777778, ""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 15.384615384615385}",,1,-552.11000,22.98000,short,-575.09000,500,-1.22987,-1.72219,-0.77105,0.00126,0.00174,100.00000,2,0.00000,-0.07151,-0.10533,0.65178,0.55595,-0.87174,0.00074,1.00475,10,-0.12957,0.42129,13,artifacts\research\us100\candidates\volatility_short_breakdown__5m_open_5m_open_symbol_candidate_trades.csv,artifacts\research\us100\candidates\volatility_short_breakdown__5m_open_5m_open_symbol_candidate_analysis.txt
opening_range_short_breakdown__5m_open,Opening range short breakdown [5m_open],single,-0.14064,18,33.33333,0.77517,0.00046,0.00000,-0.00781,-0.09333,-0.11281,-0.30813,0.08082,-0.05213,1.55034,5.50000,take_profit,33.33333,1,0.00000,0.00000,trend_down_vol_mid,orderly_trend,0.17323,trend_down_vol_high,trend_expansion,-0.13105,50.00000,0.35563,0.75650,"{""trend_down_vol_high"": 5, ""trend_down_vol_mid"": 9, ""trend_flat_vol_high"": 2, ""trend_flat_vol_low"": 1, ""trend_flat_vol_mid"": 1}","{""trend_down_vol_high"": -0.13104936755003907, ""trend_down_vol_mid"": 0.1732302212999298, ""trend_flat_vol_high"": -0.12949358000001668, ""trend_flat_vol_low"": -0.018424649900007355, ""trend_flat_vol_mid"": -0.03490425250000954}","{""trend_down_vol_high"": 0.6076476869685594, ""trend_down_vol_mid"": 2.5935229011120504, ""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0}","{""trend_down_vol_high"": 20.0, ""trend_down_vol_mid"": 55.55555555555556, ""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0}",,1,-552.11000,22.98000,short,-575.09000,500,-0.15904,-0.67187,0.45414,0.00038,0.00077,67.40000,2,0.00000,0.13590,0.04310,3.76420,499.50000,-0.36120,0.24375,6.36798,4,0.00000,0.00000,0,artifacts\research\us100\candidates\opening_range_short_breakdown__5m_open_5m_open_symbol_candidate_trades.csv,artifacts\research\us100\candidates\opening_range_short_breakdown__5m_open_5m_open_symbol_candidate_analysis.txt
trend__5m_open__exit_trend,EMA trend continuation [5m_open] with trend-runner exits,entry_exit_family,-0.37956,20,15.00000,0.24659,0.00038,0.00000,-0.01898,-0.49948,-0.47801,-1.00000,0.04141,-0.02963,1.39737,6.00000,stop_loss,70.00000,1,0.00000,0.00000,trend_up_vol_high,trend_expansion,0.00621,trend_up_vol_mid,orderly_trend,-0.23943,60.00000,0.01585,38.53006,"{""trend_down_vol_high"": 1, ""trend_up_vol_high"": 2, ""trend_up_vol_low"": 5, ""trend_up_vol_mid"": 12}","{""trend_down_vol_high"": -0.07941681075000816, ""trend_up_vol_high"": 0.006214020999983632, ""trend_up_vol_low"": -0.06693009405003864, ""trend_up_vol_mid"": -0.23942661705009413}","{""trend_down_vol_high"": 0.0, ""trend_up_vol_high"": 2.332930566858687, ""trend_up_vol_low"": 0.3182793295042567, ""trend_up_vol_mid"": 0.25536371295609667}","{""trend_down_vol_high"": 0.0, ""trend_up_vol_high"": 50.0, ""trend_up_vol_low"": 20.0, ""trend_up_vol_mid"": 8.333333333333332}",,1,-552.11000,22.98000,short,-575.09000,500,-0.36893,-0.63110,-0.11815,0.00040,0.00064,99.00000,2,0.00000,0.04260,-0.24949,2.60361,0.00000,0.00829,-0.00150,0.95413,3,-0.33074,0.00000,7,artifacts\research\us100\candidates\trend__5m_open__exit_trend_5m_open_symbol_candidate_trades.csv,artifacts\research\us100\candidates\trend__5m_open__exit_trend_5m_open_symbol_candidate_analysis.txt
trend__5m_open__exit_fastfail,EMA trend continuation [5m_open] with fast-fail exits,entry_exit_family,-0.28128,20,15.00000,0.37216,0.00028,0.00000,-0.01406,-0.36847,-0.39949,-1.00000,0.05558,-0.02635,2.10889,4.80000,stop_loss,60.00000,1,0.00000,0.00000,trend_up_vol_high,trend_expansion,0.04871,trend_up_vol_mid,orderly_trend,-0.23893,60.00000,0.12863,4.90489,"{""trend_down_vol_high"": 1, ""trend_up_vol_high"": 2, ""trend_up_vol_low"": 5, ""trend_up_vol_mid"": 12}","{""trend_down_vol_high"": -0.02413457500000732, ""trend_up_vol_high"": 0.048711895999983885, ""trend_up_vol_low"": -0.06693009405003864, ""trend_up_vol_mid"": -0.2389266420500951}","{""trend_down_vol_high"": 0.0, ""trend_up_vol_high"": 11.448882478541824, ""trend_up_vol_low"": 0.3182793295042567, ""trend_up_vol_mid"": 0.2557614124860137}","{""trend_down_vol_high"": 0.0, ""trend_up_vol_high"": 50.0, ""trend_up_vol_low"": 20.0, ""trend_up_vol_mid"": 8.333333333333332}",,1,-552.11000,22.98000,short,-575.09000,500,-0.27611,-0.51226,-0.01868,0.00032,0.00053,95.40000,2,0.00000,0.04285,-0.19421,2.64427,0.00000,0.05129,-0.00150,0.95413,3,-0.27545,0.00000,7,artifacts\research\us100\candidates\trend__5m_open__exit_fastfail_5m_open_symbol_candidate_trades.csv,artifacts\research\us100\candidates\trend__5m_open__exit_fastfail_5m_open_symbol_candidate_analysis.txt
momentum__5m_open__exit_trend,Momentum confirmation [5m_open] with trend-runner exits,entry_exit_family,-0.43064,34,26.47059,0.52871,0.00044,0.00000,-0.01267,-0.24671,-0.26282,-0.97003,0.05368,-0.03655,1.46864,9.14706,stop_loss,38.23529,1,0.00000,0.00000,trend_up_vol_mid,orderly_trend,-0.02701,trend_up_vol_high,trend_expansion,-0.16607,35.29412,0.00000,999.00000,"{""trend_flat_vol_high"": 9, ""trend_flat_vol_mid"": 12, ""trend_up_vol_high"": 6, ""trend_up_vol_mid"": 7}","{""trend_flat_vol_high"": -0.1652540874000704, ""trend_flat_vol_mid"": -0.07230131975009726, ""trend_up_vol_high"": -0.16607367750004756, ""trend_up_vol_mid"": -0.02701413665005702}","{""trend_flat_vol_high"": 0.5221522753042163, ""trend_flat_vol_mid"": 0.5869556705039474, ""trend_up_vol_high"": 0.1484510678434868, ""trend_up_vol_mid"": 0.8634644950041117}","{""trend_flat_vol_high"": 33.33333333333333, ""trend_flat_vol_mid"": 16.666666666666664, ""trend_up_vol_high"": 16.666666666666664, ""trend_up_vol_mid"": 42.857142857142854}",,1,-552.11000,22.98000,short,-575.09000,500,-0.43707,-0.89961,0.01987,0.00055,0.00097,94.20000,2,0.00000,-0.00958,-0.25868,0.95983,0.27761,-0.15223,-0.05544,0.69014,8,-0.31296,0.23253,10,artifacts\research\us100\candidates\momentum__5m_open__exit_trend_5m_open_symbol_candidate_trades.csv,artifacts\research\us100\candidates\momentum__5m_open__exit_trend_5m_open_symbol_candidate_analysis.txt
