symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
DIA,2025-10-16T18:05:00+00:00,2025-10-16T18:10:00+00:00,18,18,mean_reversion,structure_exit,460.61189,457.44828,0.01000,-0.08255,0.05092,1,1.00000,"{'mean': 461.79, 'z_score_20': -1.6926939675706953}"
DIA,2025-10-29T18:35:00+00:00,2025-10-29T18:40:00+00:00,18,18,mean_reversion,structure_exit,476.35004,473.73502,0.01000,-0.07710,0.05095,1,1.00000,"{'mean': 477.920625, 'z_score_20': -3.8451966967073474}"
DIA,2025-11-04T18:05:00+00:00,2025-11-04T18:10:00+00:00,18,18,mean_reversion,structure_exit,471.51407,469.55586,0.01000,-0.07052,0.05094,1,1.00000,"{'mean': 472.8625, 'z_score_20': -1.6266562450732835}"
DIA,2025-11-14T18:00:00+00:00,2025-11-14T18:05:00+00:00,18,18,mean_reversion,structure_exit,473.46446,471.66544,0.01000,-0.06894,0.05095,1,1.00000,"{'mean': 475.3175, 'z_score_20': -2.6736992486596307}"
DIA,2025-11-17T18:00:00+00:00,2025-11-17T18:05:00+00:00,18,18,mean_reversion,structure_exit,470.72392,468.38609,0.01000,-0.07432,0.05094,1,1.00000,"{'mean': 472.66145, 'z_score_20': -2.688897666989097}"
DIA,2025-12-16T18:00:00+00:00,2025-12-16T18:05:00+00:00,18,18,mean_reversion,structure_exit,482.07619,479.59385,0.01000,-0.07579,0.05096,1,1.00000,"{'mean': 484.361875, 'z_score_20': -2.052131090880381}"
DIA,2026-01-13T18:00:00+00:00,2026-01-13T18:05:00+00:00,18,18,mean_reversion,structure_exit,493.31843,490.82311,0.01000,-0.07594,0.05098,1,1.00000,"{'mean': 494.99875, 'z_score_20': -3.025177590613837}"
DIA,2026-01-23T18:00:00+00:00,2026-01-23T18:05:00+00:00,18,18,mean_reversion,structure_exit,491.14800,489.01197,0.01000,-0.07234,0.05098,1,1.00000,"{'mean': 494.05875000000003, 'z_score_20': -2.148589092628697}"
DIA,2026-02-03T18:00:00+00:00,2026-02-03T18:05:00+00:00,18,18,mean_reversion,structure_exit,491.49807,489.34190,0.01000,-0.07254,0.05098,1,1.00000,"{'mean': 493.75125, 'z_score_20': -1.5628009887548098}"
DIA,2026-02-12T18:05:00+00:00,2026-02-12T18:10:00+00:00,18,18,mean_reversion,structure_exit,496.05898,493.59105,0.01000,-0.07567,0.05099,1,1.00000,"{'mean': 499.9274875, 'z_score_20': -1.6750339424950722}"
DIA,2026-02-19T18:00:00+00:00,2026-02-19T18:05:00+00:00,18,18,mean_reversion,structure_exit,494.02858,492.05136,0.01000,-0.07076,0.05099,1,1.00000,"{'mean': 496.05751250000003, 'z_score_20': -2.250352882473222}"
DIA,2026-03-18T18:15:00+00:00,2026-03-18T18:20:00+00:00,18,18,mean_reversion,structure_exit,467.08319,464.97678,0.01000,-0.07200,0.05093,1,1.00000,"{'mean': 468.845, 'z_score_20': -2.2987446962599094}"
DIA,2026-03-20T18:05:00+00:00,2026-03-20T18:10:00+00:00,18,18,mean_reversion,structure_exit,458.31143,455.90859,0.01000,-0.07494,0.05091,1,1.00000,"{'mean': 460.435, 'z_score_20': -1.792843207597826}"
DIA,2026-03-20T18:20:00+00:00,2026-03-20T18:25:00+00:00,18,18,mean_reversion,structure_exit,456.92116,454.85880,0.01000,-0.07154,0.05091,1,1.00000,"{'mean': 458.50125, 'z_score_20': -2.9384208259356734}"
