symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
DIA,2025-10-10T14:55:00+00:00,2025-10-10T15:00:00+00:00,14,15,mean_reversion,structure_exit,463.64250,459.75782,0.01000,-0.08977,0.05092,1,1.00000,"{'mean': 464.8825, 'z_score_20': -3.717231054198127}"
DIA,2025-10-10T15:20:00+00:00,2025-10-10T15:25:00+00:00,15,15,mean_reversion,structure_exit,461.03198,458.30811,0.01000,-0.07816,0.05092,1,1.00000,"{'mean': 462.3275, 'z_score_20': -2.223475932487997}"
DIA,2025-10-15T17:10:00+00:00,2025-10-15T17:15:00+00:00,17,17,mean_reversion,structure_exit,462.04218,460.13274,0.01000,-0.07002,0.05092,1,1.00000,"{'mean': 462.7875, 'z_score_20': -3.3425490396690987}"
DIA,2025-10-16T16:30:00+00:00,2025-10-16T16:35:00+00:00,16,16,mean_reversion,structure_exit,460.55188,458.65804,0.01000,-0.06986,0.05092,1,1.00000,"{'mean': 461.5187375, 'z_score_20': -2.8167254826335717}"
DIA,2025-10-29T18:35:00+00:00,2025-10-29T18:40:00+00:00,18,18,mean_reversion,structure_exit,476.35004,473.73502,0.01000,-0.07710,0.05095,1,1.00000,"{'mean': 477.920625, 'z_score_20': -3.8451966967073474}"
DIA,2025-11-06T15:00:00+00:00,2025-11-06T15:05:00+00:00,15,15,mean_reversion,structure_exit,470.53388,469.00597,0.01000,-0.06622,0.05094,1,1.00000,"{'mean': 471.5587375, 'z_score_20': -2.8071716732769807}"
DIA,2025-11-14T14:30:00+00:00,2025-11-14T14:35:00+00:00,14,14,mean_reversion,structure_exit,470.29383,468.38609,0.01000,-0.07002,0.05094,1,1.00000,"{'mean': 471.4175, 'z_score_20': -3.7655919133520817}"
DIA,2025-11-20T16:15:00+00:00,2025-11-20T16:20:00+00:00,16,16,mean_reversion,structure_exit,466.19301,463.54706,0.01000,-0.07739,0.05093,1,1.00000,"{'mean': 467.16625, 'z_score_20': -2.7896443536272164}"
DIA,2025-12-18T17:05:00+00:00,2025-12-18T17:10:00+00:00,17,17,mean_reversion,structure_exit,482.13620,479.39389,0.01000,-0.07838,0.05096,1,1.00000,"{'mean': 483.12375, 'z_score_20': -3.34189665673564}"
DIA,2025-12-18T17:20:00+00:00,2025-12-18T17:25:00+00:00,17,17,mean_reversion,structure_exit,480.85594,479.00397,0.01000,-0.06948,0.05096,1,1.00000,"{'mean': 481.69, 'z_score_20': -2.328293775004099}"
DIA,2026-01-02T14:35:00+00:00,2026-01-02T14:40:00+00:00,14,14,mean_reversion,structure_exit,480.77593,477.82421,0.01000,-0.08048,0.05096,1,1.00000,"{'mean': 481.572625, 'z_score_20': -3.1407268490399094}"
DIA,2026-02-11T15:20:00+00:00,2026-02-11T15:25:00+00:00,15,15,mean_reversion,structure_exit,501.08999,499.07995,0.01000,-0.07110,0.05100,1,1.00000,"{'mean': 502.08875, 'z_score_20': -2.5312827643684295}"
DIA,2026-02-12T16:05:00+00:00,2026-02-12T16:10:00+00:00,16,16,mean_reversion,structure_exit,500.25982,497.20033,0.01000,-0.08159,0.05100,1,1.00000,"{'mean': 501.240625, 'z_score_20': -2.667717781455604}"
DIA,2026-02-23T14:55:00+00:00,2026-02-23T15:00:00+00:00,14,15,mean_reversion,structure_exit,493.33844,489.88179,0.01000,-0.08555,0.05098,1,1.00000,"{'mean': 494.28875, 'z_score_20': -2.1825225460869246}"
DIA,2026-02-26T15:20:00+00:00,2026-02-26T15:25:00+00:00,15,15,mean_reversion,structure_exit,493.95856,491.60145,0.01000,-0.07456,0.05099,1,1.00000,"{'mean': 495.3475, 'z_score_20': -2.978072287623942}"
DIA,2026-03-04T14:40:00+00:00,2026-03-04T14:45:00+00:00,14,14,mean_reversion,structure_exit,485.34694,483.55806,0.01000,-0.06886,0.05097,1,1.00000,"{'mean': 486.1525125, 'z_score_20': -3.2375269682382855}"
DIA,2026-03-10T18:10:00+00:00,2026-03-10T18:15:00+00:00,18,18,mean_reversion,structure_exit,480.27583,477.16434,0.01000,-0.08207,0.05096,1,1.00000,"{'mean': 481.315975, 'z_score_20': -2.975913812934573}"
DIA,2026-03-25T15:15:00+00:00,2026-03-25T15:35:00+00:00,15,15,mean_reversion,trailing_stop,463.60249,462.66724,0.01000,-0.06028,0.05093,4,1.00000,"{'mean': 464.3525, 'z_score_20': -2.6913351205496494}"
