symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
DIA,2025-10-14T15:50:00+00:00,2025-10-14T15:55:00+00:00,15,15,momentum_confirmation,stop_loss,463.70251,461.30751,0.01000,-0.07488,0.05093,1,1.00000,"{'momentum_5': 0.005506198549215524, 'momentum_20': 0.009273199362876738}"
DIA,2025-10-17T13:50:00+00:00,2025-10-17T13:55:00+00:00,13,13,momentum_confirmation,stop_loss,462.57229,459.32791,0.01000,-0.08337,0.05092,1,1.00000,"{'momentum_5': 0.004637491835401741, 'momentum_20': 0.0031959300808765967}"
DIA,2025-10-30T13:45:00+00:00,2025-10-30T14:25:00+00:00,13,14,momentum_confirmation,time_stop,478.71551,477.34430,0.01000,-0.06467,0.05096,8,1.00000,"{'momentum_5': 0.006767012395648919, 'momentum_20': 0.005939968404423457}"
DIA,2025-11-04T15:00:00+00:00,2025-11-04T15:05:00+00:00,15,15,momentum_confirmation,stop_loss,473.04438,470.71563,0.01000,-0.07423,0.05094,1,1.00000,"{'momentum_5': 0.005347365729990061, 'momentum_20': 0.0028476708602516165}"
DIA,2025-11-05T15:05:00+00:00,2025-11-05T15:10:00+00:00,15,15,momentum_confirmation,stop_loss,473.58449,470.76562,0.01000,-0.07913,0.05094,1,1.00000,"{'momentum_5': 0.004251339171839064, 'momentum_20': 0.0035260631292748368}"
DIA,2025-11-07T19:40:00+00:00,2025-11-07T19:45:00+00:00,19,19,momentum_confirmation,stop_loss,470.54388,468.18613,0.01000,-0.07452,0.05094,1,1.00000,"{'momentum_5': 0.004085648890885363, 'momentum_20': 0.005828404902717077}"
DIA,2025-11-12T14:30:00+00:00,2025-11-12T15:10:00+00:00,14,15,momentum_confirmation,time_stop,483.57649,482.35330,0.01000,-0.06320,0.05097,8,1.00000,"{'momentum_5': 0.004016649323621335, 'momentum_20': 0.0038077403245941888}"
DIA,2025-11-18T17:45:00+00:00,2025-11-18T18:25:00+00:00,17,18,momentum_confirmation,time_stop,464.07259,461.89739,0.01000,-0.07268,0.05093,8,1.00000,"{'momentum_5': 0.004666001128521335, 'momentum_20': 0.004993161539630586}"
DIA,2025-11-20T13:50:00+00:00,2025-11-20T13:55:00+00:00,13,13,momentum_confirmation,stop_loss,467.52328,465.26672,0.01000,-0.07350,0.05093,1,1.00000,"{'momentum_5': 0.004588045234248828, 'momentum_20': 0.004696251615682989}"
DIA,2025-11-21T16:35:00+00:00,2025-11-21T16:55:00+00:00,16,16,momentum_confirmation,take_profit,462.88235,462.88719,0.01000,-0.05088,0.05093,4,1.00000,"{'momentum_5': 0.004831128133704787, 'momentum_20': 0.006298354582107368}"
DIA,2025-11-21T17:10:00+00:00,2025-11-21T17:15:00+00:00,17,17,momentum_confirmation,stop_loss,465.74292,463.27712,0.01000,-0.07559,0.05093,1,1.00000,"{'momentum_5': 0.0051708098050671225, 'momentum_20': 0.010571192413103114}"
DIA,2025-11-21T18:35:00+00:00,2025-11-21T18:45:00+00:00,18,18,momentum_confirmation,structure_exit,465.42286,464.03696,0.01000,-0.06479,0.05093,2,0.76826,"{'momentum_5': 0.004185186386788997, 'momentum_20': 0.0005387582699394322}"
DIA,2025-11-25T14:30:00+00:00,2025-11-25T14:40:00+00:00,14,14,momentum_confirmation,stop_loss,468.41345,464.84680,0.01000,-0.08660,0.05093,2,1.00000,"{'momentum_5': 0.00546553913024761, 'momentum_20': 0.006006717189114719}"
DIA,2025-11-25T15:10:00+00:00,2025-11-25T15:50:00+00:00,15,15,momentum_confirmation,time_stop,466.88315,466.12655,0.01000,-0.05850,0.05093,8,1.00000,"{'momentum_5': 0.0044643819958158915, 'momentum_20': 0.00200081753834902}"
DIA,2025-12-01T14:50:00+00:00,2025-12-01T15:00:00+00:00,14,15,momentum_confirmation,stop_loss,477.47527,474.88479,0.01000,-0.07686,0.05095,2,1.00000,"{'momentum_5': 0.0043435174056971615, 'momentum_20': 0.0030322811598475496}"
DIA,2025-12-02T16:00:00+00:00,2025-12-02T16:05:00+00:00,16,16,momentum_confirmation,stop_loss,477.58529,474.91479,0.01000,-0.07766,0.05095,1,1.00000,"{'momentum_5': 0.004422333829388503, 'momentum_20': 0.0038346466647001254}"
DIA,2025-12-09T14:50:00+00:00,2025-12-09T14:55:00+00:00,14,14,momentum_confirmation,stop_loss,481.40605,478.57406,0.01000,-0.07928,0.05096,1,1.00000,"{'momentum_5': 0.0045809191122638815, 'momentum_20': 0.004265819079084965}"
DIA,2025-12-10T19:50:00+00:00,2025-12-10T20:30:00+00:00,19,20,momentum_confirmation,time_stop,482.37625,481.44248,0.01000,-0.06030,0.05096,8,1.00000,"{'momentum_5': 0.004781392241199445, 'momentum_20': 0.0052431483957218195}"
DIA,2025-12-11T14:35:00+00:00,2025-12-11T14:45:00+00:00,14,14,momentum_confirmation,stop_loss,485.28683,482.51327,0.01000,-0.07870,0.05097,2,1.00000,"{'momentum_5': 0.005136339289050884, 'momentum_20': 0.004896415591316261}"
DIA,2025-12-18T15:40:00+00:00,2025-12-18T15:45:00+00:00,15,15,momentum_confirmation,stop_loss,485.73692,482.99317,0.01000,-0.07841,0.05097,1,1.00000,"{'momentum_5': 0.005018976709459277, 'momentum_20': 0.005352586045932695}"
DIA,2025-12-19T14:30:00+00:00,2025-12-19T14:45:00+00:00,14,14,momentum_confirmation,stop_loss,483.09639,480.05376,0.01000,-0.08139,0.05096,3,1.00000,"{'momentum_5': 0.004774215069007104, 'momentum_20': 0.004669487815555318}"
DIA,2026-01-05T14:30:00+00:00,2026-01-05T18:50:00+00:00,14,18,momentum_confirmation,take_profit,488.36744,490.83660,0.01000,-0.02629,0.05098,52,1.00000,"{'momentum_5': 0.005863165283455096, 'momentum_20': 0.007006593224893054}"
DIA,2026-01-08T14:45:00+00:00,2026-01-08T15:25:00+00:00,14,15,momentum_confirmation,time_stop,491.68811,490.27172,0.01000,-0.06515,0.05098,8,1.00000,"{'momentum_5': 0.005204918032786887, 'momentum_20': 0.004731376605288551}"
DIA,2026-01-12T14:55:00+00:00,2026-01-12T15:00:00+00:00,14,15,momentum_confirmation,stop_loss,494.48867,492.03136,0.01000,-0.07556,0.05099,1,1.00000,"{'momentum_5': 0.006107944406489096, 'momentum_20': 0.0033108811662110327}"
DIA,2026-01-21T14:20:00+00:00,2026-01-21T14:25:00+00:00,14,14,momentum_confirmation,stop_loss,487.33724,484.43288,0.01000,-0.08002,0.05097,1,1.00000,"{'momentum_5': 0.005397245543653506, 'momentum_20': 0.005210163954762592}"
DIA,2026-01-21T19:25:00+00:00,2026-01-21T20:05:00+00:00,19,20,momentum_confirmation,time_stop,491.61809,490.77162,0.01000,-0.05945,0.05098,8,1.00000,"{'momentum_5': 0.005824087935524913, 'momentum_20': 0.007270038814614077}"
DIA,2026-01-22T14:30:00+00:00,2026-01-22T14:45:00+00:00,14,14,momentum_confirmation,stop_loss,496.29403,491.89139,0.01000,-0.09501,0.05099,3,1.00000,"{'momentum_5': 0.0041268682444077776, 'momentum_20': 0.005758566756718375}"
DIA,2026-01-30T19:00:00+00:00,2026-01-30T19:05:00+00:00,19,19,momentum_confirmation,stop_loss,489.53268,487.26232,0.01000,-0.07368,0.05098,1,1.00000,"{'momentum_5': 0.005610921220607024, 'momentum_20': 0.004721347898537287}"
DIA,2026-02-02T14:40:00+00:00,2026-02-02T14:55:00+00:00,14,14,momentum_confirmation,stop_loss,492.39825,489.67184,0.01000,-0.07825,0.05098,3,1.00000,"{'momentum_5': 0.004375293901167421, 'momentum_20': 0.006536081629307855}"
DIA,2026-02-03T14:40:00+00:00,2026-02-03T14:50:00+00:00,14,14,momentum_confirmation,stop_loss,496.97917,493.85100,0.01000,-0.08227,0.05099,2,1.00000,"{'momentum_5': 0.004945377895782199, 'momentum_20': 0.00396865571911631}"
DIA,2026-02-04T14:40:00+00:00,2026-02-04T14:50:00+00:00,14,14,momentum_confirmation,stop_loss,496.70911,493.34110,0.01000,-0.08467,0.05099,2,1.00000,"{'momentum_5': 0.005192697768762633, 'momentum_20': 0.003991166757835396}"
DIA,2026-02-04T15:25:00+00:00,2026-02-04T15:30:00+00:00,15,15,momentum_confirmation,stop_loss,497.21921,493.92099,0.01000,-0.08397,0.05099,1,1.00000,"{'momentum_5': 0.006063924718098468, 'momentum_20': 0.004495292092740577}"
DIA,2026-02-06T14:30:00+00:00,2026-02-06T15:20:00+00:00,14,15,momentum_confirmation,time_stop,495.78393,495.52067,0.01000,-0.05362,0.05099,10,1.00000,"{'momentum_5': 0.0054987498221290565, 'momentum_20': 0.006972577919830636}"
DIA,2026-02-10T14:45:00+00:00,2026-02-10T15:25:00+00:00,14,15,momentum_confirmation,time_stop,505.29083,503.08915,0.01000,-0.07303,0.05101,8,1.00000,"{'momentum_5': 0.0047833539283292925, 'momentum_20': 0.007131869668577817}"
DIA,2026-02-11T13:35:00+00:00,2026-02-11T13:40:00+00:00,13,13,momentum_confirmation,stop_loss,505.70091,502.89919,0.01000,-0.07903,0.05101,1,1.00000,"{'momentum_5': 0.004159535087370214, 'momentum_20': 0.004719423314349491}"
DIA,2026-02-20T15:10:00+00:00,2026-02-20T15:30:00+00:00,15,15,momentum_confirmation,trailing_stop,494.94876,493.11115,0.01000,-0.06936,0.05099,4,0.64243,"{'momentum_5': 0.004025863120654005, 'momentum_20': 8.101101749846684e-05}"
DIA,2026-02-20T18:50:00+00:00,2026-02-20T18:55:00+00:00,18,18,momentum_confirmation,stop_loss,497.03918,494.71083,0.01000,-0.07428,0.05099,1,1.00000,"{'momentum_5': 0.004863320432024976, 'momentum_20': 0.005331873656895025}"
DIA,2026-02-23T14:30:00+00:00,2026-02-23T14:45:00+00:00,14,14,momentum_confirmation,structure_exit,497.55928,492.09135,0.01000,-0.10567,0.05099,3,1.00000,"{'momentum_5': 0.004228030425635243, 'momentum_20': 0.005591005773321278}"
DIA,2026-02-24T14:35:00+00:00,2026-02-24T15:15:00+00:00,14,15,momentum_confirmation,time_stop,491.82814,490.26172,0.01000,-0.06665,0.05098,8,1.00000,"{'momentum_5': 0.004010476346374192, 'momentum_20': 0.004298170207540197}"
DIA,2026-03-02T14:40:00+00:00,2026-03-02T15:00:00+00:00,14,15,momentum_confirmation,take_profit,487.38725,487.26232,0.01000,-0.05222,0.05097,4,1.00000,"{'momentum_5': 0.004254616051881488, 'momentum_20': 0.0036741939479008057}"
DIA,2026-03-03T18:35:00+00:00,2026-03-03T18:40:00+00:00,18,18,momentum_confirmation,stop_loss,487.13720,484.61285,0.01000,-0.07622,0.05097,1,1.00000,"{'momentum_5': 0.004422858323860579, 'momentum_20': 0.00694099121498426}"
DIA,2026-03-09T15:00:00+00:00,2026-03-09T15:05:00+00:00,15,15,momentum_confirmation,structure_exit,472.34424,469.61585,0.01000,-0.07823,0.05094,1,0.94611,"{'momentum_5': 0.004091374019774996, 'momentum_20': 0.002062820321970138}"
DIA,2026-03-09T19:15:00+00:00,2026-03-09T19:30:00+00:00,19,19,momentum_confirmation,take_profit,475.47487,477.16434,0.01000,-0.03406,0.05095,3,1.00000,"{'momentum_5': 0.004659733547963452, 'momentum_20': 0.008054575593998248}"
DIA,2026-03-09T19:40:00+00:00,2026-03-09T20:05:00+00:00,19,20,momentum_confirmation,stop_loss,479.31563,475.86460,0.01000,-0.08547,0.05096,5,1.00000,"{'momentum_5': 0.008095629624944811, 'momentum_20': 0.014964340295466227}"
DIA,2026-03-10T14:40:00+00:00,2026-03-10T14:45:00+00:00,14,14,momentum_confirmation,stop_loss,480.83594,478.70403,0.01000,-0.07228,0.05096,1,1.00000,"{'momentum_5': 0.0066312719031331735, 'momentum_20': 0.00652566200847704}"
DIA,2026-03-10T14:55:00+00:00,2026-03-10T15:00:00+00:00,14,15,momentum_confirmation,stop_loss,481.72612,479.21403,0.01000,-0.07608,0.05096,1,1.00000,"{'momentum_5': 0.004021685765321692, 'momentum_20': 0.007040777838313472}"
DIA,2026-03-13T13:35:00+00:00,2026-03-13T13:45:00+00:00,13,13,momentum_confirmation,stop_loss,472.94446,469.71083,0.01000,-0.08328,0.05094,2,1.00000,"{'momentum_5': 0.004235967731636148, 'momentum_20': 0.004920445589895461}"
DIA,2026-03-16T13:55:00+00:00,2026-03-16T14:00:00+00:00,13,14,momentum_confirmation,stop_loss,473.37445,470.70063,0.01000,-0.07768,0.05094,1,1.00000,"{'momentum_5': 0.005193810000212906, 'momentum_20': 0.004912736470396917}"
DIA,2026-03-17T13:30:00+00:00,2026-03-17T14:00:00+00:00,13,14,momentum_confirmation,stop_loss,475.79493,472.38529,0.01000,-0.08504,0.05095,6,1.00000,"{'momentum_5': 0.004826724813176142, 'momentum_20': 0.009635837658470203}"
DIA,2026-03-19T19:00:00+00:00,2026-03-19T19:40:00+00:00,19,19,momentum_confirmation,time_stop,462.99237,460.69763,0.01000,-0.07387,0.05092,8,1.00000,"{'momentum_5': 0.006450347577851012, 'momentum_20': 0.005311159966043366}"
DIA,2026-03-23T15:00:00+00:00,2026-03-23T15:15:00+00:00,15,15,momentum_confirmation,stop_loss,467.86334,464.87680,0.01000,-0.08080,0.05093,3,1.00000,"{'momentum_5': 0.00445496610351892, 'momentum_20': 0.006860249385166384}"
DIA,2026-03-26T13:40:00+00:00,2026-03-26T14:20:00+00:00,13,14,momentum_confirmation,time_stop,464.85274,463.42709,0.01000,-0.06518,0.05093,8,1.00000,"{'momentum_5': 0.00533333333333319, 'momentum_20': 0.0075176534492122915}"
DIA,2026-03-31T13:55:00+00:00,2026-03-31T14:00:00+00:00,13,14,momentum_confirmation,stop_loss,459.59169,457.06836,0.01000,-0.07615,0.05092,1,1.00000,"{'momentum_5': 0.0050311845754185125, 'momentum_20': 0.004249633085803062}"
DIA,2026-03-31T16:35:00+00:00,2026-03-31T17:05:00+00:00,16,17,momentum_confirmation,trailing_stop,460.52188,459.45788,0.01000,-0.06156,0.05092,6,1.00000,"{'momentum_5': 0.00520083885627054, 'momentum_20': 0.0093601687467042}"
DIA,2026-04-02T14:30:00+00:00,2026-04-02T14:45:00+00:00,14,14,momentum_confirmation,trailing_stop,464.48267,463.28711,0.01000,-0.06288,0.05093,3,1.00000,"{'momentum_5': 0.004661853032372765, 'momentum_20': 0.007983988513498685}"
