symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
DIA,2025-10-14T16:45:00+00:00,2025-10-15T15:30:00+00:00,16,15,trend,stop_loss,464.82274,462.60725,0.01000,-0.07308,0.05093,7,1.00000,"{'fast': 461.68265, 'slow': 460.2577166666667, 'trend_strength': 0.0050106582806381805}"
DIA,2025-10-20T15:45:00+00:00,2025-10-20T16:00:00+00:00,15,16,trend,stop_loss,466.48307,464.37630,0.01000,-0.07200,0.05093,1,1.00000,"{'fast': 462.61098999999996, 'slow': 461.85782666666665, 'trend_strength': 0.00442398198111249}"
DIA,2025-10-21T16:45:00+00:00,2025-10-22T15:00:00+00:00,16,15,trend,stop_loss,470.88395,466.88639,0.01000,-0.09091,0.05094,5,1.00000,"{'fast': 469.64309000000003, 'slow': 465.47783999999996, 'trend_strength': 0.00422005382866697}"
DIA,2025-10-24T15:15:00+00:00,2025-10-24T15:30:00+00:00,15,15,trend,stop_loss,473.62450,471.50547,0.01000,-0.07214,0.05095,1,1.00000,"{'fast': 468.06949999999995, 'slow': 467.58866666666665, 'trend_strength': 0.00515935472700102}"
DIA,2025-10-28T15:30:00+00:00,2025-10-28T15:45:00+00:00,15,15,trend,stop_loss,478.15540,475.96458,0.01000,-0.07286,0.05095,1,1.00000,"{'fast': 475.26251, 'slow': 473.2360033333333, 'trend_strength': 0.0031553198129514737}"
DIA,2025-10-30T15:15:00+00:00,2025-10-30T15:30:00+00:00,15,15,trend,stop_loss,480.41585,476.99437,0.01000,-0.08517,0.05096,1,1.00000,"{'fast': 479.23900000000003, 'slow': 478.10300333333333, 'trend_strength': 0.001962850854785314}"
DIA,2025-11-05T17:45:00+00:00,2025-11-06T15:00:00+00:00,17,15,trend,stop_loss,474.88475,468.90599,0.01000,-0.11073,0.05094,1,0.95593,"{'fast': 472.39699, 'slow': 472.34183, 'trend_strength': 0.0017114800641535588}"
DIA,2025-11-10T17:00:00+00:00,2025-11-11T15:15:00+00:00,17,15,trend,take_profit,471.82414,474.26492,0.01000,-0.02654,0.05095,5,1.00000,"{'fast': 470.218, 'slow': 468.45533333333333, 'trend_strength': 0.0019033924156510729}"
DIA,2025-11-12T15:15:00+00:00,2025-11-12T15:30:00+00:00,15,15,trend,stop_loss,484.60659,481.98337,0.01000,-0.07720,0.05097,1,1.00000,"{'fast': 478.22699, 'slow': 473.26799666666665, 'trend_strength': 0.0033499704310238076}"
DIA,2025-11-20T15:45:00+00:00,2025-11-20T16:00:00+00:00,15,16,trend,stop_loss,468.62350,464.82681,0.01000,-0.08890,0.05093,1,1.00000,"{'fast': 463.60746, 'slow': 462.69923666666665, 'trend_strength': 0.007215094731309213}"
DIA,2025-11-26T15:00:00+00:00,2025-11-28T16:00:00+00:00,15,16,trend,take_profit,474.00457,476.23452,0.01000,-0.02865,0.05095,16,1.00000,"{'fast': 469.255, 'slow': 466.39029666666664, 'trend_strength': 0.001939533171045893}"
