symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
DIA,2025-10-13T19:00:00+00:00,2025-10-14T13:00:00+00:00,19,13,trend,structure_exit,461.68211,455.82861,0.01000,-0.10945,0.05092,3,1.00000,"{'fast': 460.483, 'slow': 459.8760833333333, 'trend_strength': 0.001971196344465298}"
DIA,2025-10-15T14:00:00+00:00,2025-10-15T14:30:00+00:00,14,14,trend,stop_loss,467.42326,464.52687,0.01000,-0.07990,0.05093,1,1.00000,"{'fast': 464.64799999999997, 'slow': 461.6795666666667, 'trend_strength': 0.00660683107919513}"
DIA,2025-10-20T14:00:00+00:00,2025-10-21T14:30:00+00:00,14,14,trend,take_profit,466.18861,469.14594,0.01000,-0.02136,0.05094,15,1.00000,"{'fast': 462.35855000000004, 'slow': 461.37468, 'trend_strength': 0.003662480855386452}"
DIA,2025-10-22T14:00:00+00:00,2025-10-22T15:00:00+00:00,14,15,trend,stop_loss,468.99357,466.50647,0.01000,-0.07581,0.05094,2,0.95637,"{'fast': 469.46958000000006, 'slow': 467.74688, 'trend_strength': 0.0027990794564078936}"
DIA,2025-10-24T14:00:00+00:00,2025-10-24T14:30:00+00:00,14,14,trend,stop_loss,472.17421,470.03576,0.01000,-0.07233,0.05094,1,1.00000,"{'fast': 468.06499999999994, 'slow': 467.2823333333333, 'trend_strength': 0.0026210861170183897}"
DIA,2025-10-27T14:00:00+00:00,2025-10-27T14:30:00+00:00,14,14,trend,stop_loss,475.60489,473.21513,0.01000,-0.07485,0.05095,1,1.00000,"{'fast': 473.01099999999997, 'slow': 469.66299999999995, 'trend_strength': 0.006720536905133301}"
DIA,2025-10-28T14:00:00+00:00,2025-10-28T14:30:00+00:00,14,14,trend,stop_loss,479.11559,476.66444,0.01000,-0.07547,0.05096,1,1.00000,"{'fast': 475.57977, 'slow': 473.65959000000004, 'trend_strength': 0.003987268851777026}"
DIA,2025-10-29T14:00:00+00:00,2025-10-29T14:30:00+00:00,14,14,trend,stop_loss,480.91595,478.38409,0.01000,-0.07628,0.05096,1,1.00000,"{'fast': 478.7405, 'slow': 476.66642333333334, 'trend_strength': 0.004138994499684134}"
DIA,2025-11-06T15:00:00+00:00,2025-11-06T15:30:00+00:00,15,15,trend,stop_loss,472.20421,468.38609,0.01000,-0.08912,0.05094,1,0.72130,"{'fast': 472.89750000000004, 'slow': 471.924, 'trend_strength': 0.0020550465714026522}"
DIA,2025-11-10T19:00:00+00:00,2025-11-10T19:30:00+00:00,19,19,trend,stop_loss,474.65470,472.63524,0.01000,-0.07114,0.05095,1,1.00000,"{'fast': 471.5775, 'slow': 469.41683333333333, 'trend_strength': 0.005171751677764069}"
DIA,2025-11-11T18:00:00+00:00,2025-11-11T18:30:00+00:00,18,18,trend,stop_loss,480.29583,477.64424,0.01000,-0.07747,0.05096,1,1.00000,"{'fast': 476.1055, 'slow': 472.67466666666667, 'trend_strength': 0.007258339774220968}"
DIA,2025-11-13T14:30:00+00:00,2025-11-13T15:30:00+00:00,14,15,trend,structure_exit,482.62630,478.39409,0.01000,-0.09328,0.05096,2,1.00000,"{'fast': 482.605, 'slow': 480.70483333333334, 'trend_strength': 0.0029987921002594398}"
DIA,2025-11-20T14:30:00+00:00,2025-11-20T16:00:00+00:00,14,16,trend,stop_loss,469.43366,463.66704,0.01000,-0.10860,0.05093,3,1.00000,"{'fast': 463.22799999999995, 'slow': 462.15807, 'trend_strength': 0.0030169103409614095}"
DIA,2025-11-24T14:30:00+00:00,2025-11-25T17:00:00+00:00,14,17,trend,take_profit,464.02258,468.79601,0.01000,-0.00320,0.05093,21,1.00000,"{'fast': 463.61499999999995, 'slow': 461.6489, 'trend_strength': 0.003588427687199136}"
DIA,2025-11-26T15:30:00+00:00,2025-11-28T16:30:00+00:00,15,16,trend,take_profit,475.45486,476.24452,0.01000,-0.04306,0.05095,15,1.00000,"{'fast': 471.79511, 'slow': 468.1247, 'trend_strength': 0.0074761529509244085}"
DIA,2025-12-03T15:30:00+00:00,2025-12-04T17:00:00+00:00,15,17,trend,time_stop,478.25542,477.92419,0.01000,-0.05427,0.05096,18,1.00000,"{'fast': 475.73850000000004, 'slow': 475.0212633333333, 'trend_strength': 0.0018655753039673595}"
DIA,2025-12-11T14:30:00+00:00,2025-12-12T16:00:00+00:00,14,16,trend,time_stop,484.59669,484.41289,0.01000,-0.05281,0.05097,19,1.00000,"{'fast': 480.32399999999996, 'slow': 478.66200000000003, 'trend_strength': 0.003728705178741576}"
DIA,2025-12-24T15:30:00+00:00,2025-12-24T16:00:00+00:00,15,16,trend,stop_loss,487.39715,485.56886,0.01000,-0.06926,0.05097,1,1.00000,"{'fast': 484.87797, 'slow': 484.0117333333334, 'trend_strength': 0.0015808324402311058}"
DIA,2026-01-05T14:30:00+00:00,2026-01-07T20:00:00+00:00,14,20,trend,time_stop,490.03778,489.28191,0.01000,-0.05854,0.05098,39,1.00000,"{'fast': 483.724, 'slow': 482.33700000000005, 'trend_strength': 0.0032367446530485733}"
DIA,2026-01-09T14:30:00+00:00,2026-01-12T13:00:00+00:00,14,13,trend,structure_exit,494.82874,490.92159,0.01000,-0.09006,0.05099,13,1.00000,"{'fast': 492.98168, 'slow': 492.01994333333334, 'trend_strength': 0.0030869371532047385}"
DIA,2026-01-15T15:00:00+00:00,2026-01-16T14:30:00+00:00,15,14,trend,stop_loss,495.75892,492.04136,0.01000,-0.08816,0.05099,15,1.00000,"{'fast': 491.51167999999996, 'slow': 491.2884633333333, 'trend_strength': 0.0018316823304762586}"
DIA,2026-01-21T19:00:00+00:00,2026-01-23T13:00:00+00:00,19,13,trend,time_stop,491.61809,490.61165,0.01000,-0.06105,0.05098,20,1.00000,"{'fast': 488.48999999999995, 'slow': 487.22699666666665, 'trend_strength': 0.003670275778144605}"
DIA,2026-01-26T18:00:00+00:00,2026-01-26T18:30:00+00:00,18,18,trend,stop_loss,495.49887,492.48127,0.01000,-0.08116,0.05099,1,1.00000,"{'fast': 492.70799999999997, 'slow': 491.8791, 'trend_strength': 0.001937753162092104}"
DIA,2026-02-02T15:00:00+00:00,2026-02-03T17:00:00+00:00,15,17,trend,time_stop,493.25842,490.63164,0.01000,-0.07725,0.05098,18,1.00000,"{'fast': 489.00401, 'slow': 488.4922533333333, 'trend_strength': 0.0016921915183463199}"
DIA,2026-02-04T16:30:00+00:00,2026-02-04T17:00:00+00:00,16,17,trend,stop_loss,496.50907,492.52627,0.01000,-0.09082,0.05099,1,0.78579,"{'fast': 493.4175, 'slow': 493.19016666666664, 'trend_strength': 0.002602995235727823}"
DIA,2026-02-06T15:30:00+00:00,2026-02-09T15:30:00+00:00,15,15,trend,take_profit,498.35944,500.56966,0.01000,-0.02890,0.05100,16,1.00000,"{'fast': 492.59499999999997, 'slow': 492.36216666666667, 'trend_strength': 0.003214812422919877}"
DIA,2026-02-10T14:30:00+00:00,2026-02-10T18:00:00+00:00,14,18,trend,stop_loss,506.31103,500.89959,0.01000,-0.10512,0.05101,7,1.00000,"{'fast': 501.721, 'slow': 500.51925, 'trend_strength': 0.001937970873162831}"
DIA,2026-02-18T14:30:00+00:00,2026-02-18T20:00:00+00:00,14,20,trend,structure_exit,498.99087,494.68083,0.01000,-0.09409,0.05099,11,1.00000,"{'fast': 496.28513000000004, 'slow': 495.73129666666665, 'trend_strength': 0.0016744264227070982}"
DIA,2026-02-25T14:30:00+00:00,2026-02-26T14:00:00+00:00,14,14,trend,take_profit,493.95856,495.85060,0.01000,-0.03207,0.05099,14,1.00000,"{'fast': 492.3385, 'slow': 490.473, 'trend_strength': 0.004020970018868475}"
DIA,2026-03-04T14:30:00+00:00,2026-03-05T13:00:00+00:00,14,13,trend,structure_exit,486.72712,484.28291,0.01000,-0.07541,0.05097,13,1.00000,"{'fast': 486.0375, 'slow': 485.35308333333336, 'trend_strength': 0.004909314388852559}"
DIA,2026-03-10T14:00:00+00:00,2026-03-10T18:00:00+00:00,14,18,trend,trailing_stop,478.79803,478.39409,0.01000,-0.05500,0.05096,8,1.00000,"{'fast': 474.85875, 'slow': 473.66535, 'trend_strength': 0.008002273173876695}"
DIA,2026-03-16T15:00:00+00:00,2026-03-16T15:30:00+00:00,15,15,trend,stop_loss,472.39425,469.00097,0.01000,-0.08487,0.05094,1,0.57383,"{'fast': 469.10602, 'slow': 468.7958933333333, 'trend_strength': 0.00224952690045388}"
DIA,2026-03-17T14:30:00+00:00,2026-03-17T15:00:00+00:00,14,15,trend,stop_loss,474.04458,470.98557,0.01000,-0.08154,0.05095,1,1.00000,"{'fast': 471.49930000000006, 'slow': 469.68882666666667, 'trend_strength': 0.003113847884469889}"
DIA,2026-03-23T14:30:00+00:00,2026-03-23T15:30:00+00:00,14,15,trend,stop_loss,466.83314,461.41749,0.01000,-0.10508,0.05093,2,1.00000,"{'fast': 459.56445, 'slow': 459.1931533333333, 'trend_strength': 0.007854076053073422}"
DIA,2026-03-25T14:00:00+00:00,2026-03-26T13:00:00+00:00,14,13,trend,structure_exit,465.48287,460.43768,0.01000,-0.10138,0.05093,12,0.80445,"{'fast': 463.16965, 'slow': 462.90622, 'trend_strength': 0.004235913301515959}"
DIA,2026-03-31T15:00:00+00:00,2026-03-31T20:00:00+00:00,15,20,trend,take_profit,457.87135,462.31731,0.01000,-0.00646,0.05092,10,1.00000,"{'fast': 454.14099999999996, 'slow': 453.96566666666666, 'trend_strength': 0.0037852242813294357}"
