symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
DIA,2025-10-14T16:20:00+00:00,2025-10-14T16:40:00+00:00,16,16,volatility_breakout,stale_breakout,463.94256,462.46728,0.01000,-0.06568,0.05093,4,0.77839,{'breakout_high': 462.72}
DIA,2025-10-20T15:00:00+00:00,2025-10-20T15:05:00+00:00,15,15,volatility_breakout,stop_loss,466.93316,464.49677,0.01000,-0.07530,0.05093,1,1.00000,{'breakout_high': 461.4}
DIA,2025-10-20T17:00:00+00:00,2025-10-20T17:05:00+00:00,17,17,volatility_breakout,stop_loss,467.74332,465.46668,0.01000,-0.07370,0.05093,1,0.59282,{'breakout_high': 466.31}
DIA,2025-10-23T17:35:00+00:00,2025-10-23T17:40:00+00:00,17,17,volatility_breakout,stop_loss,468.70351,466.43149,0.01000,-0.07366,0.05094,1,0.60943,{'breakout_high': 467.3}
DIA,2025-10-28T17:00:00+00:00,2025-10-28T17:05:00+00:00,17,17,volatility_breakout,stop_loss,480.42586,478.12415,0.01000,-0.07398,0.05096,1,0.73595,{'breakout_high': 478.765}
DIA,2025-11-05T15:00:00+00:00,2025-11-05T15:05:00+00:00,15,15,volatility_breakout,stop_loss,473.19441,471.29551,0.01000,-0.06993,0.05094,1,0.73929,{'breakout_high': 471.525}
DIA,2025-11-10T17:40:00+00:00,2025-11-10T17:45:00+00:00,17,17,volatility_breakout,stop_loss,472.87435,470.78561,0.01000,-0.07183,0.05094,1,0.58357,{'breakout_high': 471.51}
DIA,2025-12-02T16:00:00+00:00,2025-12-02T16:05:00+00:00,16,16,volatility_breakout,stop_loss,477.58529,474.91479,0.01000,-0.07766,0.05095,1,0.69683,{'breakout_high': 476.06}
DIA,2025-12-03T15:30:00+00:00,2025-12-03T15:35:00+00:00,15,15,volatility_breakout,stop_loss,478.48547,475.71363,0.01000,-0.07867,0.05095,1,0.62609,{'breakout_high': 477.02}
DIA,2025-12-05T15:00:00+00:00,2025-12-05T15:05:00+00:00,15,15,volatility_breakout,stop_loss,482.77633,480.29371,0.01000,-0.07579,0.05096,1,1.00000,{'breakout_high': 479.52}
DIA,2025-12-09T15:00:00+00:00,2025-12-09T15:05:00+00:00,15,15,volatility_breakout,stop_loss,480.75592,477.93918,0.01000,-0.07913,0.05096,1,1.00000,{'breakout_high': 478.64}
DIA,2025-12-10T16:15:00+00:00,2025-12-10T16:20:00+00:00,16,16,volatility_breakout,stop_loss,479.97877,477.64424,0.01000,-0.07430,0.05096,1,0.68154,{'breakout_high': 478.5501}
DIA,2025-12-11T15:00:00+00:00,2025-12-11T15:30:00+00:00,15,15,volatility_breakout,take_profit,484.42666,484.58285,0.01000,-0.04941,0.05097,6,1.00000,{'breakout_high': 478.765}
DIA,2025-12-18T15:00:00+00:00,2025-12-18T15:05:00+00:00,15,15,volatility_breakout,stop_loss,484.41665,481.70343,0.01000,-0.07810,0.05097,1,1.00000,{'breakout_high': 481.83}
DIA,2025-12-22T15:45:00+00:00,2025-12-22T15:50:00+00:00,15,15,volatility_breakout,stop_loss,484.70671,482.13334,0.01000,-0.07670,0.05097,1,0.62952,{'breakout_high': 483.3001}
DIA,2025-12-24T17:30:00+00:00,2025-12-24T17:35:00+00:00,17,17,volatility_breakout,stop_loss,488.57749,486.20253,0.01000,-0.07472,0.05097,1,0.55403,{'breakout_high': 487.29}
DIA,2026-01-06T17:45:00+00:00,2026-01-06T17:50:00+00:00,17,17,volatility_breakout,stop_loss,495.00877,492.82121,0.01000,-0.07286,0.05099,1,0.62175,{'breakout_high': 493.79}
DIA,2026-01-15T15:00:00+00:00,2026-01-15T15:10:00+00:00,15,15,volatility_breakout,stop_loss,494.64870,492.84120,0.01000,-0.06906,0.05099,2,1.00000,{'breakout_high': 489.78}
DIA,2026-01-21T15:15:00+00:00,2026-01-21T15:20:00+00:00,15,15,volatility_breakout,stop_loss,489.91775,487.55726,0.01000,-0.07458,0.05098,1,0.87887,{'breakout_high': 488.72}
DIA,2026-01-22T17:05:00+00:00,2026-01-22T17:10:00+00:00,17,17,volatility_breakout,stop_loss,496.59909,494.06096,0.01000,-0.07637,0.05099,1,0.57916,{'breakout_high': 495.32}
DIA,2026-02-02T15:00:00+00:00,2026-02-02T16:05:00+00:00,15,16,volatility_breakout,take_profit,492.04818,492.32131,0.01000,-0.04825,0.05098,13,1.00000,{'breakout_high': 486.96}
DIA,2026-02-05T17:25:00+00:00,2026-02-05T17:30:00+00:00,17,17,volatility_breakout,stop_loss,493.21841,490.40169,0.01000,-0.07915,0.05098,1,0.89758,{'breakout_high': 491.52}
DIA,2026-02-13T17:10:00+00:00,2026-02-13T17:15:00+00:00,17,17,volatility_breakout,stop_loss,498.69951,495.74062,0.01000,-0.08058,0.05099,1,0.67095,{'breakout_high': 497.41}
DIA,2026-02-26T15:00:00+00:00,2026-02-26T15:05:00+00:00,15,15,volatility_breakout,stop_loss,497.19921,494.31091,0.01000,-0.07987,0.05099,1,1.00000,{'breakout_high': 494.817}
DIA,2026-03-02T16:40:00+00:00,2026-03-02T16:50:00+00:00,16,16,volatility_breakout,signal_exit,490.62790,488.10215,0.01000,-0.07624,0.05098,2,0.56737,{'breakout_high': 489.45}
DIA,2026-03-03T16:40:00+00:00,2026-03-03T17:00:00+00:00,16,17,volatility_breakout,stale_breakout,483.01637,481.35350,0.01000,-0.06759,0.05096,4,0.77130,{'breakout_high': 481.625}
DIA,2026-03-04T16:40:00+00:00,2026-03-04T16:45:00+00:00,16,16,volatility_breakout,stop_loss,490.02778,487.55226,0.01000,-0.07573,0.05098,1,0.60327,{'breakout_high': 488.82}
DIA,2026-03-09T16:25:00+00:00,2026-03-09T16:30:00+00:00,16,16,volatility_breakout,stop_loss,473.40445,471.11555,0.01000,-0.07383,0.05094,1,0.62163,{'breakout_high': 472.2}
DIA,2026-03-10T15:00:00+00:00,2026-03-10T15:05:00+00:00,15,15,volatility_breakout,stop_loss,481.50617,478.80401,0.01000,-0.07798,0.05096,1,1.00000,{'breakout_high': 471.35}
DIA,2026-03-11T17:25:00+00:00,2026-03-11T17:30:00+00:00,17,17,volatility_breakout,stop_loss,476.18501,473.60505,0.01000,-0.07675,0.05095,1,0.60375,{'breakout_high': 474.83}
DIA,2026-03-12T16:20:00+00:00,2026-03-12T16:25:00+00:00,16,16,volatility_breakout,stop_loss,471.55408,468.38609,0.01000,-0.08262,0.05094,1,0.58083,{'breakout_high': 470.19}
DIA,2026-03-23T15:00:00+00:00,2026-03-23T15:15:00+00:00,15,15,volatility_breakout,stop_loss,467.86334,464.87680,0.01000,-0.08080,0.05093,3,1.00000,{'breakout_high': 458.37}
DIA,2026-03-31T16:35:00+00:00,2026-04-01T15:00:00+00:00,16,15,volatility_breakout,take_profit,460.52188,466.11655,0.01000,0.00502,0.05093,17,1.00000,{'breakout_high': 457.88}
