symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
DIA,2025-10-09T16:30:00+00:00,2025-10-09T17:30:00+00:00,16,17,volatility_short_breakdown,stale_breakout,462.21733,464.62270,0.01000,-0.07498,0.05093,2,0.75618,"{'breakout_low': 463.59, 'rebound_high': 464.79, 'position_intent': 'short_entry'}"
DIA,2025-10-13T16:30:00+00:00,2025-10-13T17:00:00+00:00,16,17,volatility_short_breakdown,stop_loss,462.44226,459.27792,0.01000,-0.08257,0.05092,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
DIA,2025-10-16T16:00:00+00:00,2025-10-16T18:30:00+00:00,16,18,volatility_short_breakdown,trailing_stop,459.96278,460.90195,0.01000,-0.06031,0.05092,5,0.97048,"{'breakout_low': 461.74, 'rebound_high': 464.27, 'position_intent': 'short_entry'}"
DIA,2025-10-30T19:30:00+00:00,2025-10-30T20:30:00+00:00,19,20,volatility_short_breakdown,stop_loss,473.88499,476.84514,0.01000,-0.08055,0.05095,1,0.57221,"{'breakout_low': 475.28, 'rebound_high': 477.96, 'position_intent': 'short_entry'}"
DIA,2025-10-31T13:30:00+00:00,2025-10-31T14:30:00+00:00,13,14,volatility_short_breakdown,stale_breakout,476.98517,474.90479,0.01000,-0.07176,0.05095,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
DIA,2025-11-03T14:30:00+00:00,2025-11-03T15:30:00+00:00,14,15,volatility_short_breakdown,trailing_stop,472.68023,474.61469,0.01000,-0.07029,0.05095,2,0.74069,"{'breakout_low': 474.36, 'rebound_high': 476.3, 'position_intent': 'short_entry'}"
DIA,2025-11-07T16:00:00+00:00,2025-11-07T17:30:00+00:00,16,17,volatility_short_breakdown,stop_loss,464.78681,467.70331,0.01000,-0.08010,0.05093,3,1.00000,"{'breakout_low': 466.49, 'rebound_high': 468.8, 'position_intent': 'short_entry'}"
DIA,2025-11-07T20:30:00+00:00,2025-11-10T14:30:00+00:00,20,14,volatility_short_breakdown,trailing_stop,470.98397,470.21073,0.01000,-0.05867,0.05094,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
DIA,2025-11-17T15:00:00+00:00,2025-11-17T15:30:00+00:00,15,15,volatility_short_breakdown,stop_loss,472.98937,469.69583,0.01000,-0.08388,0.05094,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
DIA,2025-11-17T19:00:00+00:00,2025-11-17T20:00:00+00:00,19,20,volatility_short_breakdown,trailing_stop,466.18653,466.80313,0.01000,-0.05710,0.05093,2,0.99767,"{'breakout_low': 467.95, 'rebound_high': 471.98, 'position_intent': 'short_entry'}"
DIA,2025-11-19T17:30:00+00:00,2025-11-19T18:30:00+00:00,17,18,volatility_short_breakdown,stale_breakout,461.87215,460.66764,0.01000,-0.06297,0.05092,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
DIA,2025-12-01T20:30:00+00:00,2025-12-02T13:30:00+00:00,20,13,volatility_short_breakdown,stop_loss,472.20533,475.82494,0.01000,-0.08714,0.05095,1,0.64086,"{'breakout_low': 473.59, 'rebound_high': 475.59, 'position_intent': 'short_entry'}"
DIA,2025-12-02T17:00:00+00:00,2025-12-02T17:30:00+00:00,17,17,volatility_short_breakdown,stop_loss,477.05518,473.03017,0.01000,-0.09120,0.05095,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
DIA,2025-12-09T17:30:00+00:00,2025-12-09T18:30:00+00:00,17,18,volatility_short_breakdown,stale_breakout,476.24452,478.13540,0.01000,-0.06986,0.05095,2,0.67289,"{'breakout_low': 477.77, 'rebound_high': 480.04, 'position_intent': 'short_entry'}"
