symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
DIA,2025-10-14T13:30:00+00:00,2025-10-14T13:55:00+00:00,13,13,volatility_short_breakdown,stop_loss,455.45868,458.25142,0.01000,-0.07884,0.05091,5,1.00000,"{'breakout_low': 458.34, 'rebound_high': 459.83, 'position_intent': 'short_entry'}"
DIA,2025-10-16T13:30:00+00:00,2025-10-16T14:40:00+00:00,13,14,volatility_short_breakdown,stale_breakout,462.52727,465.20281,0.01000,-0.07768,0.05093,14,1.00000,"{'breakout_low': 465.4, 'rebound_high': 465.99, 'position_intent': 'short_entry'}"
DIA,2025-10-23T13:30:00+00:00,2025-10-23T13:55:00+00:00,13,13,volatility_short_breakdown,stale_breakout,467.12320,465.22673,0.01000,-0.06990,0.05093,5,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
DIA,2025-11-07T14:25:00+00:00,2025-11-07T14:30:00+00:00,14,14,volatility_short_breakdown,stop_loss,469.38365,465.74662,0.01000,-0.08731,0.05094,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
DIA,2025-11-07T14:55:00+00:00,2025-11-10T13:30:00+00:00,14,13,volatility_short_breakdown,take_profit,469.38365,470.65564,0.01000,-0.03822,0.05094,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
DIA,2025-11-17T14:35:00+00:00,2025-11-17T14:40:00+00:00,14,14,volatility_short_breakdown,stop_loss,473.39445,470.35570,0.01000,-0.08133,0.05094,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
DIA,2025-11-18T13:30:00+00:00,2025-11-18T13:35:00+00:00,13,13,volatility_short_breakdown,stop_loss,461.88739,463.57249,0.01000,-0.06778,0.05093,1,1.00000,"{'breakout_low': 470.31, 'rebound_high': 471.89, 'position_intent': 'short_entry'}"
DIA,2025-11-18T14:35:00+00:00,2025-11-18T14:40:00+00:00,14,14,volatility_short_breakdown,stop_loss,463.70251,461.47748,0.01000,-0.07318,0.05093,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
DIA,2025-11-24T14:40:00+00:00,2025-11-24T14:55:00+00:00,14,14,volatility_short_breakdown,stop_loss,460.79761,464.02258,0.01000,-0.08317,0.05092,3,0.87494,"{'breakout_low': 462.68, 'rebound_high': 464.04, 'position_intent': 'short_entry'}"
DIA,2025-11-25T13:30:00+00:00,2025-11-25T13:35:00+00:00,13,13,volatility_short_breakdown,stop_loss,465.95296,463.64704,0.01000,-0.07399,0.05093,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
DIA,2025-12-15T14:50:00+00:00,2025-12-15T14:55:00+00:00,14,14,volatility_short_breakdown,stop_loss,484.66284,486.83714,0.01000,-0.07271,0.05097,1,0.64021,"{'breakout_low': 486.1905, 'rebound_high': 487.44, 'position_intent': 'short_entry'}"
DIA,2025-12-16T13:30:00+00:00,2025-12-16T13:35:00+00:00,13,13,volatility_short_breakdown,stop_loss,486.88715,484.05296,0.01000,-0.07931,0.05097,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
DIA,2025-12-16T14:40:00+00:00,2025-12-16T14:45:00+00:00,14,14,volatility_short_breakdown,stop_loss,482.85320,485.81693,0.01000,-0.08061,0.05097,1,0.62591,"{'breakout_low': 484.36, 'rebound_high': 485.48, 'position_intent': 'short_entry'}"
DIA,2025-12-19T13:30:00+00:00,2025-12-19T13:35:00+00:00,13,13,volatility_short_breakdown,stop_loss,478.42409,481.01597,0.01000,-0.07688,0.05096,1,1.00000,"{'breakout_low': 481.2592, 'rebound_high': 483.06, 'position_intent': 'short_entry'}"
DIA,2025-12-19T13:40:00+00:00,2025-12-19T13:45:00+00:00,13,13,volatility_short_breakdown,stop_loss,480.93596,478.66404,0.01000,-0.07368,0.05096,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
DIA,2025-12-29T13:45:00+00:00,2025-12-29T13:50:00+00:00,13,13,volatility_short_breakdown,stop_loss,484.87280,487.08719,0.01000,-0.07312,0.05097,1,0.61810,"{'breakout_low': 486.36, 'rebound_high': 487.21, 'position_intent': 'short_entry'}"
DIA,2025-12-29T14:30:00+00:00,2025-12-29T14:40:00+00:00,14,14,volatility_short_breakdown,stop_loss,487.60729,484.31291,0.01000,-0.08392,0.05097,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
DIA,2026-01-20T14:40:00+00:00,2026-01-20T14:45:00+00:00,14,14,volatility_short_breakdown,stop_loss,488.94756,486.21253,0.01000,-0.07833,0.05098,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
DIA,2026-01-23T13:50:00+00:00,2026-01-23T13:55:00+00:00,13,13,volatility_short_breakdown,stop_loss,490.27172,492.58829,0.01000,-0.07415,0.05098,1,0.55842,"{'breakout_low': 491.55, 'rebound_high': 491.87, 'position_intent': 'short_entry'}"
DIA,2026-01-27T13:45:00+00:00,2026-01-27T13:50:00+00:00,13,13,volatility_short_breakdown,stop_loss,489.82181,492.02818,0.01000,-0.07305,0.05098,1,0.63181,"{'breakout_low': 491.24, 'rebound_high': 491.54, 'position_intent': 'short_entry'}"
DIA,2026-01-28T14:20:00+00:00,2026-01-28T14:25:00+00:00,14,14,volatility_short_breakdown,stop_loss,491.16800,489.07036,0.01000,-0.07196,0.05098,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
