symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
SPY,2026-03-09T15:15:00+00:00,2026-03-09T16:35:00+00:00,15,16,trend,take_profit,669.19744,670.76245,0.10000,0.15650,0.00000,16,1.00000,"{'fast': 667.544, 'slow': 665.8014999999999, 'trend_strength': 0.0026171464017430424}"
SPY,2026-03-09T19:20:00+00:00,2026-03-09T20:15:00+00:00,19,20,trend,trailing_stop,675.45776,676.17218,0.10000,0.07144,0.00000,11,1.00000,"{'fast': 671.3326300000001, 'slow': 670.1876466666668, 'trend_strength': 0.001708451862740601}"
SPY,2026-03-10T14:55:00+00:00,2026-03-10T15:05:00+00:00,14,15,trend,stop_loss,681.46806,680.26197,0.10000,-0.12061,0.00000,2,1.00000,"{'fast': 678.746, 'slow': 677.4587566666667, 'trend_strength': 0.0019001058303047547}"
SPY,2026-03-10T16:05:00+00:00,2026-03-10T17:05:00+00:00,16,17,trend,take_profit,680.37800,681.72200,0.10000,0.13440,0.00000,12,1.00000,"{'fast': 680.942, 'slow': 679.2795, 'trend_strength': 0.002447446154344446}"
SPY,2026-03-11T14:10:00+00:00,2026-03-11T14:20:00+00:00,14,14,trend,stop_loss,678.36800,675.80219,0.10000,-0.25658,0.00000,2,0.76172,"{'fast': 677.7079, 'slow': 676.69243, 'trend_strength': 0.0015006374461734584}"
SPY,2026-03-16T14:10:00+00:00,2026-03-16T14:30:00+00:00,14,14,trend,stale_breakout,670.96753,668.74755,0.10000,-0.22200,0.00000,4,0.77210,"{'fast': 669.797, 'slow': 668.71103, 'trend_strength': 0.0016239750075603965}"
SPY,2026-03-17T14:00:00+00:00,2026-03-17T14:10:00+00:00,14,14,trend,stop_loss,673.52766,671.97239,0.10000,-0.15553,0.00000,2,1.00000,"{'fast': 673.31929, 'slow': 671.0343033333334, 'trend_strength': 0.003405171174284405}"
SPY,2026-03-19T19:15:00+00:00,2026-03-19T19:20:00+00:00,19,19,trend,stop_loss,662.16709,660.29297,0.10000,-0.18741,0.00000,1,1.00000,"{'fast': 658.833, 'slow': 657.6265999999999, 'trend_strength': 0.001834475673581304}"
SPY,2026-03-23T15:00:00+00:00,2026-03-23T15:35:00+00:00,15,15,trend,structure_exit,662.68712,658.95304,0.10000,-0.37341,0.00000,7,0.96084,"{'fast': 661.1514999999999, 'slow': 660.0658433333333, 'trend_strength': 0.0016447702568338496}"
SPY,2026-03-23T18:25:00+00:00,2026-03-23T18:35:00+00:00,18,18,trend,take_profit,657.71687,658.64305,0.10000,0.09262,0.00000,2,0.57732,"{'fast': 657.4625, 'slow': 656.4186266666667, 'trend_strength': 0.0015902555030073984}"
SPY,2026-03-24T15:25:00+00:00,2026-03-24T15:55:00+00:00,15,15,trend,stop_loss,656.36680,654.71325,0.10000,-0.16536,0.00000,6,1.00000,"{'fast': 654.80791, 'slow': 652.88715, 'trend_strength': 0.002941947930817701}"
SPY,2026-03-24T19:15:00+00:00,2026-03-24T19:25:00+00:00,19,19,trend,stop_loss,655.54676,654.12328,0.10000,-0.14235,0.00000,2,0.74827,"{'fast': 655.322, 'slow': 654.2035, 'trend_strength': 0.001709712650574291}"
SPY,2026-03-26T14:00:00+00:00,2026-03-26T14:40:00+00:00,14,14,trend,stop_loss,654.29170,652.33337,0.10000,-0.19583,0.00000,8,0.80499,"{'fast': 652.7465, 'slow': 651.754, 'trend_strength': 0.0015228138223930543}"
SPY,2026-03-31T14:00:00+00:00,2026-03-31T14:05:00+00:00,14,14,trend,stop_loss,642.70612,640.88894,0.10000,-0.18172,0.00000,1,1.00000,"{'fast': 640.54291, 'slow': 639.4570333333334, 'trend_strength': 0.0016981229544168475}"
SPY,2026-03-31T16:40:00+00:00,2026-03-31T18:10:00+00:00,16,18,trend,time_stop,647.41635,647.16363,0.10000,-0.02527,0.00000,18,1.00000,"{'fast': 642.3035, 'slow': 641.3385133333334, 'trend_strength': 0.0015046448117563838}"
SPY,2026-04-01T14:55:00+00:00,2026-04-01T16:05:00+00:00,14,16,trend,take_profit,656.82683,657.64810,0.10000,0.08213,0.00000,14,0.90432,"{'fast': 655.3842000000001, 'slow': 654.3953399999999, 'trend_strength': 0.001511104892648163}"
SPY,2026-04-02T14:00:00+00:00,2026-04-02T14:30:00+00:00,14,14,trend,take_profit,649.36645,651.87339,0.10000,0.25069,0.00000,6,1.00000,"{'fast': 647.03255, 'slow': 645.8813833333334, 'trend_strength': 0.0017823190083690044}"
SPY,2026-04-02T15:50:00+00:00,2026-04-02T16:15:00+00:00,15,16,trend,structure_exit,654.79672,652.17337,0.10000,-0.26233,0.00000,5,1.00000,"{'fast': 654.92987, 'slow': 652.0982766666667, 'trend_strength': 0.004342280043749813}"
