symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
SPY,2026-03-11T16:00:00+00:00,2026-03-11T16:15:00+00:00,16,16,us500_short_trend_rejection,trailing_stop,674.00168,673.53231,0.10000,-0.04694,0.00000,3,1.00000,"{'trend_strength': -0.0025326835705147266, 'z_score_20': -1.5691464559580666, 'vwap_distance': -0.004498463883197634, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-13T16:55:00+00:00,2026-03-13T17:45:00+00:00,16,17,us500_short_trend_rejection,stale_breakout,663.66217,662.14288,0.10000,-0.15193,0.00000,10,0.86615,"{'trend_strength': -0.0015034566421389117, 'z_score_20': -1.7840891362712934, 'vwap_distance': -0.005354409386429726, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-16T16:00:00+00:00,2026-03-16T16:20:00+00:00,16,16,us500_short_trend_rejection,stop_loss,668.55741,667.07263,0.10000,-0.14848,0.00000,4,0.65585,"{'trend_strength': -7.974161208901265e-06, 'z_score_20': -1.51961054989254, 'vwap_distance': -0.0019800982405281387, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-17T16:05:00+00:00,2026-03-17T16:35:00+00:00,16,16,us500_short_trend_rejection,stale_breakout,671.03754,670.56246,0.10000,-0.04751,0.00000,6,0.79220,"{'trend_strength': -0.0017771852928910592, 'z_score_20': -1.3524783473782886, 'vwap_distance': -0.002643896656102873, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-23T16:00:00+00:00,2026-03-23T16:25:00+00:00,16,16,us500_short_trend_rejection,stop_loss,656.81682,653.78209,0.10000,-0.30347,0.00000,5,1.00000,"{'trend_strength': -0.0013059369377899088, 'z_score_20': -2.08084991574169, 'vwap_distance': -0.004412624854124303, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-26T16:15:00+00:00,2026-03-26T16:25:00+00:00,16,16,us500_short_trend_rejection,stop_loss,651.14654,649.14353,0.10000,-0.20030,0.00000,2,0.99909,"{'trend_strength': -0.0017506878778763557, 'z_score_20': -1.9734607451933295, 'vwap_distance': -0.0027355892194140807, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-26T16:30:00+00:00,2026-03-26T17:00:00+00:00,16,17,us500_short_trend_rejection,stale_breakout,649.71647,649.11353,0.10000,-0.06029,0.00000,6,0.84175,"{'trend_strength': -0.0018106946861620177, 'z_score_20': -2.482910938730386, 'vwap_distance': -0.004590751297428808, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-27T16:35:00+00:00,2026-03-27T16:50:00+00:00,16,16,us500_short_trend_rejection,trailing_stop,638.64592,638.58405,0.10000,-0.00619,0.00000,3,0.63793,"{'trend_strength': -0.0007494928384562671, 'z_score_20': -1.8141793853249417, 'vwap_distance': -0.00281832457917619, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-30T16:50:00+00:00,2026-03-30T17:00:00+00:00,16,17,us500_short_trend_rejection,stop_loss,635.52576,634.55426,0.10000,-0.09715,0.00000,2,0.58790,"{'trend_strength': -0.0010532153972445668, 'z_score_20': -1.4438646612915524, 'vwap_distance': -0.0022479815283902305, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-31T16:35:00+00:00,2026-04-01T08:00:00+00:00,16,8,us500_short_trend_rejection,take_profit,645.21624,653.12333,0.10000,0.79071,0.00000,89,0.55625,"{'trend_strength': 0.0007886639272149942, 'z_score_20': 3.302118291048214, 'vwap_distance': 0.006153448736847311, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-04-02T16:15:00+00:00,2026-04-02T16:55:00+00:00,16,16,us500_short_trend_rejection,trailing_stop,652.82663,653.23332,0.10000,0.04067,0.00000,8,0.88207,"{'trend_strength': 0.0012857964556116652, 'z_score_20': -2.542840007843798, 'vwap_distance': 0.0005617237422486099, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
