symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
SPY,2026-03-11T16:00:00+00:00,2026-03-11T16:30:00+00:00,16,16,us500_short_trend_rejection,take_profit,673.99643,675.46746,0.01000,0.01471,0.00000,6,1.00000,"{'trend_strength': -0.0025326835705147266, 'z_score_20': -1.5691464559580666, 'vwap_distance': -0.004498463883197634, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-13T16:55:00+00:00,2026-03-13T17:45:00+00:00,16,17,us500_short_trend_rejection,stale_breakout,663.65692,662.14813,0.01000,-0.01509,0.00000,10,0.86615,"{'trend_strength': -0.0015034566421389117, 'z_score_20': -1.7840891362712934, 'vwap_distance': -0.005354409386429726, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-16T16:00:00+00:00,2026-03-16T16:20:00+00:00,16,16,us500_short_trend_rejection,stop_loss,668.55216,667.07788,0.01000,-0.01474,0.00000,4,0.65585,"{'trend_strength': -7.974161208901265e-06, 'z_score_20': -1.51961054989254, 'vwap_distance': -0.0019800982405281387, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-17T16:00:00+00:00,2026-03-17T16:35:00+00:00,16,16,us500_short_trend_rejection,stale_breakout,670.91228,670.56771,0.01000,-0.00345,0.00000,7,0.78256,"{'trend_strength': -0.0016780137392397032, 'z_score_20': -1.6535037525995662, 'vwap_distance': -0.0029357927294766384, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-18T17:10:00+00:00,2026-03-18T17:40:00+00:00,17,17,us500_short_trend_rejection,stale_breakout,665.97203,665.59795,0.01000,-0.00374,0.00000,6,0.56614,"{'trend_strength': -0.0006119250798725107, 'z_score_20': -2.412935165875903, 'vwap_distance': -0.0026966571542069717, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-19T17:05:00+00:00,2026-03-19T18:25:00+00:00,17,18,us500_short_trend_rejection,trailing_stop,656.17654,656.85339,0.01000,0.00677,0.00000,16,0.56607,"{'trend_strength': -0.0003870864575911126, 'z_score_20': -2.206196789617229, 'vwap_distance': -0.002528499738136736, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-20T17:40:00+00:00,2026-03-20T18:10:00+00:00,17,18,us500_short_trend_rejection,stale_breakout,651.45631,650.26872,0.01000,-0.01188,0.00000,6,0.73207,"{'trend_strength': -0.0006078477656327186, 'z_score_20': -2.1226238934812893, 'vwap_distance': -0.0026118309776406168, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-23T16:00:00+00:00,2026-03-23T16:25:00+00:00,16,16,us500_short_trend_rejection,stop_loss,656.81157,653.78734,0.01000,-0.03024,0.00000,5,1.00000,"{'trend_strength': -0.0013059369377899088, 'z_score_20': -2.08084991574169, 'vwap_distance': -0.004412624854124303, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-23T16:30:00+00:00,2026-03-23T17:00:00+00:00,16,17,us500_short_trend_rejection,stale_breakout,655.91153,654.75350,0.01000,-0.01158,0.00000,6,1.00000,"{'trend_strength': -0.004602553377748508, 'z_score_20': -1.2122173202087636, 'vwap_distance': -0.005125752020260332, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-23T17:35:00+00:00,2026-03-23T18:05:00+00:00,17,18,us500_short_trend_rejection,stale_breakout,658.14164,657.12838,0.01000,-0.01013,0.00000,6,0.78053,"{'trend_strength': -0.002081284519087956, 'z_score_20': 2.2226030989514673, 'vwap_distance': -0.001082122849517697, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
