symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
SPY,2026-03-09T17:20:00+00:00,2026-03-09T17:30:00+00:00,17,17,us500_short_vwap_reject,stale_breakout,669.34220,668.48781,0.01000,-0.00854,0.00000,2,0.57220,"{'trend_strength': 0.00153273120298425, 'momentum_20': 0.0007628906074703679, 'vwap_distance': 0.0025225431191311376, 'session_position': 0.6724137931034468, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-09T17:35:00+00:00,2026-03-09T17:45:00+00:00,17,17,us500_short_vwap_reject,stale_breakout,668.78217,668.28782,0.01000,-0.00494,0.00000,2,0.56186,"{'trend_strength': 0.0001199469731478775, 'momentum_20': -0.0014639101338432825, 'vwap_distance': 0.0015877771644439154, 'session_position': 0.6156186612576107, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-11T16:00:00+00:00,2026-03-11T16:15:00+00:00,16,16,us500_short_vwap_reject,stale_breakout,673.99643,673.53756,0.01000,-0.00459,0.00000,3,0.73724,"{'trend_strength': -0.0025326835705147266, 'momentum_20': -0.003632437548992118, 'vwap_distance': -0.004498463883197634, 'session_position': 0.017484662576691883, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-13T17:45:00+00:00,2026-03-13T17:55:00+00:00,17,17,us500_short_vwap_reject,stale_breakout,662.79187,662.30812,0.01000,-0.00484,0.00000,2,0.55176,"{'trend_strength': -0.00014692000838445463, 'momentum_20': -0.0029799081947475825, 'vwap_distance': -0.006051602571089387, 'session_position': 0.0070457976849571825, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-19T17:05:00+00:00,2026-03-19T17:30:00+00:00,17,17,us500_short_vwap_reject,trailing_stop,656.17654,656.44841,0.01000,0.00272,0.00000,5,0.64991,"{'trend_strength': -0.0003870864575911126, 'momentum_20': -0.0028355531229095066, 'vwap_distance': -0.002528499738136736, 'session_position': 0.1261510128913538, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-20T17:45:00+00:00,2026-03-20T18:00:00+00:00,17,18,us500_short_vwap_reject,stale_breakout,651.14129,650.48871,0.01000,-0.00653,0.00000,3,0.57074,"{'trend_strength': -0.0008389869594512822, 'momentum_20': -0.003597838235068873, 'vwap_distance': -0.0030583566487457636, 'session_position': 0.03071672354949865, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-23T16:00:00+00:00,2026-03-23T16:15:00+00:00,16,16,us500_short_vwap_reject,stale_breakout,656.81157,655.71845,0.01000,-0.01093,0.00000,3,0.86066,"{'trend_strength': -0.0013059369377899088, 'momentum_20': -0.008038560916274973, 'vwap_distance': -0.004412624854124303, 'session_position': 0.699238890252885, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-23T16:25:00+00:00,2026-03-23T16:55:00+00:00,16,16,us500_short_vwap_reject,trailing_stop,654.43026,655.25847,0.01000,0.00828,0.00000,6,1.00000,"{'trend_strength': -0.00423428525775893, 'momentum_20': -0.010926686172666011, 'vwap_distance': -0.007517727198732893, 'session_position': 0.5823127915541354, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-23T17:25:00+00:00,2026-03-23T17:30:00+00:00,17,17,us500_short_vwap_reject,take_profit,655.60151,656.74840,0.01000,0.01147,0.00000,1,0.58353,"{'trend_strength': -0.0029537795387586385, 'momentum_20': -0.005207147303062154, 'vwap_distance': -0.005021873401687693, 'session_position': 0.639823226123249, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-23T17:35:00+00:00,2026-03-23T17:45:00+00:00,17,17,us500_short_vwap_reject,stale_breakout,658.14164,656.44841,0.01000,-0.01693,0.00000,2,0.77254,"{'trend_strength': -0.002081284519087956, 'momentum_20': 0.0027591042819470335, 'vwap_distance': -0.001082122849517697, 'session_position': 0.7645470169408319, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
