symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
SPY,2026-03-09T15:15:00+00:00,2026-03-09T16:40:00+00:00,15,16,volatility_breakout,take_profit,669.19219,671.52766,0.01000,0.02335,0.00000,17,0.62522,{'breakout_high': 668.8399}
SPY,2026-03-09T19:15:00+00:00,2026-03-10T13:00:00+00:00,19,13,volatility_breakout,signal_exit,673.73242,676.61580,0.01000,0.02883,0.00000,21,1.00000,{'breakout_high': 671.24}
SPY,2026-03-10T14:40:00+00:00,2026-03-10T15:10:00+00:00,14,15,volatility_breakout,trailing_stop,680.35275,680.07723,0.01000,-0.00276,0.00000,6,0.58777,{'breakout_high': 679.57}
SPY,2026-03-13T13:00:00+00:00,2026-03-13T13:55:00+00:00,13,13,volatility_breakout,trailing_stop,669.86223,670.20772,0.01000,0.00345,0.00000,11,1.00000,{'breakout_high': 667.13}
SPY,2026-03-16T13:00:00+00:00,2026-03-16T14:40:00+00:00,13,14,volatility_breakout,stale_breakout,668.72217,667.89784,0.01000,-0.00824,0.00000,20,1.00000,{'breakout_high': 662.31}
SPY,2026-03-16T19:05:00+00:00,2026-03-16T19:10:00+00:00,19,19,volatility_breakout,signal_exit,671.66232,669.52776,0.01000,-0.02135,0.00000,1,0.91556,{'breakout_high': 670.31}
SPY,2026-03-17T13:00:00+00:00,2026-03-17T13:20:00+00:00,13,13,volatility_breakout,take_profit,671.35230,672.10763,0.01000,0.00755,0.00000,4,1.00000,{'breakout_high': 668.77}
SPY,2026-03-23T15:00:00+00:00,2026-03-23T15:25:00+00:00,15,15,volatility_breakout,stale_breakout,662.68187,660.56821,0.01000,-0.02114,0.00000,5,0.72750,{'breakout_high': 661.89}
SPY,2026-03-23T18:30:00+00:00,2026-03-23T18:55:00+00:00,18,18,volatility_breakout,stale_breakout,659.17169,658.62830,0.01000,-0.00543,0.00000,5,0.77464,{'breakout_high': 658.31}
SPY,2026-03-24T14:50:00+00:00,2026-03-24T14:55:00+00:00,14,14,volatility_breakout,signal_exit,654.75147,653.61855,0.01000,-0.01133,0.00000,1,0.59557,{'breakout_high': 654.14}
SPY,2026-03-25T17:35:00+00:00,2026-03-25T17:45:00+00:00,17,17,volatility_breakout,stop_loss,658.94168,657.77335,0.01000,-0.01168,0.00000,2,0.55885,{'breakout_high': 658.32}
SPY,2026-03-26T13:40:00+00:00,2026-03-26T14:50:00+00:00,13,14,volatility_breakout,structure_exit,653.32140,651.09858,0.01000,-0.02223,0.00000,14,0.70682,{'breakout_high': 652.32}
SPY,2026-03-30T13:00:00+00:00,2026-03-30T13:30:00+00:00,13,13,volatility_breakout,stop_loss,639.84073,638.52931,0.01000,-0.01311,0.00000,6,1.00000,{'breakout_high': 633.5}
SPY,2026-03-31T13:45:00+00:00,2026-03-31T14:40:00+00:00,13,14,volatility_breakout,signal_exit,642.14084,639.93084,0.01000,-0.02210,0.00000,11,1.00000,{'breakout_high': 640.53}
SPY,2026-03-31T16:35:00+00:00,2026-03-31T18:40:00+00:00,16,18,volatility_breakout,signal_exit,645.21099,647.65385,0.01000,0.02443,0.00000,25,1.00000,{'breakout_high': 642.63}
SPY,2026-04-01T15:55:00+00:00,2026-04-01T16:10:00+00:00,15,16,volatility_breakout,signal_exit,658.14164,657.23837,0.01000,-0.00903,0.00000,3,0.63239,{'breakout_high': 657.61}
SPY,2026-04-02T13:50:00+00:00,2026-04-02T14:35:00+00:00,13,14,volatility_breakout,take_profit,648.95118,656.12843,0.01000,0.07177,0.00000,9,0.98849,{'breakout_high': 647.47}
SPY,2026-04-02T19:50:00+00:00,2026-04-02T20:55:00+00:00,19,20,volatility_breakout,end_of_run,655.78272,655.58845,0.01000,-0.00194,0.00000,13,0.62519,{'breakout_high': 655.01}
